id,group,technology,series,full_n,n_block,block_years,status,test,variable,deterministic,lag,statistic,p_raw,test_nobs,critical_1pct,critical_5pct,critical_10pct,warnings,q_BH
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,Engle_Granger,y~logQ+logM,c,1,-4.555200542337898,0.004135763153776326,,-5.578985607646791,-4.450844251251707,-3.9522030769230767,,0.016543052615105303
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,y,ct,1,-3.34697367896133,0.05888620253011757,12.0,-4.988247662037037,-3.865364768518518,-3.382725,,0.14132688607228217
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,logQ,ct,1,-1.6477527757802986,0.7731792774155382,12.0,-4.988247662037037,-3.865364768518518,-3.382725,,0.9868059075048317
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,logM,ct,1,-3.9109075902398867,0.011720331579662723,12.0,-4.988247662037037,-3.865364768518518,-3.382725,,0.04688132631865089
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,Engle_Granger,y~logQ+logM,ct,1,-5.221272792087554,0.001311118487242968,,-6.353988643604916,-5.111095175238963,-4.567184510696404,,0.005244473948971872
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,y,c,0,-3.1578291070722875,0.022559183185924765,13.0,-4.068853732362312,-3.1271488757396453,-2.7017297633136095,,0.04926119540095912
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,logQ,c,0,-3.704621834317452,0.004048611584745089,13.0,-4.068853732362312,-3.1271488757396453,-2.7017297633136095,,0.016194446338980355
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,logM,c,0,-2.2865110895081906,0.17635532595037517,13.0,-4.068853732362312,-3.1271488757396453,-2.7017297633136095,,0.2990224392715461
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,Engle_Granger,y~logQ+logM,c,0,-4.986801399223601,0.0008117184909942547,,-5.578985607646791,-4.450844251251707,-3.9522030769230767,,0.003246873963977019
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,y,ct,0,-3.515757376005462,0.0377347119966793,13.0,-4.8844381383705056,-3.8223332407828856,-3.3593537778789258,,0.09056330879203031
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,logQ,ct,0,-6.945292785123474,1.8782760712125682e-08,13.0,-4.8844381383705056,-3.8223332407828856,-3.3593537778789258,,8.846133271641411e-08
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,ADF,logM,ct,0,-2.143619624052165,0.5216007006180626,13.0,-4.8844381383705056,-3.8223332407828856,-3.3593537778789258,,0.8108823496897766
pv__DEU,equipment,pv,DEU,14,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",computed,Engle_Granger,y~logQ+logM,ct,0,-5.00556315323368,0.0030023302896762974,,-6.353988643604916,-5.111095175238963,-4.567184510696404,,0.01200932115870519
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,y,c,1,-1.6419255915357205,0.4612547932259541,8.0,-4.6651863281249994,-3.3671868750000002,-2.802960625,,0.6099672588585914
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,logQ,c,1,-1.5506849253306425,0.5083060490488261,8.0,-4.6651863281249994,-3.3671868750000002,-2.802960625,,0.6099672588585914
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,logM,c,1,-3.46491681863882,0.00893516560073921,8.0,-4.6651863281249994,-3.3671868750000002,-2.802960625,,0.02680549680221763
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,Engle_Granger,y~logQ+logM,c,1,-1.7062961617954748,0.8422709118714132,,-6.242422304526748,-4.787717887517147,-4.188559012345679,,0.8422709118714132
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,y,ct,1,-0.40242365042837164,0.9868059075048317,8.0,-5.796616484375,-4.18909859375,-3.5552890625,,0.9868059075048317
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,logQ,ct,1,-0.47095721707946353,0.9845301218378555,8.0,-5.796616484375,-4.18909859375,-3.5552890625,,0.9868059075048317
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,logM,ct,1,-5.696891455883533,9.292555745615807e-06,8.0,-5.796616484375,-4.18909859375,-3.5552890625,,0.00011151066894738969
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,Engle_Granger,y~logQ+logM,ct,1,-1.756996842841438,0.9349614284499999,,-7.220204732510288,-5.569126611796982,-4.89956720164609,,0.9349614284499999
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,y,c,0,-1.440743367472838,0.5625949949271597,9.0,-4.473135048010974,-3.28988060356653,-2.7723823456790124,,0.6179945697243667
pv__JPN,equipment,pv,JPN,10,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",computed,ADF,logQ,c,0,-4.275779523999278,0.000489124918583673,9.0,-4.473135048010974,-3.28988060356653,-2.7723823456790124,,0.0029347495115020377
