,Global,Denmark,United States,Germany,Sweden,Italy,United Kingdom,India,Spain,Canada,France,Turkey,Brazil
2017,0.96485703848859,0.9802846975272577,0.9501914998967602,0.9776871722142286,0.9455704803362872,0.9476011693214994,0.969922894247528,0.9702989245409528,0.9463445373439991,0.9526221051115903,0.9768665188667507,0.963366287127982,0.9313243923868587
2018,0.9864388289224509,0.9924291266117156,0.9806892881275954,0.9914246536594679,0.9788662852821014,0.979668073716525,0.9884123032725639,0.9885585367295828,0.9791720360521328,0.9816459679520431,0.9911069609027816,0.9858568664071108,0.9732112555469262
2019,1.0070469981875192,1.0039161908565704,1.010079172355525,1.0044391753738406,1.011046208631938,1.0106205535356438,1.0060123958056406,1.0059358567769425,1.0108838287747646,1.0095727771058367,1.0046047509530143,1.007352693160563,1.0140634282168706
2020,1.0292449248326154,1.016173392259866,1.0420255002592187,1.018348136122666,1.046126680344137,1.0443199848341125,1.0249113383680941,1.0245912924254583,1.0454371794176818,1.0398827466261487,1.019037387685948,1.0305280223266264,1.0590011535221098
2021,1.0543989562778764,1.029922072300656,1.0785841247294885,1.0339761765940985,1.086397899063462,1.082952523804752,1.0462551355611922,1.045654835993379,1.0850824295415615,1.074511870467133,1.035262577422885,1.0568157176588007,1.1110938975091424
2022,1.0741895832353743,1.0406372801644437,1.1076117047920706,1.0461753970217271,1.1184664063746117,1.113676786518886,1.0629955527619996,1.0621716222127728,1.1166370641632906,1.1019655506229487,1.047934282492243,1.0775173801988311,1.1529533019270042
2023,1.0977534872205414,1.0532819337493193,1.1424732762653467,1.0605928171209273,1.1570860402292025,1.150632855427965,1.082868971317116,1.0817752751500838,1.154620326850305,1.1348894607584274,1.0629171859591247,1.102187502169604,1.2037971926837505
2024,1.1103125739614912,1.0599721072946269,1.1611855357942895,1.068230297771862,1.1778621207395956,1.1704943393263798,1.093435535092084,1.0921965416296833,1.1750463536824298,1.1525408553556973,1.0708573037963247,1.1153455659227347,1.2313415460459276
2025,1.1276763372925718,1.0691666971855662,1.1872059564159938,1.0787372895175618,1.2068054387224165,1.198141200483724,1.1080157599747178,1.1065741826279747,1.203493249271097,1.1770625046111436,1.0817840876318172,1.1335480376294336,1.2699336419395146
2026,1.1450772821338335,1.0783182100673885,1.213454752016991,1.0892070183127807,1.2360641798179004,1.2260635345499205,1.1225942745529711,1.120947736280185,1.232240020930202,1.201772159938795,1.0926760600186782,1.1518016440222032,1.3092023260071066
2027,1.162638210414807,1.087491555397446,1.2401185786879032,1.0997136133783705,1.2658474370099604,1.2544604200656126,1.1372739836489008,1.1354186680012375,1.2614919149536332,1.2268451619392928,1.1036103028941457,1.170235231886538,1.3494347503090773
2028,1.180438652401542,1.0967275285163816,1.267322610025877,1.1103038757650854,1.2962971319837449,1.2834662594881106,1.1521208247402295,1.150051943517834,1.2913879565074047,1.2523983744650318,1.1146355532833563,1.1889325205686325,1.3908337060393638
2029,1.198514716336954,1.1060435292824897,1.2951281753974713,1.1209979457172707,1.327484642634136,1.3131478704621462,1.167164056740886,1.1648763440415906,1.3219977575824036,1.2784882917202987,1.125772846799653,1.2079317920404231,1.433510080242032
2030,1.2168604509886,1.1154350267564674,1.3235327336851046,1.1317908355147581,1.3594100335375812,1.343504062390818,1.1823977956572753,1.1798860090712537,1.35332088305416,1.3051113409174278,1.1370170652517546,1.2272271743510426,1.4774787251468322
