,Solar,Wind
2017,1,1
2018,1.088072095,1.090777866
2019,1.112116929,1.208445237
2020,1.202385775,1.435181926
2021,1.391877297,1.477638474
2022,1.553053841,1.548685609
2023,1.801030271,1.743608531
2024,1.954285709,1.860186225
2025,2.144938941,2.004455583
2026,2.334286553,2.146249352
2027,2.506786336,2.28416654
2028,2.645644547,2.41702364
2029,2.741362042,2.543868509
2030,2.797864982,2.663992853
