,Australia_Oceania,China,Japan,South Korea,Rest of World,Southeast Asia,"Central, Western and South Asia",India,Canada,United States,Rest of America,Brazil,"EU, UK and EFTA",Eastern Europe,Russia,North Africa,Sub Saharan,South Africa
2017,0.762810428563321,1.0,0.8616643827161435,0.8148367553042561,0.7910591638316978,0.7910591638316978,0.7910591638316978,0.7532626882120449,0.7910591638316978,0.7855031605033128,0.7910591638316978,0.7910591638316978,0.7982192639271841,0.7910591638316978,0.7910591638316978,0.7910591638316978,0.7910591638316978,0.7910591638316978
2018,0.86492047259912,1.088072095,0.9402619048564498,0.9530044762511996,0.8759308082669758,0.8759308082669758,0.8759308082669758,0.8619516269753201,0.8759308082669758,0.8517707271447178,0.8759308082669758,0.8759308082669758,0.9121825971328649,0.8759308082669758,0.8759308082669758,0.8759308082669758,0.8759308082669758,0.8759308082669758
2019,1.015621440209816,1.112116929,1.0596728079606803,1.196058880900612,0.9948574200246344,0.9948574200246344,0.9948574200246344,1.0255372114224046,0.9948574200246344,0.9319843458097624,0.9948574200246344,0.9948574200246344,1.0959474316711604,0.9948574200246344,0.9948574200246344,0.9948574200246344,0.9948574200246344,0.9948574200246344
2020,1.15256772592596,1.202385775,1.136008581822438,1.316133968743611,1.1099854924084898,1.1099854924084898,1.1099854924084898,1.1706893350282457,1.1099854924084898,1.0432663034303458,1.1099854924084898,1.1099854924084898,1.2179174423285033,1.1099854924084898,1.1099854924084898,1.1099854924084898,1.1099854924084898,1.1099854924084898
2021,1.2399763783478286,1.391877297,1.095509362915852,1.073666385883282,1.216980665340501,1.216980665340501,1.216980665340501,1.24629401768754,1.216980665340501,1.268625762815989,1.216980665340501,1.216980665340501,1.1459869575534398,1.216980665340501,1.216980665340501,1.216980665340501,1.216980665340501,1.216980665340501
2022,1.3798247056574449,1.553053841,1.138827020119212,1.0879076560516223,1.3450005393261888,1.3450005393261888,1.3450005393261888,1.3887072251256634,1.3450005393261888,1.4438251143286895,1.3450005393261888,1.3450005393261888,1.2136415420685653,1.3450005393261888,1.3450005393261888,1.3450005393261888,1.3450005393261888,1.3450005393261888
2023,1.190149424540713,1.801030271,1.049881647502347,0.972792071753576,1.1833837304014123,1.1833837304014123,1.1833837304014123,1.1895988613540938,1.1833837304014123,1.2654524629291992,1.1833837304014123,1.1833837304014123,1.0727984936999633,1.1833837304014123,1.1833837304014123,1.1833837304014123,1.1833837304014123,1.1833837304014123
2024,1.3863064006894177,1.954285709,1.141765795466937,1.0917705067471415,1.3504683560566058,1.3504683560566058,1.3504683560566058,1.3955348703393051,1.3504683560566058,1.4498715585058242,1.3504683560566058,1.3504683560566058,1.2183978797117898,1.3504683560566058,1.3504683560566058,1.3504683560566058,1.3504683560566058,1.3504683560566058
2025,1.578374223911866,2.144938941,1.2262121888856428,1.2043423244644054,1.51100822477723,1.51100822477723,1.51100822477723,1.5985012156934535,1.51100822477723,1.6277170647159491,1.51100822477723,1.51100822477723,1.3578204120113835,1.51100822477723,1.51100822477723,1.51100822477723,1.51100822477723,1.51100822477723
2026,1.7673705665256387,2.334286553,1.3048980148143003,1.3118919588862297,1.6664319866775152,1.6664319866775152,1.6664319866775152,1.799349964877762,1.6664319866775152,1.8004387562142268,1.6664319866775152,1.6664319866775152,1.4924174864426785,1.6664319866775152,1.6664319866775152,1.6664319866775152,1.6664319866775152,1.6664319866775152
2027,1.963978015821343,2.506786336,1.3828275281748847,1.420835634795067,1.8257617267018444,1.8257617267018444,1.8257617267018444,2.0093507420319683,1.8257617267018444,1.9780050541865848,1.8257617267018444,1.8257617267018444,1.630053937963893,1.8257617267018444,1.8257617267018444,1.8257617267018444,1.8257617267018444,1.8257617267018444
2028,2.180326699102892,2.645644547,1.464624402703668,1.5376903753133109,1.9986350746007455,1.9986350746007455,1.9986350746007455,2.2415688489728067,1.9986350746007455,2.1711923594218225,1.9986350746007455,1.9986350746007455,1.779041462721422,1.9986350746007455,1.9986350746007455,1.9986350746007455,1.9986350746007455,1.9986350746007455
2029,2.411805715541278,2.741362042,1.548190231003952,1.6596286738902974,2.18106591783005,2.18106591783005,2.18106591783005,2.4912163216265903,2.18106591783005,2.375605746220732,2.18106591783005,2.18106591783005,1.9359156365273826,2.18106591783005,2.18106591783005,2.18106591783005,2.18106591783005,2.18106591783005
2030,2.63264211973364,2.797864982,1.62460819057469,1.7733241154423205,2.352924316462913,2.352924316462913,2.352924316462913,2.7304301409563383,2.352924316462913,2.568644903567284,2.352924316462913,2.352924316462913,2.0834035195918057,2.352924316462913,2.352924316462913,2.352924316462913,2.352924316462913,2.352924316462913
