scenario,year,species,region,commodity,sector,subsector,unit,value
tfp0,2017,energy,Australia_Oceania,Coal,Rice,,million toe,2.3348600546961096e-5
tfp0,2017,energy,Australia_Oceania,Oil,Rice,,million toe,8.08501227896261e-9
tfp0,2017,energy,Australia_Oceania,Gas,Rice,,million toe,0.00017758307315687925
tfp0,2017,energy,Australia_Oceania,Petro,Rice,,million toe,0.007279836291662099
tfp0,2017,energy,Australia_Oceania,Power,Rice,,million toe,0.0006723068157719707
tfp0,2017,CO2,Australia_Oceania,Coal,Rice,,million t,9.388123519798276e-5
tfp0,2017,CO2,Australia_Oceania,Oil,Rice,,million t,2.482357281427123e-8
tfp0,2017,CO2,Australia_Oceania,Gas,Rice,,million t,0.0004171062164171842
tfp0,2017,CO2,Australia_Oceania,Petro,Rice,,million t,0.02240192194366214
tfp0,2017,energy,Australia_Oceania,Coal,Crops nec,,million toe,0.0635807317689013
tfp0,2017,energy,Australia_Oceania,Oil,Crops nec,,million toe,1.1831710759988844e-5
tfp0,2017,energy,Australia_Oceania,Gas,Crops nec,,million toe,0.02422710882413939
tfp0,2017,energy,Australia_Oceania,Petro,Crops nec,,million toe,1.0974010802547944
tfp0,2017,energy,Australia_Oceania,Power,Crops nec,,million toe,0.14207819622314077
tfp0,2017,CO2,Australia_Oceania,Coal,Crops nec,,million t,0.2553334982726582
tfp0,2017,CO2,Australia_Oceania,Oil,Crops nec,,million t,3.632713538024729e-5
tfp0,2017,CO2,Australia_Oceania,Gas,Crops nec,,million t,0.056904506920482795
tfp0,2017,CO2,Australia_Oceania,Petro,Crops nec,,million t,3.377346331451989
tfp0,2017,energy,Australia_Oceania,Coal,"Bovine cattle, sheep and goats, horses",,million toe,0.007008098096552125
tfp0,2017,energy,Australia_Oceania,Oil,"Bovine cattle, sheep and goats, horses",,million toe,4.513583850878535e-7
tfp0,2017,energy,Australia_Oceania,Gas,"Bovine cattle, sheep and goats, horses",,million toe,0.0077784643572771876
tfp0,2017,energy,Australia_Oceania,Petro,"Bovine cattle, sheep and goats, horses",,million toe,0.40224215197200636
tfp0,2017,energy,Australia_Oceania,Power,"Bovine cattle, sheep and goats, horses",,million toe,0.07237725924022576
tfp0,2017,CO2,Australia_Oceania,Coal,"Bovine cattle, sheep and goats, horses",,million t,0.028179286061609347
tfp0,2017,CO2,Australia_Oceania,Oil,"Bovine cattle, sheep and goats, horses",,million t,1.3858146052504067e-6
tfp0,2017,CO2,Australia_Oceania,Gas,"Bovine cattle, sheep and goats, horses",,million t,0.01827001796192386
tfp0,2017,CO2,Australia_Oceania,Petro,"Bovine cattle, sheep and goats, horses",,million t,1.2385731601926542
tfp0,2017,energy,Australia_Oceania,Coal,Animal products nec,,million toe,0.012973454460275874
tfp0,2017,energy,Australia_Oceania,Oil,Animal products nec,,million toe,9.731881119816758e-7
tfp0,2017,energy,Australia_Oceania,Gas,Animal products nec,,million toe,0.027578254491795726
tfp0,2017,energy,Australia_Oceania,Petro,Animal products nec,,million toe,0.7655456173164831
tfp0,2017,energy,Australia_Oceania,Power,Animal products nec,,million toe,0.19135611179929837
tfp0,2017,CO2,Australia_Oceania,Coal,Animal products nec,,million t,0.05216697812437722
tfp0,2017,CO2,Australia_Oceania,Oil,Animal products nec,,million t,2.987998713011072e-6
tfp0,2017,CO2,Australia_Oceania,Gas,Animal products nec,,million t,0.06477566163177782
tfp0,2017,CO2,Australia_Oceania,Petro,Animal products nec,,million t,2.3575745337359675
