scenario,year,species,region,commodity,sector,subsector,unit,value
tfp1,2017,energy,Australia_Oceania,Petro,Gas,,million toe,0.072797173
tfp1,2017,energy,Australia_Oceania,Power,Gas,,million toe,0.505700196
tfp1,2017,CO2,Australia_Oceania,Coal,Gas,,million t,2.98E-07
tfp1,2017,CO2,Australia_Oceania,Oil,Gas,,million t,0
tfp1,2017,CO2,Australia_Oceania,Gas,Gas,,million t,4.500569274
tfp1,2017,CO2,Australia_Oceania,Petro,Gas,,million t,0.209123519
tfp1,2017,energy,Australia_Oceania,Coal,Mine,,million toe,0.090569682
tfp1,2017,energy,Australia_Oceania,Oil,Mine,,million toe,0.001129387
tfp1,2017,energy,Australia_Oceania,Gas,Mine,,million toe,0.159197833
tfp1,2017,energy,Australia_Oceania,Petro,Mine,,million toe,2.99823872
tfp1,2017,energy,Australia_Oceania,Power,Mine,,million toe,1.734321216
tfp1,2017,CO2,Australia_Oceania,Coal,Mine,,million t,0.364136826
tfp1,2017,CO2,Australia_Oceania,Oil,Mine,,million t,0
tfp1,2017,CO2,Australia_Oceania,Gas,Mine,,million t,0.374004478
tfp1,2017,CO2,Australia_Oceania,Petro,Mine,,million t,9.319192298
tfp1,2017,energy,Australia_Oceania,Coal,Manufac,,million toe,3.507501807
tfp1,2017,energy,Australia_Oceania,Oil,Manufac,,million toe,0.013305213
tfp1,2017,energy,Australia_Oceania,Gas,Manufac,,million toe,10.05974373
tfp1,2017,energy,Australia_Oceania,Petro,Manufac,,million toe,5.551668559
tfp1,2017,energy,Australia_Oceania,Power,Manufac,,million toe,6.418920937
tfp1,2017,CO2,Australia_Oceania,Coal,Manufac,,million t,13.93937481
tfp1,2017,CO2,Australia_Oceania,Oil,Manufac,,million t,0.042096443
tfp1,2017,CO2,Australia_Oceania,Gas,Manufac,,million t,17.68991191
tfp1,2017,CO2,Australia_Oceania,Petro,Manufac,,million t,6.791833028
tfp1,2017,energy,Australia_Oceania,Coal,Petro,,million toe,4.109897437
tfp1,2017,energy,Australia_Oceania,Oil,Petro,,million toe,26.91087984
tfp1,2017,energy,Australia_Oceania,Gas,Petro,,million toe,7.038637278
tfp1,2017,energy,Australia_Oceania,Petro,Petro,,million toe,5.78274255
tfp1,2017,energy,Australia_Oceania,Power,Petro,,million toe,0.447708947
tfp1,2017,CO2,Australia_Oceania,Coal,Petro,,million t,9.37E-06
tfp1,2017,CO2,Australia_Oceania,Oil,Petro,,million t,0
tfp1,2017,CO2,Australia_Oceania,Gas,Petro,,million t,12.31756526
tfp1,2017,CO2,Australia_Oceania,Petro,Petro,,million t,10.36299843
tfp1,2017,energy,Australia_Oceania,Coal,WatWaste,,million toe,0.001538343
tfp1,2017,energy,Australia_Oceania,Oil,WatWaste,,million toe,0.000344136
tfp1,2017,energy,Australia_Oceania,Gas,WatWaste,,million toe,0.012796623
tfp1,2017,energy,Australia_Oceania,Petro,WatWaste,,million toe,0.051405091
tfp1,2017,energy,Australia_Oceania,Power,WatWaste,,million toe,0.295561971
tfp1,2017,CO2,Australia_Oceania,Coal,WatWaste,,million t,0.006396027
tfp1,2017,CO2,Australia_Oceania,Oil,WatWaste,,million t,0.001051329
tfp1,2017,CO2,Australia_Oceania,Gas,WatWaste,,million t,0.030053629
tfp1,2017,CO2,Australia_Oceania,Petro,WatWaste,,million t,0.144432795
tfp1,2017,energy,Australia_Oceania,Coal,OthServ,,million toe,0.062783721
tfp1,2017,energy,Australia_Oceania,Oil,OthServ,,million toe,0.022803653
tfp1,2017,energy,Australia_Oceania,Gas,OthServ,,million toe,1.661185588
tfp1,2017,energy,Australia_Oceania,Petro,OthServ,,million toe,3.073249244
tfp1,2017,energy,Australia_Oceania,Power,OthServ,,million toe,6.898130257
tfp1,2017,CO2,Australia_Oceania,Coal,OthServ,,million t,0.259562241
tfp1,2017,CO2,Australia_Oceania,Oil,OthServ,,million t,0.066146612
tfp1,2017,CO2,Australia_Oceania,Gas,OthServ,,million t,3.901344056
tfp1,2017,CO2,Australia_Oceania,Petro,OthServ,,million t,6.956839242
tfp1,2017,energy,Australia_Oceania,Coal,Transport,,million toe,0.002895897
tfp1,2017,energy,Australia_Oceania,Oil,Transport,,million toe,0.000461801
tfp1,2017,energy,Australia_Oceania,Gas,Transport,,million toe,0.437207684
tfp1,2017,energy,Australia_Oceania,Petro,Transport,,million toe,34.65857565
tfp1,2017,energy,Australia_Oceania,Power,Transport,,million toe,0.778903473
tfp1,2017,CO2,Australia_Oceania,Coal,Transport,,million t,0.012076077
tfp1,2017,CO2,Australia_Oceania,Oil,Transport,,million t,0.001417876
tfp1,2017,CO2,Australia_Oceania,Gas,Transport,,million t,1.026890643
tfp1,2017,CO2,Australia_Oceania,Petro,Transport,,million t,104.4686254
tfp1,2017,energy,Australia_Oceania,Coal,Power,TnD,million toe,1.19E-05
tfp1,2017,energy,Australia_Oceania,Oil,Power,TnD,million toe,4.59E-06
tfp1,2017,energy,Australia_Oceania,Gas,Power,TnD,million toe,7.64E-06
tfp1,2017,energy,Australia_Oceania,Petro,Power,TnD,million toe,0.363425246
tfp1,2017,energy,Australia_Oceania,Power,Power,TnD,million toe,1.202582501
tfp1,2017,CO2,Australia_Oceania,Coal,Power,TnD,million t,4.85E-05
tfp1,2017,CO2,Australia_Oceania,Oil,Power,TnD,million t,1.41E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Power,TnD,million t,1.79E-05
tfp1,2017,CO2,Australia_Oceania,Petro,Power,TnD,million t,1.240642966
tfp1,2017,energy,Australia_Oceania,Coal,Power,Coal_Power,million toe,29.63156052
tfp1,2017,energy,Australia_Oceania,Oil,Power,Coal_Power,million toe,3.56E-06
tfp1,2017,energy,Australia_Oceania,Gas,Power,Coal_Power,million toe,5.93E-06
tfp1,2017,energy,Australia_Oceania,Petro,Power,Coal_Power,million toe,3.13E-06
tfp1,2017,energy,Australia_Oceania,Power,Power,Coal_Power,million toe,0.0607664
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Coal_Power,million t,120.2747127
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Coal_Power,million t,1.09E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Coal_Power,million t,1.39E-05
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Coal_Power,million t,1.07E-05
tfp1,2017,energy,Australia_Oceania,Coal,Power,Oil_Power,million toe,2.60E-06
tfp1,2017,energy,Australia_Oceania,Oil,Power,Oil_Power,million toe,0.004377515
tfp1,2017,energy,Australia_Oceania,Gas,Power,Oil_Power,million toe,1.66E-06
tfp1,2017,energy,Australia_Oceania,Petro,Power,Oil_Power,million toe,0.564502616
tfp1,2017,energy,Australia_Oceania,Power,Power,Oil_Power,million toe,0.003378119
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Oil_Power,million t,1.05E-05
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Oil_Power,million t,0.013420267
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Oil_Power,million t,3.90E-06
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Oil_Power,million t,1.927070856
tfp1,2017,energy,Australia_Oceania,Coal,Power,Gas_Power,million toe,9.70E-06
tfp1,2017,energy,Australia_Oceania,Oil,Power,Gas_Power,million toe,3.73E-06
tfp1,2017,energy,Australia_Oceania,Gas,Power,Gas_Power,million toe,10.94341332
tfp1,2017,energy,Australia_Oceania,Petro,Power,Gas_Power,million toe,3.27E-06
tfp1,2017,energy,Australia_Oceania,Power,Power,Gas_Power,million toe,0.036612763
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Gas_Power,million t,3.94E-05
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Gas_Power,million t,1.14E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Gas_Power,million t,25.70383515
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Gas_Power,million t,1.12E-05
tfp1,2017,energy,Australia_Oceania,Coal,Power,Nuclear,million toe,3.94E-11
tfp1,2017,energy,Australia_Oceania,Oil,Power,Nuclear,million toe,1.51E-11
tfp1,2017,energy,Australia_Oceania,Gas,Power,Nuclear,million toe,2.52E-11
tfp1,2017,energy,Australia_Oceania,Petro,Power,Nuclear,million toe,1.33E-11
tfp1,2017,energy,Australia_Oceania,Power,Power,Nuclear,million toe,4.08E-12
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Nuclear,million t,1.60E-10
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Nuclear,million t,4.64E-11
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Nuclear,million t,5.92E-11
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Nuclear,million t,4.54E-11
tfp1,2017,energy,Australia_Oceania,Coal,Power,Hydro,million toe,2.13E-05
tfp1,2017,energy,Australia_Oceania,Oil,Power,Hydro,million toe,8.20E-06
tfp1,2017,energy,Australia_Oceania,Gas,Power,Hydro,million toe,1.36E-05
tfp1,2017,energy,Australia_Oceania,Petro,Power,Hydro,million toe,7.20E-06
tfp1,2017,energy,Australia_Oceania,Power,Power,Hydro,million toe,0.165304755
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Hydro,million t,8.66E-05
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Hydro,million t,2.51E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Hydro,million t,3.20E-05
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Hydro,million t,2.46E-05
tfp1,2017,energy,Australia_Oceania,Coal,Power,Wind,million toe,5.86E-05
tfp1,2017,energy,Australia_Oceania,Oil,Power,Wind,million toe,2.25E-05
tfp1,2017,energy,Australia_Oceania,Gas,Power,Wind,million toe,3.75E-05
tfp1,2017,energy,Australia_Oceania,Petro,Power,Wind,million toe,1.98E-05
tfp1,2017,energy,Australia_Oceania,Power,Power,Wind,million toe,0.051333202
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Wind,million t,0.00023779
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Wind,million t,6.90E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Wind,million t,8.80E-05
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Wind,million t,6.75E-05
tfp1,2017,energy,Australia_Oceania,Coal,Power,Solar,million toe,3.69E-05
tfp1,2017,energy,Australia_Oceania,Oil,Power,Solar,million toe,1.42E-05
tfp1,2017,energy,Australia_Oceania,Gas,Power,Solar,million toe,2.36E-05
tfp1,2017,energy,Australia_Oceania,Petro,Power,Solar,million toe,1.25E-05
tfp1,2017,energy,Australia_Oceania,Power,Power,Solar,million toe,0.008132817
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Solar,million t,0.000149957
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Solar,million t,4.35E-05
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Solar,million t,5.55E-05
