scenario,year,species,region,commodity,sector,subsector,unit,value
tfp2,2017,CO2,Australia_Oceania,Oil,Oil,,million t,0.10569528370416
tfp2,2017,CO2,Australia_Oceania,Gas,Oil,,million t,0.0027053911141710018
tfp2,2017,CO2,Australia_Oceania,Petro,Oil,,million t,0.03273262063478619
tfp2,2017,energy,Australia_Oceania,Coal,Gas,,million toe,0.00026070854859414956
tfp2,2017,energy,Australia_Oceania,Oil,Gas,,million toe,0.000947574295508255
tfp2,2017,energy,Australia_Oceania,Gas,Gas,,million toe,1.9209719186319298
tfp2,2017,energy,Australia_Oceania,Petro,Gas,,million toe,0.07311765378662508
tfp2,2017,energy,Australia_Oceania,Power,Gas,,million toe,0.5037588018543094
tfp2,2017,CO2,Australia_Oceania,Coal,Gas,,million t,2.9747836198282273e-7
tfp2,2017,CO2,Australia_Oceania,Oil,Gas,,million t,0.0
tfp2,2017,CO2,Australia_Oceania,Gas,Gas,,million t,4.5094605072267155
tfp2,2017,CO2,Australia_Oceania,Petro,Gas,,million t,0.21004416130893658
tfp2,2017,energy,Australia_Oceania,Coal,Mine,,million toe,0.09033267693944651
tfp2,2017,energy,Australia_Oceania,Oil,Mine,,million toe,0.0011326450038252253
tfp2,2017,energy,Australia_Oceania,Gas,Mine,,million toe,0.15924831654184968
tfp2,2017,energy,Australia_Oceania,Petro,Mine,,million toe,3.006453606535578
tfp2,2017,energy,Australia_Oceania,Power,Mine,,million toe,1.7248034991035823
tfp2,2017,CO2,Australia_Oceania,Coal,Mine,,million t,0.36318394264214454
tfp2,2017,CO2,Australia_Oceania,Oil,Mine,,million t,0.0
tfp2,2017,CO2,Australia_Oceania,Gas,Mine,,million t,0.37412308035794783
tfp2,2017,CO2,Australia_Oceania,Petro,Mine,,million t,9.344725991727008
tfp2,2017,energy,Australia_Oceania,Coal,Manufac,,million toe,3.4993562026595195
tfp2,2017,energy,Australia_Oceania,Oil,Manufac,,million toe,0.013347534466874846
tfp2,2017,energy,Australia_Oceania,Gas,Manufac,,million toe,10.065905032639465
tfp2,2017,energy,Australia_Oceania,Petro,Manufac,,million toe,5.568523293619277
tfp2,2017,energy,Australia_Oceania,Power,Manufac,,million toe,6.38557964938634
tfp2,2017,CO2,Australia_Oceania,Coal,Manufac,,million t,13.907002871115935
tfp2,2017,CO2,Australia_Oceania,Oil,Manufac,,million t,0.042230343977149025
tfp2,2017,CO2,Australia_Oceania,Gas,Manufac,,million t,17.700746469449797
tfp2,2017,CO2,Australia_Oceania,Petro,Manufac,,million t,6.812452872424115
tfp2,2017,energy,Australia_Oceania,Coal,Petro,,million toe,4.091504318363196
tfp2,2017,energy,Australia_Oceania,Oil,Petro,,million toe,26.93821990717214
tfp2,2017,energy,Australia_Oceania,Gas,Petro,,million toe,7.027749579332528
tfp2,2017,energy,Australia_Oceania,Petro,Petro,,million toe,5.78778179298402
tfp2,2017,energy,Australia_Oceania,Power,Petro,,million toe,0.4444223125483752
tfp2,2017,CO2,Australia_Oceania,Coal,Petro,,million t,9.32484556669173e-6
tfp2,2017,CO2,Australia_Oceania,Oil,Petro,,million t,0.0
tfp2,2017,CO2,Australia_Oceania,Gas,Petro,,million t,12.298511862821623
tfp2,2017,CO2,Australia_Oceania,Petro,Petro,,million t,10.372029031391413
tfp2,2017,energy,Australia_Oceania,Coal,WatWaste,,million toe,0.0015364596724330942
tfp2,2017,energy,Australia_Oceania,Oil,WatWaste,,million toe,0.00034561069604304725
tfp2,2017,energy,Australia_Oceania,Gas,WatWaste,,million toe,0.012818556434553286
tfp2,2017,energy,Australia_Oceania,Petro,WatWaste,,million toe,0.05161791539222673
tfp2,2017,energy,Australia_Oceania,Power,WatWaste,,million toe,0.2943504267841505
tfp2,2017,CO2,Australia_Oceania,Coal,WatWaste,,million t,0.006388198179405901
tfp2,2017,CO2,Australia_Oceania,Oil,WatWaste,,million t,0.0010558337191615215
tfp2,2017,CO2,Australia_Oceania,Gas,WatWaste,,million t,0.030105140122758986
tfp2,2017,CO2,Australia_Oceania,Petro,WatWaste,,million t,0.1450307664013358
tfp2,2017,energy,Australia_Oceania,Coal,OthServ,,million toe,0.06267480179961098
tfp2,2017,energy,Australia_Oceania,Oil,OthServ,,million toe,0.022889658390576013
tfp2,2017,energy,Australia_Oceania,Gas,OthServ,,million toe,1.6631818530007005
tfp2,2017,energy,Australia_Oceania,Petro,OthServ,,million toe,3.0843948229941796
tfp2,2017,energy,Australia_Oceania,Power,OthServ,,million toe,6.866340915441831
tfp2,2017,CO2,Australia_Oceania,Coal,OthServ,,million t,0.2591119459773528
