,,TnD,Coal_Power,Oil_Power,Gas_Power,Nuclear,Hydro,Wind,Solar,Biomass
1993,Canada,0,77380.0,5885.0,14911.0,93495.0,88602.0,59.0,3.0,-116.0
1993,United States,0,1804180.0,120360.0,433798.0,646987.0,259159.0,3053.0,4.0,60020.0
1993,Rest of America,0,17927.0,75613.0,24891.0,12681.0,203685.0,1.0,4.0,6255.0
1993,Brazil,0,-127041.0,3639.0,-18908.0,442.0,194621.0,-1.0,-11.0,3417.0
1993,EUPlus,0,266397.0,125294.0,208015.0,849566.0,343077.0,2340.0,32.0,25418.0
1993,Eastern Europe,0,-868216.0,-190555.0,-145413.0,-810281.0,-486670.0,-2362.0,-36.0,-25666.0
1993,Russia,0,110702.0,82355.0,429376.0,119186.0,149259.0,0.0,0.0,1756.0
1993,North Africa,0,-145429.0,-171098.0,-131364.0,-249256.0,-95771.0,-2.0,-89.0,-8245.0
1993,Sub Saharan,0,-23076.0,-70580.0,-51962.0,0.0,12742.0,0.0,0.0,0.0
1993,South Africa,0,17369.0,-82997.0,-429745.0,-111931.0,-172793.0,0.0,0.0,-1756.0
1994,Australia_Oceania,0,-1674832.0,-124518.0,-423326.0,-646987.0,-260577.0,-3048.0,9.0,-58967.0
1994,China,0,669548.0,-104830.0,-251452.0,49116.0,48699.0,39.0,5.0,596.0
1994,Japan,0,-100255.0,223852.0,170073.0,263479.0,-6105.0,-198.0,96.0,8658.0
1994,South Korea,0,-127156.0,40091.0,18427.0,48954.0,1507.0,1.0,2.0,0.0
1994,Rest of World,0,13787.0,-116929.0,-73397.0,-12474.0,-197550.0,-5.0,-5.0,-6364.0
1994,Southeast Asia,0,-9263.0,33942.0,62436.0,-58651.0,29761.0,-1.0,-2.0,494.0
1994,"Central, Western and South Asia",0,10700.0,170228.0,244552.0,-107323.0,-202357.0,-58.0,-3.0,-5703.0
1994,India,0,181573.0,-6896.0,-40126.0,-63200.0,66332.0,200.0,0.0,0.0
