,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
Coal_Power,13.72053015,507.8320931,28.54044243,21.09359045,2.270465455,28.78661315,29.94943809,97.1262968,4.942040437,147.022243,6.738549506,2.651298533,87.73020948,10.51673389,34.75494158,1.700730417,2.759686909,17.86576269
Oil_Power,1.087365445,11.69053542,11.64389448,2.515466901,0.139757967,4.77518086,40.16880453,4.642890904,0.869147675,8.04356998,15.76458079,7.159900201,23.81470893,1.07066372,7.514141618,4.074008778,2.881042256,0.077528185
Gas_Power,5.621097765,37.88522563,40.74803436,15.15230504,0.096086164,37.11250452,95.00956604,6.629262075,5.316412005,108.8721639,29.59103498,9.16168041,68.84000812,17.56191515,136.0312418,22.29480052,4.234299449,0.23908107
Nuclear,0.051499167,17.7676841,5.655067238,14.15062212,0.028828326,0.371321516,1.778126862,3.739884314,7.590986558,72.08970901,1.448686237,2.095756264,78.59775436,7.563537859,15.6500452,0.228785451,0.205310904,1.137519958
Hydro,4.119020952,106.0680656,7.205622649,0.250411929,1.420142267,12.54752101,17.4458923,13.4503022,26.24728033,27.85771422,26.29341661,34.41335085,51.68766398,3.226010444,14.94622274,1.763930051,9.553652618,1.370197611
Wind,1.124951572,15.79920901,0.443881033,0.103798768,0.030833122,0.151501514,1.051953844,3.760267477,1.600036581,15.95074623,1.115359165,1.25242618,22.31545159,0.186338017,0.044978527,0.516038858,0.073599129,0.101242481
Solar,0.443076579,2.991131682,2.158521541,0.231359251,0.003468308,0.195133855,0.178002183,0.502618336,0.137463898,2.12989311,0.11747545,0.053046977,8.632355333,0.068456823,0.025462468,0.069865731,0.021655223,0.091312242
Other,0.859140086,2.779189219,0.915067428,1.107035742,0.008076328,2.351696123,0.646643399,0.276892512,0.382703972,5.285938836,0.983843129,0.295201966,19.84205904,0.77144691,9.934180091,0.097544412,0.463638387,0.015986424
