,Australia_Oceania,China,Japan,South Korea,Rest of World,Southeast Asia,"Central, Western and South Asia",India,Canada,United States,Rest of America,Brazil,EUPlus,Eastern Europe,Russia,North Africa,Sub Saharan,South Africa
TnD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_Power,164178.0,4387788.0,345222.0,234699.0,51021.0,364669.0,189059.0,1081609.0,62197.0,1354034.0,81436.0,25289.0,737645.0,66968.0,171443.0,16985.0,9395.0,226545.0
Oil_Power,5578.0,22619.0,73653.0,17757.0,1347.0,25496.0,410078.0,10947.0,7959.0,34759.0,137962.0,14985.0,64330.0,2229.0,10968.0,41886.0,28042.0,183.0
Gas_Power,56121.0,266810.0,439321.0,126559.0,967.0,382297.0,1071118.0,70459.0,61795.0,1418100.0,380103.0,56484.0,612782.0,47948.0,521788.0,242742.0,49655.0,0.0
Nuclear,0.0,244948.0,18060.0,161995.0,0.0,0.0,15999.0,37916.0,101429.0,839918.0,18852.0,15864.0,860830.0,80950.0,196614.0,0.0,0.0,15026.0
Hydro,41250.0,1193904.0,85666.0,6634.0,33786.0,144544.0,190286.0,137757.0,385505.0,292113.0,334741.0,380911.0,574617.0,17703.0,186640.0,14730.0,99107.0,3975.0
Wind,14540.0,238529.0,6166.0,1683.0,289.0,1527.0,18162.0,48281.0,30930.0,229471.0,21540.0,33488.0,306206.0,1032.0,148.0,5229.0,859.0,3700.0
Solar,6262.0,67636.0,45761.0,5123.0,81.0,4967.0,4428.0,18778.0,4030.0,46633.0,4928.0,85.0,107184.0,521.0,462.0,676.0,373.0,2509.0
Biomass,4536.0,79805.0,33822.0,6468.0,74.0,24183.0,2763.0,26223.0,12010.0,79147.0,19463.0,51400.0,210146.0,326.0,2464.0,0.0,1925.0,311.0
