,Australia_Oceania,China,Japan,South Korea,Rest of World,Southeast Asia,"Central, Western and South Asia",India,Canada,United States,Rest of America,Brazil,EUPlus,Eastern Europe,Russia,North Africa,Sub Saharan,South Africa
TnD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_Power,163042,4719017,348904,255509,50899,386803,210481,1130459,60104,1321421,72566,22422,710198,55022,174755,17545,10131,226271
Oil_Power,5280,22989,60809,11795,1259,26075,376137,9668,5857,32412,120558,15634,60819,1538,6976,36301,27885,183
Gas_Power,57444,287828,425306,125947,1402,361716,1185790,74269,54248,1337703,379055,65593,664847,45519,518473,262692,48750,0
Nuclear,0,270516,32912,148427,0,0,20014,38346,101299,838861,16997,15739,850094,85576,203143,0,0,14193
Hydro,41458,1206645,91104,7006,27857,179411,177975,141765,394659,325114,356425,370906,525423,15913,187131,14347,104483,5289
Wind,14688,298953,6490,2169,391,2560,21801,54994,31511,257249,23558,42373,364947,1087,140,5377,616,4924
Solar,8146,119498,55069,7056,99,6297,7650,26035,3892,67393,7401,832,115188,832,558,1118,574,3249
Biomass,4303,96433,37173,6911,137,21079,3393,33450,11539,78518,20418,55380,214079,428,2678,0,1911,338
