idx1,idx2,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
REGHOUS,Capital,203709.09375,1364290.25,1263907.625,340651.53125,24972.021484375,779817.625,1821302.75,549682.5625,75116.28125,4299834.5,1173137.875,241645.875,3211847.75,62908.015625,491361.53125,180188.453125,329085.34375,71974.609375
SAVINV,Capital,287113.03125,3082975.75,879587.6875,290331.28125,12563.9228515625,536539.875,726625.375,432851.78125,331533.875,2648571.0,594060.9375,443316.875,3849593.75,56541.21875,306904.03125,90840.09375,217731.828125,58793.796875
