,,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
Oceania,1R,0.03306206315755844,0.0007752702222205698,4.395214273245074e-05,6.435149407479912e-05,1.5429448012582725e-06,0.0004327474453020841,0.00011269138485658914,0.0003786232555285096,1.9260442059021443e-05,9.403371950611472e-05,4.040078056277707e-05,6.480022420873865e-05,0.0003806629974860698,1.4781617210246623e-05,5.215728151597432e-07,2.0483441858232254e-06,6.917794235050678e-05,2.3770529878675006e-05
Oceania,2C,690.1365966796875,3857.232421875,1347.486328125,515.8858032226562,0.6969946622848511,3897.859375,2421.172607421875,1737.4556884765625,51.104251861572266,320.8549499511719,31.0839786529541,6.905391216278076,2105.5439453125,0.3499518632888794,16.307775497436523,227.1485595703125,205.5531005859375,32.36653137207031
Oceania,3C,128.8945770263672,245.21774291992188,43.64409637451172,0.9303069710731506,4.967197418212891,775.7425537109375,278.9837341308594,0.014954797923564911,0.27055275440216064,14.207223892211914,2.595249891281128,0.20680031180381775,4.058645725250244,0.0005692918202839792,3.08173184748739e-05,0.00010233848297502846,0.15419159829616547,6.903966426849365
Oceania,4A,120.15476989746094,3588.305419921875,307.2197265625,24.47542953491211,0.36036285758018494,512.9156494140625,37.4068717956543,164.33746337890625,30.289268493652344,262.5724792480469,5.613979816436768,2.458832263946533,468.37152099609375,0.9260725975036621,13.876849174499512,39.659759521484375,1.4562969207763672,6.085089683532715
Oceania,5F,3.4266223907470703,3405.22021484375,63.63569641113281,302.6167297363281,0.11116392910480499,45.318214416503906,5.3845109939575195,288.5872497558594,0.07900036871433258,1.636094093322754,0.2913411855697632,0.01553498487919569,3.5854878425598145,0.0038328305818140507,0.016970191150903702,0.001232556882314384,1.6365454196929932,0.012181899510324001
Oceania,6C,236.58029174804688,15798.619140625,14072.69921875,6123.3505859375,0.043279826641082764,1886.1129150390625,228.56393432617188,7563.69140625,0.2946357727050781,0.658829927444458,210.17723083496094,663.382568359375,2868.849365234375,79.41445922851562,2.4803824424743652,3.3374900817871094,6.436905384063721,22.585920333862305
Oceania,7O,475.8773193359375,337.9897155761719,68.21788024902344,269.2156677246094,0.20946095883846283,945.0682983398438,4.049312114715576,0.454033762216568,0.007840297184884548,38.173038482666016,0.05788413807749748,10.535534858703613,1.0060166120529175,0.04747290536761284,2.7320501772010175e-07,0.05929851531982422,0.011685560457408428,0.035949259996414185
Oceania,8G,6.870816230773926,5432.0048828125,18735.298828125,4594.36376953125,0.031671442091464996,1589.2247314453125,103.68584442138672,1401.69970703125,0.9490353465080261,17.445402145385742,6.8392767906188965,2.552996873855591,61.10189437866211,5.498654842376709,0.15510976314544678,3.4561262130737305,8.804121971130371,5.227345943450928
Oceania,9M,59.48525619506836,54717.6640625,7097.95263671875,4709.81103515625,0.018065767362713814,1477.304443359375,44.12358474731445,930.99072265625,44.44188690185547,298.570556640625,17.932559967041016,1.7212287187576294,1027.9794921875,8.950921058654785,5.175364971160889,1.2402094602584839,22.016096115112305,2.6038782596588135
Oceania,10,16499.244140625,34841.07421875,7714.30615234375,3975.931396484375,141.028076171875,14572.548828125,8994.48046875,2412.9951171875,1627.03173828125,12678.720703125,1488.822265625,262.4188537597656,12600.2900390625,37.836795806884766,593.3229370117188,866.7539672851562,1456.1654052734375,929.9882202148438
