,,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
Oceania,1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,2C,22.4473876953125,158.73291015625,173.1768798828125,29.97589111328125,0.0,22.76904296875,65.884521484375,598.7764892578125,0.6746063232421875,27.052886962890625,0.41033172607421875,0.49173641204833984,57.91259765625,0.005774259567260742,0.8659229278564453,19.134994506835938,17.394500732421875,1.2425575256347656
Oceania,3C,0.105194091796875,6.125,32.841758728027344,0.030762553215026855,0.0,36.016845703125,44.846405029296875,0.0,0.0,0.0,0.006068229675292969,0.0,0.022174358367919922,0.0,0.0,0.0,0.0,0.0
Oceania,4A,1.19952392578125,865.635986328125,10.4107666015625,2.195261001586914,0.00011673569679260254,17.51983642578125,2.2936172485351562,8.74151611328125,0.0019073486328125,1.860015869140625,0.2205357551574707,0.04137849807739258,12.6036376953125,0.055968642234802246,0.07388019561767578,0.005039215087890625,0.10737800598144531,0.042589664459228516
Oceania,5F,0.050597429275512695,0.119140625,0.02883148193359375,0.0943603515625,0.0,0.10973739624023438,0.29132938385009766,16.042999267578125,1.9825994968414307e-05,0.0006291866302490234,0.0002804994583129883,0.0,0.07349872589111328,0.0,0.0010899901390075684,0.0,0.05527651309967041,0.0
Oceania,6C,11.32269287109375,0.0,0.0,0.0,0.00010041892528533936,7.21484375,2.7448577880859375,207.9296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,7O,12.1959228515625,0.0,0.0,1.588653564453125,0.0,0.6387939453125,0.07233285903930664,0.0,0.0,0.03586578369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,8G,5.0067901611328125e-05,0.0,0.0,0.18896484375,0.0,0.0,0.0,38.95166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049041748046875e-05,0.0
Oceania,9M,0.7607345581054688,0.47265625,0.49462890625,1.4541015625,0.0010891072452068329,4.8521728515625,1.8542404174804688,33.070556640625,0.001068115234375,0.002960205078125,0.08957290649414062,0.0743405818939209,0.1387939453125,0.0043239593505859375,0.24427461624145508,0.03875577449798584,1.7171573638916016,0.0
Oceania,10,406.83203125,540.7109375,922.9208984375,405.79296875,1.90704345703125,351.7822265625,628.228515625,196.2607421875,7.919921875,167.736328125,111.957763671875,26.2537841796875,428.544921875,1.1526222229003906,22.87725830078125,65.6424560546875,128.6502685546875,14.09173583984375
