region,year,GDP_target,population_multiplier
Australia_Oceania,2017,1509.4818529802628,1.0
Australia_Oceania,2018,1543.5810480390871,1.0161
Australia_Oceania,2019,1581.0128884540352,1.03164633
Australia_Oceania,2020,1603.9533854655033,1.046914695684
Australia_Oceania,2021,1497.5631574075765,1.0571744597017034
Australia_Oceania,2022,1561.0298840185096,1.06742905196081
Australia_Oceania,2023,1636.0529802444391,1.0781033424804183
Australia_Oceania,2024,1623.8480250118157,1.0887765655709745
Australia_Oceania,2025,1630.911763920617,1.0993376982570129
Australia_Oceania,2026,1656.7454062611196,1.1098913401602803
Australia_Oceania,2027,1679.260576332208,1.1203243187577872
Australia_Oceania,2028,1696.1035599128202,1.130631302490359
Australia_Oceania,2029,1711.08015434685,1.140693921082523
Australia_Oceania,2030,1726.7536485606674,1.150617958195941
Australia_Oceania,2031,1769.7278742779695,1.160283149044787
Australia_Oceania,2032,1813.7716121851204,1.169797470866954
Australia_Oceania,2033,1858.9114795464254,1.179038870886803
Australia_Oceania,2034,1905.1747560578724,1.1881174701926314
Australia_Oceania,2035,1952.589400333263,1.1970283512190762
Australia_Oceania,2036,1996.8249753998468,1.2083863131461643
Australia_Oceania,2037,2042.0626997668096,1.2198520447004342
Australia_Oceania,2038,2088.3252769531796,1.23142656845025
Australia_Oceania,2039,2135.635924822281,1.2431109166665795
Australia_Oceania,2040,2184.018387234115,1.2549061314150582
Australia_Oceania,2041,2230.110500963268,1.265732923969489
Australia_Oceania,2042,2277.1753551054317,1.2766531254523505
Australia_Oceania,2043,2325.2334786369224,1.287667541755865
Australia_Oceania,2044,2374.3058337831153,1.2987769857251474
Australia_Oceania,2045,2424.413825161849,1.3099822772181924
Australia_Oceania,2046,2471.0878182475785,1.320159219077994
Australia_Oceania,2047,2518.6603632257106,1.3304152231872772
Australia_Oceania,2048,2567.148758712669,1.3407509037619212
Australia_Oceania,2049,2616.570636351976,1.351166879789503
Australia_Oceania,2050,2666.9439672255785,1.361663775066367
China,2017,12578.067455852668,1.0
China,2018,13451.865802010752,1.0059
China,2019,14360.001262304497,1.0097224200000001
China,2020,15214.564937424237,1.01275158726
China,2021,15555.675483321287,1.014068164323438
China,2022,16870.130061661937,1.014068164323438
China,2023,17374.378249205012,1.014068164323438
China,2024,18284.795669463358,1.0138653506905733
China,2025,19133.57588443984,1.0134598045502972
China,2026,19915.37379507805,1.0127503826871118
China,2027,20666.18338715249,1.0118389073426934
China,2028,21405.41276691094,1.0107258845446165
China,2029,22128.91571843253,1.0093108683062542
China,2030,22860.49767208391,1.0076959709169642
China,2031,23471.895121360965,1.0058821181693136
China,2032,24099.644219947866,1.003870353932975
China,2033,24744.182288012482,1.0016618391543224
China,2034,25405.95834172506,0.999257850740352
China,2035,26085.433406064454,0.9966597803284271
China,2036,26586.453638695097,0.9929435580804848
China,2037,27097.09691532879,0.9892411924243995
China,2038,27617.54806478053,0.9855526316934176
China,2039,28147.995465853324,0.9818778244134346
China,2040,28688.63111552244,0.9782167193022764
China,2041,29104.287179409992,0.9731960154847075
China,2042,29525.965488233203,0.968201080462873
China,2043,29953.753295462473,0.9632317819782575
China,2044,30387.73911874263,0.9582879884511633
China,2045,30828.01275820897,0.9533695689772261
China,2046,31141.633746517382,0.9472252875091473
China,2047,31458.44527860424,0.9411206047402375
China,2048,31778.47981265946,0.9350552654645816
China,2049,32101.77013707816,0.9290290161210168
China,2050,32428.34937381988,0.9230416047825327
Japan,2017,4870.185459288256,1.0
Japan,2018,4951.761065731334,0.997
Japan,2019,4983.600889383986,0.9936102
Japan,2020,4963.566813808662,0.9896357592
Japan,2021,4757.727698040017,0.98488550755584
Japan,2022,4879.477949832861,0.9795671258150386
Japan,2023,4926.174553812762,0.9743754200482189
Japan,2024,5020.904890482581,0.9691137927799586
Japan,2025,5063.833627296208,0.9638805782989468
Japan,2026,5114.826431923081,0.9584828470604726
Japan,2027,5155.6938951141465,0.9531153431169339
Japan,2028,5186.318716851125,0.9476825856611674
Japan,2029,5216.140049473019,0.9421860266643326
Japan,2030,5239.404034093668,0.9366271291070131
Japan,2031,5275.001666333763,0.931007366332371
Japan,2032,5310.84115650519,0.9254213221343768
Japan,2033,5346.924147842494,0.9197762520693571
Japan,2034,5383.252294744703,0.9140736393065271
Japan,2035,5419.8272628511895,0.9083149753788959
Japan,2036,5451.04796642558,0.9037680179973214
Japan,2037,5482.448515645304,0.8992438223470739
Japan,2038,5514.029946504186,0.894742274484615
Japan,2039,5545.7933009638555,0.8902632610367992
Japan,2040,5577.739626988118,0.8858066691980185
Japan,2041,5609.0198864364675,0.8810529080157573
Japan,2042,5640.475567237657,0.876324658320555
Japan,2043,5672.107653163931,0.8716217832027211
Japan,2044,5703.91713350458,0.8669441464873034
Japan,2045,5735.905003096882,0.8622916127301449
Japan,2046,5766.182132525164,0.8574530474879323
Japan,2047,5796.619080598615,0.8526416328212993
Japan,2048,5827.21669092427,0.8478572163805893
Japan,2049,5857.9758115621635,0.8430996466710228
Japan,2050,5888.897295048841,0.838368773047901
South Korea,2017,1533.1525518166202,1.0
South Korea,2018,1581.6001724540256,1.0036
South Korea,2019,1627.577289467264,1.00641008
South Korea,2020,1664.1001238429096,1.008523541168
South Korea,2021,1652.3016539648634,1.008019279397416
South Korea,2022,1723.4332401680508,1.008019279397416
South Korea,2023,1768.466550733642,1.0075152697577174
South Korea,2024,1792.4646418270977,1.006810009068887
South Korea,2025,1834.0856708103229,1.005903880060725
South Korea,2026,1876.94825293716,1.0047973857926582
South Korea,2027,1918.4663482921296,1.003591628929707
South Korea,2028,1959.348866174235,1.0021866006492055
South Korea,2029,2000.1816965453056,1.0005831020881668
South Korea,2030,2040.6853759003484,0.9987820525044081
South Korea,2031,2067.828968791869,0.9966846101941489
South Korea,2032,2095.333604421169,0.994292567129683
South Korea,2033,2123.2040850949666,0.9915085479417198
South Korea,2034,2151.4452769964887,0.9884348714431005
South Korea,2035,2180.062111035108,0.9849753493930496
South Korea,2036,2204.2276896842554,0.9821158255957746
South Korea,2037,2228.6611392296,0.9792646034035623
