technology,removed_country,definition,year,Q_global_gw,national_stock_gw,national_2009_stock_gw,removed_experience_gw,Q_counterfactual_gw,Q_ratio
pv,USA,remove_all_historical_stock,2022,1045.85862,111.36192,1.614,111.36192,934.4966999999999,0.8935210573681555
pv,USA,remove_all_historical_stock,2023,1408.5874199999998,138.44660000000002,1.614,138.44660000000002,1270.1408199999998,0.9017124545951148
pv,USA,remove_all_historical_stock,2024,1864.01976,176.1143,1.614,176.1143,1687.90546,0.9055190809779828
pv,DEU,no_additions_since_2010,2010,39.73239,18.004,10.564,7.440000000000001,32.29239,0.8127472321700254
pv,DEU,no_additions_since_2010,2011,70.26885,25.914,10.564,15.350000000000001,54.91885,0.7815532771633519
pv,DEU,no_additions_since_2010,2012,99.31435,34.075,10.564,23.511000000000003,75.80335,0.7632668390821667
pv,DEU,no_additions_since_2010,2013,134.44763,36.708,10.564,26.144,108.30363,0.8055451033238741
pv,DEU,no_additions_since_2010,2014,172.65223999999998,37.898,10.564,27.334000000000003,145.31823999999997,0.8416817528692359
pv,DEU,no_additions_since_2010,2015,219.86211,39.222,10.564,28.658,191.20411000000001,0.8696546667363467
pv,DEU,no_additions_since_2010,2016,291.30835,40.677,10.564,30.113,261.19535,0.8966284351272458
pv,DEU,no_additions_since_2010,2017,384.35013,42.291,10.564,31.726999999999997,352.62313,0.9174528703814931
pv,DEU,no_additions_since_2010,2018,478.49221,45.156,10.564,34.592,443.90021,0.9277062420723632
pv,DEU,no_additions_since_2010,2019,580.10487,48.912,10.564,38.348,541.75687,0.9338947111407633
pv,DEU,no_additions_since_2010,2020,710.6335,53.669,10.564,43.105,667.5285,0.9393428539465138
pv,DEU,no_additions_since_2010,2021,854.92824,60.036,10.564,49.472,805.45624,0.9421331549417528
pv,DEU,no_additions_since_2010,2022,1045.85862,61.188,10.564,50.624,995.23462,0.9515957520147417
pv,DEU,no_additions_since_2010,2023,1408.5874199999998,75.519,10.564,64.95500000000001,1343.63242,0.9538864261616081
pv,DEU,no_additions_since_2010,2024,1864.01976,91.204,10.564,80.63999999999999,1783.3797599999998,0.9567386560322729
pv,DEU,remove_all_historical_stock,2010,39.73239,18.004,10.564,18.004,21.72839,0.54686843655768
pv,DEU,remove_all_historical_stock,2011,70.26885,25.914,10.564,25.914,44.35485,0.6312163924697786
pv,DEU,remove_all_historical_stock,2012,99.31435,34.075,10.564,34.075,65.23935,0.6568975178310082
pv,DEU,remove_all_historical_stock,2013,134.44763,36.708,10.564,36.708,97.73963,0.726971758446021
pv,DEU,remove_all_historical_stock,2014,172.65223999999998,37.898,10.564,37.898,134.75423999999998,0.7804951734191228
pv,DEU,remove_all_historical_stock,2015,219.86211,39.222,10.564,39.222,180.64011,0.8216063695559003
pv,DEU,remove_all_historical_stock,2016,291.30835,40.677,10.564,40.677,250.63135000000003,0.860364455739082
pv,DEU,remove_all_historical_stock,2017,384.35013,42.291,10.564,42.291,342.05913,0.8899675147761755
pv,DEU,remove_all_historical_stock,2018,478.49221,45.156,10.564,45.156,433.33621,0.9056285576728615
pv,DEU,remove_all_historical_stock,2019,580.10487,48.912,10.564,48.912,531.19287,0.9156842106841819
pv,DEU,remove_all_historical_stock,2020,710.6335,53.669,10.564,53.669,656.9645,0.924477244599361
pv,DEU,remove_all_historical_stock,2021,854.92824,60.036,10.564,60.036,794.8922399999999,0.9297765622995445
pv,DEU,remove_all_historical_stock,2022,1045.85862,61.188,10.564,61.188,984.67062,0.9414949603800177
pv,DEU,remove_all_historical_stock,2023,1408.5874199999998,75.519,10.564,75.519,1333.0684199999998,0.946386714145154
pv,DEU,remove_all_historical_stock,2024,1864.01976,91.204,10.564,91.204,1772.81576,0.9510713341365008
pv,JPN,no_additions_since_2010,2010,39.73239,3.618,2.627,0.9910000000000001,38.74139,0.9750581326721096
pv,JPN,no_additions_since_2010,2011,70.26885,4.914,2.627,2.287,67.98185,0.9674535729558686
pv,JPN,no_additions_since_2010,2012,99.31435,6.632,2.627,4.005,95.30935000000001,0.9596735013620892
pv,JPN,no_additions_since_2010,2013,134.44763,13.599,2.627,10.972000000000001,123.47563,0.9183920162817298
pv,JPN,no_additions_since_2010,2014,172.65223999999998,23.339,2.627,20.712,151.94024,0.8800363088251852
pv,JPN,no_additions_since_2010,2015,219.86211,34.15,2.627,31.523,188.33911,0.8566237720542207
pv,JPN,no_additions_since_2010,2016,291.30835,42.04,2.627,39.413,251.89535,0.8647035006033984
pv,JPN,no_additions_since_2010,2017,384.35013,49.499629999999996,2.627,46.872629999999994,337.47749999999996,0.8780470556885203
pv,JPN,no_additions_since_2010,2018,478.49221,56.161629999999995,2.627,53.53462999999999,424.95758,0.8881180740643615
pv,JPN,no_additions_since_2010,2019,580.10487,63.192,2.627,60.565,519.5398700000001,0.8955964634463421
pv,JPN,no_additions_since_2010,2020,710.6335,71.868,2.627,69.241,641.3925,0.9025644020440917
pv,JPN,no_additions_since_2010,2021,854.92824,78.413,2.627,75.786,779.1422399999999,0.9113539634624772
pv,JPN,no_additions_since_2010,2022,1045.85862,83.057,2.627,80.43,965.4286199999999,0.9230966801229787
