target,target_name,iso3,country_name,start_year,end_year,scope,method,excluded_target_receiver,TIC0,TIC1,actual_TIC_decline,X0,X1,B0,B1,direct_price_effect,target_share_effect,spillover_other_origins,global_experience_contribution,first_three_net,four_effects_net,spillover_inclusive,direct_spillover_overlap,remaining_other_price,remaining_other_mix,tariff_effect,SDA_interaction,B_actual_decline,B_other_decline,all_other_net,B_gap0,B_gap1,B_cf0,B_cf1,beta_B,Q_ratio0,Q_ratio1,balance_fitted_anchor_period_sensitivity,old_alpha_start,old_three_net,old_three_pct,first_three_scale_change,four_change_vs_old_three,full_reconciliation_error,direct_price_effect_pct,target_share_effect_pct,spillover_other_origins_pct,global_experience_contribution_pct,first_three_net_pct,four_effects_net_pct,all_other_net_pct
CHN,中国,AUS,Australia,2010,2024,2010-2024,Shapley,False,8226.006707647639,943.9690385525072,7282.037669095132,2666.087536470216,129.51154301459246,5559.919171177424,814.4574955379147,1610.2129149597858,124.96505213651767,5.4510839253649905,356.8636589958313,1740.6290510216686,2097.4927100175,24.406783977125887,18.95570005176089,755.628826414243,40.31811601971121,0.0,0.0,4745.461675639509,4388.5980166436775,5184.544959077632,51.84260855777484,408.70626755360615,5611.761779735199,1223.1637630915209,-0.6311445523247294,0.9854023379917494,0.5250071812543446,229.50880161338398,0.8199027752719692,1427.14658965168,19.598176424003828,313.48246136998864,670.3461203658201,0.0,22.112120097833436,1.7160725859311006,0.07485657412209383,4.900601661405238,23.90304925788663,28.80365091929187,71.19634908070813
CHN,中国,AUS,Australia,2010,2024,2010-2024,SDA,False,8226.006707647639,943.9690385525072,7282.037669095132,2666.087536470216,129.51154301459246,5559.919171177424,814.4574955379147,1362.8083457907803,245.09239156048216,10.85327708784218,356.8636589958313,1618.7540144391046,1975.617673434936,26.896488510905215,16.04321142306304,1116.7680174495283,103.42871865179677,0.0,-302.37475708480605,4745.461675639509,4388.5980166436775,5306.419995660197,51.84260855777484,408.70626755360615,5611.761779735199,1223.1637630915209,-0.6311445523247294,0.9854023379917494,0.5250071812543446,229.50880161338398,0.8199027752719692,1327.2209089212631,18.225955003693137,291.5331055178415,648.3967645136729,9.094947017729282e-13,18.714656634838907,3.365711668873273,0.14904175975226466,4.900601661405238,22.229410063464442,27.130011724869682,72.86998827513034
CHN,中国,BRA,Brazil,2011,2024,available_start_sensitivity,Shapley,False,7522.515553575554,724.4366073748986,6798.078946200655,2145.844033503492,131.86173695884258,5376.671520072062,592.574870416056,1029.6398977702654,183.05267000398558,6.577221055982462,250.7778028360467,1219.2697888302334,1470.0475916662801,11.853601574519832,5.276380518537368,800.9436970376402,15.195106217086732,-21.42629554031158,0.0,4784.096649656006,4533.318846819959,5328.031354534374,176.84739966898542,427.6252025050321,5553.518919741047,1020.2000729210881,-0.8431480181598846,0.962344623542295,0.5250071812543446,79.59527149922042,0.926261156929074,1129.36224521056,16.61296160500966,89.90754361967333,340.68534645572004,-9.094947017729282e-13,15.146042079221745,2.692711741841289,0.09675117203012731,3.6889510230857594,17.93550499309316,21.624456016178918,78.37554398382107
CHN,中国,BRA,Brazil,2011,2024,available_start_sensitivity,SDA,False,7522.515553575554,724.4366073748986,6798.078946200655,2145.844033503492,131.86173695884258,5376.671520072062,592.574870416056,587.2935902528892,305.8486408771948,13.045057354912148,250.7778028360467,906.1872884849961,1156.9650913210428,16.054638146199256,3.0095807912871075,1333.0408051798704,30.49620560178851,-40.554164261305516,-215.18783846070113,4784.096649656006,4533.318846819959,5641.113854879611,176.84739966898542,427.6252025050321,5553.518919741047,1020.2000729210881,-0.8431480181598846,0.962344623542295,0.5250071812543446,79.59527149922042,0.926261156929074,839.3660862265331,12.347107070529717,66.82120225846302,317.5990050945097,-1.8189894035458565e-12,8.63911106212026,4.499045146395792,0.1918932901213634,3.6889510230857594,13.330049498637415,17.019000521723175,82.98099947827681
CHN,中国,CHN,China,2010,2024,2010-2024,Shapley,True,4291.432902265811,590.5861539927796,3700.8467482730316,2270.6250354815543,109.4301787373887,2020.807866784257,481.1559752553909,2161.194856744165,0.0,0.0,178.45782339401103,2161.194856744165,2339.652680138176,25.44195309654057,25.44195309654057,0.0,0.0,0.0,0.0,1539.6518915288661,1361.1940681348551,1361.1940681348551,15.693920520684287,194.15174391469532,2036.5017873049412,675.3077191700862,-0.5260812937466695,0.9854023379917494,0.5250071812543446,127.35917394856142,1.0398675951942558,2247.356498428749,60.72546774538715,-86.16164168458408,92.29618170942695,-4.547473508864641e-13,58.39730752841003,0.0,0.0,4.822080878579661,58.39730752841003,63.219388406989694,36.78061159301029
CHN,中国,CHN,China,2010,2024,2010-2024,SDA,True,4291.432902265811,590.5861539927796,3700.8467482730316,2270.6250354815543,109.4301787373887,2020.807866784257,481.1559752553909,2161.194856744165,-0.0,0.0,178.45782339401103,2161.194856744165,2339.652680138176,25.44195309654057,25.44195309654057,0.0,-0.0,0.0,0.0,1539.6518915288661,1361.1940681348551,1361.1940681348551,15.693920520684287,194.15174391469532,2036.5017873049412,675.3077191700862,-0.5260812937466695,0.9854023379917494,0.5250071812543446,127.35917394856142,1.0398675951942558,2247.356498428749,60.72546774538715,-86.16164168458408,92.29618170942695,-4.547473508864641e-13,58.39730752841003,-0.0,0.0,4.822080878579661,58.39730752841003,63.219388406989694,36.78061159301029
CHN,中国,DEU,Germany,2010,2024,2010-2024,Shapley,False,4412.429498946073,592.9665484018221,3819.462950544251,2627.848413445465,139.3238184896545,1784.581085500608,453.6427299121676,1346.3435145438216,143.07485543218021,16.173171744053118,117.53259499399837,1505.591541720055,1623.1241367140533,32.02255637587593,15.849384631822817,963.9866164909429,18.946436744813,0.0,0.0,1330.9383555884403,1213.405760594442,2196.338813830198,10.127591153538106,127.66018614753648,1794.708676654146,581.3029160597041,-0.384829060580243,0.9854023379917494,0.5250071812543446,98.1217179263594,0.6841338818551645,1030.026185925243,26.96782765698697,475.5653557948119,593.0979507888103,4.547473508864641e-13,35.24955031575776,3.7459417013534035,0.42344099035568694,3.0772021228076234,39.41893300746685,42.49613513027447,57.50386486972554
CHN,中国,DEU,Germany,2010,2024,2010-2024,SDA,False,4412.429498946073,592.9665484018221,3819.462950544251,2627.848413445465,139.3238184896545,1784.581085500608,453.6427299121676,925.5420717898731,243.30477730151827,24.19914048656722,117.53259499399837,1193.0459895779588,1310.5785845719572,35.094779029233074,10.895638542665854,1477.040848595591,59.564948443590815,0.0,-241.12719166132905,1330.9383555884403,1213.405760594442,2508.8843659722943,10.127591153538106,127.66018614753648,1794.708676654146,581.3029160597041,-0.384829060580243,0.9854023379917494,0.5250071812543446,98.1217179263594,0.6841338818551645,816.203184081705,21.369579824446284,376.84280549625385,494.3754004902522,9.094947017729282e-13,24.232256832285515,6.3701305773066546,0.6335744265596027,3.0772021228076234,31.235961836151777,34.3131639589594,65.6868360410406
CHN,中国,ESP,Spain,2010,2024,2010-2024,Shapley,False,5563.901030792681,822.1244412681233,4741.7765895245575,2790.4267182965964,145.3946223054095,2773.4743124960846,676.7298189627138,1106.2461895537292,211.45538049394293,6.172327597699051,219.64108532094792,1323.8738976453712,1543.5149829663192,19.19524572098811,13.022918123289063,1332.8185846844356,-11.660386338620082,0.0,0.0,2096.7444935333706,1877.103408212423,3198.2616065582383,19.199062819434403,238.84014814038233,2792.673375315519,915.5699671030961,-0.4691205152601589,0.9854023379917494,0.5250071812543446,122.78112380670808,0.827550935939506,1095.5730830623086,23.10469635964351,228.30081458306267,447.9418999040106,0.0,23.329783018407642,4.459412553537131,0.13016909340129687,4.632042045299537,27.91936466534607,32.5514067106456,67.44859328935439
CHN,中国,ESP,Spain,2010,2024,2010-2024,SDA,False,5563.901030792681,822.1244412681233,4741.7765895245575,2790.4267182965964,145.3946223054095,2773.4743124960846,676.7298189627138,590.047267893097,341.5606147385832,11.24061877314219,219.64108532094792,942.8485014048224,1162.4895867257703,18.186755475083796,6.946136701941608,1973.2724418080234,-36.28556191108762,0.0,-234.80328531057094,2096.7444935333706,1877.103408212423,3579.2870027987874,19.199062819434403,238.84014814038233,2792.673375315519,915.5699671030961,-0.4691205152601589,0.9854023379917494,0.5250071812543446,122.78112380670808,0.827550935939506,780.2551597867215,16.4549118891524,162.5933416181009,382.23442693904883,0.0,12.44359064061808,7.203220318164132,0.23705500588059653,4.632042045299537,19.88386596466281,24.515908009962345,75.48409199003765
CHN,中国,FRA,France,2010,2024,2010-2024,Shapley,False,6514.65732422562,1103.958016240936,5410.699307984683,2808.8170920897546,140.1711871299395,3705.840232135865,963.7868291109966,1117.5161255202638,245.7737288965563,10.935095146087548,394.86493538517186,1374.2249495629078,1769.0898849480795,24.090684870628493,13.15558972454095,1308.0149679241242,-13.594012527216604,0.0,0.0,2742.053403024868,2347.1884676396967,3641.6094230366043,31.08397984219937,425.94891522737123,3736.9242119780642,1389.7357443383678,-0.5680182225907597,0.9854023379917494,0.5250071812543446,166.7564887558359,0.9802365708491172,1347.0655521348456,24.896329946610646,27.15939742806222,422.02433281323397,0.0,20.65382054905771,4.542365319282533,0.2021013278255991,7.297853990933507,25.398287196165846,32.69614118709935,67.30385881290066
CHN,中国,FRA,France,2010,2024,2010-2024,SDA,False,6514.65732422562,1103.958016240936,5410.699307984683,2808.8170920897546,140.1711871299395,3705.840232135865,963.7868291109966,524.5387184415536,389.98507110829854,20.502089755751076,394.86493538517186,935.0258793056032,1329.8908146907752,26.677048681950886,6.174958926199811,2035.5043133248114,-49.845499234968564,0.0,-252.03878843563143,2742.053403024868,2347.1884676396967,4080.808493293908,31.08397984219937,425.94891522737123,3736.9242119780642,1389.7357443383678,-0.5680182225907597,0.9854023379917494,0.5250071812543446,166.7564887558359,0.9802365708491172,916.546561585705,16.939521296870776,18.479317719898177,413.34425310507015,0.0,9.694471797157176,7.207664830547676,0.37891755924221676,7.297853990933507,17.281054186947067,24.57890817788058,75.42109182211942
CHN,中国,IND,India,2010,2024,2010-2024,Shapley,False,6015.812576430637,525.1674202758713,5490.645156154766,2805.928927175792,191.5783780055728,3209.883649254845,333.58904227029853,1382.9262040955734,276.2905677505464,10.051998081492027,157.4270848501455,1669.2687699276119,1826.6958547777574,26.332040351063963,16.280042269571936,1557.2838872712762,52.56289253262802,-664.7650005612977,0.0,2876.294606984546,2718.867522134401,3663.9493013770075,33.296364975127744,190.72344982527324,3243.1800142299726,524.3124920955718,-0.7017656828234162,0.9854023379917494,0.5250071812543446,90.11090494767427,0.569725072974314,951.024271760752,17.3208110288223,718.2444981668599,875.6715830170054,-9.094947017729282e-13,25.18695280363138,5.032023740249124,0.18307499019899676,2.867187377309875,30.402051534079504,33.26923891138938,66.7307610886106
CHN,中国,IND,India,2010,2024,2010-2024,SDA,False,6015.812576430637,525.1674202758713,5490.645156154766,2805.928927175792,191.5783780055728,3209.883649254845,333.58904227029853,559.4397006675546,375.4974451262704,15.870553838482317,157.4270848501455,950.8076996323074,1108.2347844824528,22.45637305802689,6.58581921954458,2010.9939660070002,-51.89722140191684,-1431.8712281740989,1136.3173331069288,2876.294606984546,2718.867522134401,4382.410371672315,33.296364975127744,190.72344982527324,3243.1800142299726,524.3124920955718,-0.7017656828234162,0.9854023379917494,0.5250071812543446,90.11090494767427,0.569725072974314,541.6989860575559,9.865853112913985,409.1087135747515,566.5357984248969,1.8189894035458565e-12,10.188961128556048,6.83885835720698,0.28904715907004375,2.867187377309875,17.316866644833073,20.184054022142945,79.8159459778571
CHN,中国,ITA,Italy,2010,2024,2010-2024,Shapley,False,6078.874297702453,804.1602225425657,5274.714075159887,2717.8350020312737,212.89001534158663,3361.0392956711794,591.270207200979,701.923323340308,-23.182877134840957,10.558548786557472,243.94700397604242,689.2989949920245,933.2459989680669,18.821709423861357,8.263160637303885,1829.3282291250976,-13.682237427434709,0.0,0.0,2769.7690884702006,2525.822084494158,4341.468076191821,29.263889066502998,273.2108930425454,3390.3031847376824,864.4811002435245,-0.5895247210083466,0.9854023379917494,0.5250071812543446,114.51951953937873,0.911304899106392,628.1615510853442,11.908921358288096,61.137443906680346,305.08444788272277,0.0,13.307324593116098,-0.4395096455372936,0.2001729124291428,4.6248384367383535,13.067987860007948,17.6928262967463,82.3071737032537
