technology,iso3,country_name,year,cost_scope,tic,procurement_cost,other_cost,eligible,exclusion_reason,Q_global_gw,lnQ,lnB,procurement_pretax,procurement_duties,procurement_policy_rent,old_equipment_share,old_equipment_cost,old_proportional_balance,old_calibration,balance_change_vs_old,implied_procurement_share,other_price_proxy_quantity_share,supplier_count,tic_source_sheet,tic_source_cell,same_capacity_basis_assumption
pv,AUS,Australia,2010,非组件成本余额,8226.006707647639,2666.0875364702156,5559.919171177424,True,,39.73239,3.682166724070565,8.62333884958094,2666.0875364702156,0.0,0.0,0.2657343530048061,2185.93257026994,6040.074137377698,0.8199027752719692,-480.15496620027443,0.3241047121918318,0.2961365920801675,52,Figure 3.3,C5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2011,非组件成本余额,8070.627916404932,1951.783026049387,6118.844890355545,True,,70.26885,4.252328599622632,8.719128614286136,1951.783026049387,0.0,0.0,0.2657343530048061,2144.643087708391,5925.984828696541,1.098812244539993,192.8600616590047,0.24183781562795803,0.28777619709800234,55,Figure 3.3,D5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2012,非组件成本余额,5845.8413892502,1192.4342491942643,4653.407140055936,True,,99.31435,4.598290072191402,8.445354948566008,1192.4342491942643,0.0,0.0,0.2657343530048061,1553.4408793411187,4292.400509909082,1.3027476193264216,361.00663014685415,0.20397991833767634,0.24860062673527542,50,Figure 3.3,E5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2013,非组件成本余额,3431.1490001785755,860.2898660049292,2570.8591341736465,True,,134.44763,4.90117475518874,7.85199541547844,860.2898660049292,0.0,0.0,0.2657343530048057,911.7741596255396,2519.374840553036,1.0598452866354162,51.484293620610515,0.25072938131225286,0.21928880601467846,47,Figure 3.3,F5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2014,非组件成本余额,3581.3283583559555,857.4327133734367,2723.8956449825187,True,,172.65223999999998,5.151279397977148,7.909818357057793,857.4327133734367,0.0,0.0,0.2657343530048057,951.6819742054828,2629.646384150473,1.1099202997063582,94.24926083204582,0.23941750869419015,0.3159886152681844,52,Figure 3.3,G5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2015,非组件成本余额,2663.0217981108967,724.9704361883221,1938.0513619225746,True,,219.86211,5.39300057712095,7.5694382946395535,724.9704361883221,0.0,0.0,0.2657343530048057,707.6563745586934,1955.3654235522035,0.9761175618130556,-17.314061629628895,0.27223601275160575,0.29659435091542635,55,Figure 3.3,H5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2016,非组件成本余额,2292.9292994915004,567.7810367104769,1725.1482627810235,True,,291.30835,5.674382328161501,7.453068275210294,567.7810367104769,0.0,0.0,0.2850064717378388,653.4996895923867,1639.4296098991135,1.1509713205261876,85.71865288190997,0.2476225659624101,0.2374903219615565,60,Figure 3.3,I5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2017,非组件成本余额,2346.42868245442,507.80294671927663,1838.6257357351435,True,,384.35013,5.951553934028465,7.516773688794512,507.80294671927663,0.0,0.0,0.2657343530048061,623.5267078039449,1722.9019746504753,1.2278910782860055,115.72376108466824,0.21641524863568523,0.3076255654335866,59,Figure 3.3,J5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2018,非组件成本余额,1809.828003777512,438.89349130200463,1370.9345124755075,True,,478.49221,6.17063993071869,7.2232479121745765,438.89349130200463,0.0,0.0,0.2177232384704535,394.04161405695606,1415.786389720556,0.8978069209639142,-44.8518772450484,0.24250563610792664,0.23072617800256306,56,Figure 3.3,K5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2019,非组件成本余额,1489.0921446638883,336.03708271247785,1153.0550619514106,True,,580.10487,6.363208897541072,7.050170274507307,336.03708271247785,0.0,0.0,0.2419668939779636,360.3110010913055,1128.7811435725828,1.0722358323756678,24.27391837882783,0.2256657413153749,0.1829492323169531,58,Figure 3.3,L5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2020,非组件成本余额,1248.0457552893834,303.05931400195107,944.9864412874323,True,,710.6335,6.566156825734936,6.8511705795468245,303.05931400195107,0.0,0.0,0.2650322336825456,330.77235426236496,917.2734010270184,1.0914442783310558,27.71304026041389,0.2428270860403519,0.18193191751949453,51,Figure 3.3,M5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2021,非组件成本余额,1162.0471230412904,371.1039026661066,790.9432203751838,True,,854.92824,6.751017535589894,6.673226183111783,371.1039026661066,0.0,0.0,0.3542550834026737,411.66110049082937,750.3860225504611,1.1092879852067006,40.55719782472272,0.31935357465957115,0.21027970527080284,54,Figure 3.3,N5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2022,非组件成本余额,979.5214615557928,353.86640981108286,625.6550517447099,True,,1045.85862,6.952593472965691,6.438799183672632,353.86640981108286,0.0,0.0,0.3711805654061427,363.5793299277304,615.9421316280624,1.027447985588213,9.712920116647524,0.3612645804095298,0.21330702999960457,34,Figure 3.3,O5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2023,非组件成本余额,1012.2454310798984,224.51838178014498,787.7270492997534,True,,1408.5874199999998,7.2503426514181,6.669151645715668,224.51838178014498,0.0,0.0,0.3145434673186922,318.3951876693755,693.8502434105228,1.4181252561367437,93.87680588923058,0.22180231679645224,0.17403064745414662,34,Figure 3.3,P5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,AUS,Australia,2024,非组件成本余额,943.9690385525072,129.51154301459246,814.4574955379147,True,,1864.01976,7.530490596047716,6.702522241951043,129.51154301459246,0.0,0.0,0.3120250671229604,294.5420026163425,649.4270359361647,2.274252902562942,165.03045960175007,0.13719893102975805,0.13977031436899906,36,Figure 3.3,Q5,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,BRA,Brazil,2011,非组件成本余额,7522.515553575554,2145.844033503492,5376.671520072062,True,,70.26885,4.252328599622632,8.58982478512998,2115.869220388756,29.97481311473643,0.0,0.264221717177781,1987.6119770622984,5534.903576513256,0.926261156929074,-158.2320564411939,0.28525617770023,0.46975246294866935,63,Figure 3.3,D6,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
pv,BRA,Brazil,2013,非组件成本余额,5117.282639309783,1076.9540102485773,4040.328629061206,True,,134.44763,4.90117475518874,8.304081311473997,1067.1716039847315,9.782406263846093,0.0,0.264221717177781,1352.097206242478,3765.185433067305,1.2554827721291375,275.1431959939009,0.21045427547340564,0.4563962169166918,63,Figure 3.3,F6,USD/kW numerical units aligned; source-native PV capacity basis and equipment delivery scope not fully harmonized
