technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct,P_historical_price_decline,P_definition
pv,AUS,Australia,2010,2024,Shapley,7282.037669095132,18.955700051760918,124.9650521365189,0.0,5.45108392536501,356.86365899583154,506.23549510947635,6775.802173985655,-0.0,0.0,0.0,0.260307635213268,1.7160725859311174,0.0,0.0748565741220941,4.900601661405242,6.95183845667172,1610.212914959786,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,BRA,Brazil,2010,2024,Shapley,6798.078946200655,16.236617632374895,236.46743352316912,-16.431158915055743,8.470653364514877,369.22592420693314,613.9694698119363,6184.109476388719,16.431158915055743,-11.378009558460212,0.0,0.23884126325789873,3.4784449459111864,-0.24170297292941667,0.12460363334334326,5.431327396003367,9.031514265586377,1379.237450240469,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,DEU,Germany,2010,2024,Shapley,3819.462950544251,15.849384631822836,143.07485543218374,0.0,16.173171744053146,117.53259499399832,292.630006802058,3526.8329437421926,-0.0,0.0,0.0,0.41496369612812695,3.745941701353496,0.0,0.42344099035568766,3.077202122807622,7.6615485106449315,1346.3435145438214,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,ESP,Spain,2010,2024,Shapley,4741.7765895245575,13.02291812328908,211.4553804939456,0.0,6.172327597699079,219.64108532094767,450.2917115358814,4291.484877988676,-0.0,0.0,0.0,0.27464217002671665,4.459412553537187,0.0,0.13016909340129745,4.6320420452995315,9.496265862264732,1106.2461895537292,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,FRA,France,2010,2024,Shapley,5410.699307984683,13.155589724540969,245.77372889656013,0.0,10.935095146087567,394.86493538517215,664.7293491523608,4745.969958832323,-0.0,0.0,0.0,0.24314028512223895,4.542365319282604,0.0,0.20210132782559947,7.297853990933512,12.285460923163955,1117.5161255202638,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,IND,India,2010,2024,Shapley,5490.645156154766,16.280042269571958,276.29056775054806,-209.5020057571145,10.051998081492046,157.42708485014538,250.54768719464295,5240.097468960123,209.5020057571145,-455.2629948041845,0.0,0.2965050883195896,5.032023740249155,-3.8156172872011624,0.1830749901989971,2.8671873773098726,4.563173908876451,1382.9262040955737,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,ITA,Italy,2010,2024,Shapley,5274.714075159887,8.263160637303894,-23.182877134841164,0.0,10.558548786557498,243.94700397604225,239.58583626506248,5035.128238894825,-0.0,0.0,0.0,0.15665608636906866,-0.4395096455372976,0.0,0.20017291242914334,4.62483843673835,4.542157789999265,701.9233233403081,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,JPN,Japan,2010,2024,Shapley,4732.825819242991,10.166070633451634,800.0556994486502,0.0,111.44667218588924,181.81847654837944,1103.4869188163707,3629.3389004266205,-0.0,0.0,0.0,0.2147991711868594,16.904397710892688,0.0,2.3547596392151817,3.8416473264055395,23.31560384770027,863.568118490911,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,KOR,South Korea,2010,2024,Shapley,5750.361703815428,10.6859639411809,124.65136434412696,0.0,41.14586291518621,332.2864615620345,508.76965276252855,5241.5920510528995,-0.0,-0.0001836052986336,0.0,0.18583116143964726,2.1677134546409387,0.0,0.7155352138611641,5.778531485098735,8.847611315040483,907.7310307664224,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
pv,USA,United States,2010,2024,Shapley,4494.391436929972,5.495542538768619,-67.76020198773661,-206.0381831908768,27.31647483887376,291.80959404199115,50.82322624102011,4443.568210688952,206.0381831908768,-130.39612782077646,0.0,0.12227556535490629,-1.507661336103431,-4.584339973102506,0.6077902920163334,6.492749866961308,1.1308144151266102,466.8249416520011,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,AUS,Australia,2010,2024,Shapley,2762.5064308935325,84.42119604256409,69.85557410226649,6.370106043105888,0.1907739893239382,0.0,160.8376501772604,2601.668780716272,-6.370106043105888,-0.0083280561302935,0.0,3.0559637834130964,2.528702678157086,0.2305915371587199,0.006905829691126995,0.0,5.822163828420029,653.8197895305242,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,BRA,Brazil,2010,2024,Shapley,1799.196779698392,52.683817306734994,390.3952254006954,7.464545924920046,12.702593643064,0.0,463.24618227541447,1335.9505974229776,-7.464545924920046,14.121567209558089,0.0,2.9281853936825426,21.698306144486274,0.4148821301342794,0.7060146942455843,0.0,25.747388362548683,408.0222024547836,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,CAN,Canada,2010,2024,Shapley,1970.2411215219868,25.275860056894047,297.920390174426,0.0,90.09293192675418,0.0,413.28918215807425,1556.9519393639125,-0.0,0.0,0.0,1.2828815610836892,15.121011683295201,0.0,4.572685593789582,0.0,20.97657883816847,195.75483737839164,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,DEU,Germany,2010,2024,Shapley,1035.2917565798798,1.1097631476049663,13.754141332085526,-0.1871634799116703,207.86717669094747,0.0,222.5439176907263,812.7478388891535,0.1871634799116703,-4.860774354425763,0.0,0.10719327576519157,1.3285280448404981,-0.018078331902300758,20.078125356435127,0.0,21.495768345138515,8.594821462017496,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,ESP,Spain,2010,2024,Shapley,1518.4988305827058,4.567414516182967,40.59406538071384,-0.7578177594740783,31.940142069510014,0.0,76.34380420693275,1442.155026375773,0.7578177594740783,-3.673763796653183,0.0,0.30078485568739466,2.673302380162937,-0.04990571900429286,2.103402480544115,0.0,5.027583997390154,35.37341494384624,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,FRA,France,2010,2024,Shapley,1089.5794531686884,8.356687513813359,86.18964609122976,-1.3841516684459283,75.01851907990276,0.0,168.18070101649994,921.3987521521884,1.3841516684459283,-12.323180627507195,0.0,0.7669644916220332,7.91035897754635,-0.12703540475369393,6.8850893674376605,0.0,15.435377431852348,64.72033005430357,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,GBR,United Kingdom,2010,2024,Shapley,721.0565960692702,0.6686055156200652,2.3292730908035018,0.0583156098455296,127.67697158423944,0.0,130.73316580050854,590.3234302687616,-0.0583156098455296,13.861273202233733,0.0,0.09272580256041842,0.3230360977905449,0.008087521862143449,17.706927900008257,0.0,18.130777322221363,5.178172520574777,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,IND,India,2010,2024,Shapley,497.0171557991782,28.821577305870715,155.02725304675343,0.0,6.653459936893951,0.0,190.50229028951807,306.5148655096601,-0.0,0.0,0.0,5.798909951011065,31.19152955544915,0.0,1.3386781239362908,0.0,38.329117630396496,223.21547776415247,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,ITA,Italy,2010,2024,Shapley,1634.4450235538238,8.807280703046935,72.76882520802286,-1.468095990670797,7.901695114418714,0.0,88.0097050348177,1546.4353185190062,1.468095990670797,-7.307427923505722,0.0,0.5388545087859239,4.452203907709259,-0.08982229255277557,0.483448204163993,0.0,5.3846843281064,68.2100548859684,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,POL,Poland,2010,2024,Shapley,1291.3669738725714,2.286359923692049,18.23053606116351,-0.3963491672349576,73.17669183408535,0.0,93.29723865170595,1198.0697352208654,0.3963491672349576,-12.235265488963654,0.0,0.17704958930734285,1.4117238887172012,-0.030692218033606635,5.666607038481242,0.0,7.22468829847218,17.707251663973985,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,SWE,Sweden,2010,2024,Shapley,1000.3444573012288,13.92817818252816,149.68226963859487,-2.2824688632392105,78.32564982835399,0.0,239.65362878623782,760.6908285149909,2.2824688632392105,-11.099392756878284,0.0,1.3923382171881258,14.963072824176383,-0.22816829208980183,7.829867927660059,0.0,23.957110676934768,107.87004869313635,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,TUR,Turkey,2010,2024,Shapley,1454.6514714419732,16.636542020683954,211.83907724959505,-1.239721088591595,103.2688000673168,0.0,330.5046982490042,1124.146773192969,1.239721088591595,0.0,0.0,1.1436789050364355,14.56287512221758,-0.08522461310699249,7.099212567045223,0.0,22.720541981192245,128.84560883258646,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
wind,USA,United States,2010,2024,Shapley,1282.1144403540648,0.5669553420767899,-2.607945845228014,-1.484122219746568,88.40630941404947,0.0,84.88119669115169,1197.233243662913,1.484122219746568,-0.189341806330099,0.0,0.044220338234410746,-0.2034097552561542,-0.11575583060562966,6.895352445264984,0.0,6.620407197637612,4.390918866429691,"Chinese-deployment-induced Chinese price-gap change, 2010-2024"
