year,china_domestic,nordex_global,sgre_global,us_project_5_100mw,us_project_gt100mw,us_project_lt5mw,vestas_asp,china_domestic_yoy,nordex_global_yoy,sgre_global_yoy,us_project_5_100mw_yoy,us_project_gt100mw_yoy,us_project_lt5mw_yoy,vestas_asp_yoy,two_OEM_mean_change
2010,908.8931830120896,,,2067.01386935176,1876.6426771905813,2102.886461503332,1844.524839790812,,,,,,,,
2011,820.2209888739409,,,1658.591712264361,1689.8522363536556,2010.2034138764477,1889.5253382051344,-0.09756063286148475,,,-0.19759042894834822,-0.09953436693476425,-0.044074204348924395,0.02439679718242549,
2012,787.1571447391749,,,1711.8915917554125,,,1764.1183436298493,-0.04031089740846361,,,0.0321356239133046,,,-0.06636957549053546,
2013,819.1090154497972,,,1504.619850750569,1708.1671049233578,,1715.301119896586,0.04059147645951877,,,-0.12107760912144117,,,-0.02767230662814657,
2014,693.6768873733519,,,1526.0573584612257,1227.876670963063,,1537.5580209218433,-0.15313239838724868,,,0.014247790031457264,-0.28117297925711116,,-0.1036220969677083,
2015,624.6502405494081,,,1544.8797950717392,1665.3042093467927,,1313.1270910478788,-0.09950835623962795,,,0.012334029586864803,0.3562471286636968,,-0.14596582816393933,
2016,636.4434668068892,1330.2014146383824,1256.0701503974085,,1123.0353264092744,,1277.3526453487962,0.018879727392898227,,,,-0.3256275219229888,,-0.0272437039361777,
2017,645.392097611782,1142.580338754873,1146.834812566626,,,,1126.6082811577744,0.014060370278901724,-0.14104711799191283,-0.08696595313265076,,,,-0.11801311465547504,-0.1140065355622818
2018,639.4422397706869,1105.3490319387056,1061.5922391278968,,,,858.6518159779486,-0.009218981551078809,-0.03258528573731656,-0.07432855412538053,,,,-0.23784350750951055,-0.053456919931348545
2019,601.1015696488976,957.3475296132888,994.0772607055897,,,,969.437041902568,-0.059959551836204716,-0.13389571804829148,-0.0635978447598402,,,,0.12902229269548826,-0.09874678140406584
2020,605.2464880320971,948.844887321488,922.2625227781772,,,,995.4026918764436,0.006895537447391131,-0.008881458434676581,-0.07224261208473759,,,,0.026784256069807943,-0.040562035259707085
2021,472.95250127256736,959.8527260246188,877.672817120215,,,,1095.1112453655387,-0.21857869376437256,0.011601304755095576,-0.04834817045762896,,,,0.10016906152939331,-0.01837343285126669
2022,321.6630370953079,943.2881977763552,915.7177382032831,,,,1130.271881396898,-0.31988299833532285,-0.017257364384292817,0.043347498453808475,,,,0.032106908024328584,0.013045067034757829
2023,235.49892702593712,928.675806990474,913.1695397749756,,,,1081.6587262330129,-0.2678707222547321,-0.015490908102452128,-0.0027827335018182353,,,,-0.04301014292579253,-0.009136820802135182
2024,194.82113843199423,967.1230415027146,876.2993090189716,,,,1203.8196838374438,-0.1727302502293897,0.0414000604116469,-0.04037610668122993,,,,0.11293854026386763,0.0005119768652084855
