year,country,item,wind_turbine_share_of_total_installed_cost,iso3,total_installed_cost_2016usd_per_kw,turbine_component_cost_2016usd_per_kw,cpi_2016_to_2024_factor,cpi_2016_to_2025_factor,turbine_component_cost_2024usd_per_kw,turbine_component_cost_2025usd_per_kw,source_file,share_source_sheet,total_cost_source_sheet,construction_method,cpi_source,usable_absolute_cost
2010,Germany,Wind Turbine,0.748129676,DEU,2151.0,1609.226933076,1.3069993791847738,1.3413900427904186,2103.258602497749,2158.6009846183097,Masterfile_Renewable_Power_Generation_Costs_in_2017_01.xlsx,Figure 5.6,Figure 5.4,reported Wind Turbine share multiplied by reported total installed cost,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,True
2012,Germany,Wind Turbine,0.750167448,DEU,1954.179168279,1465.96159960262,1.3069993791847738,1.3413900427904186,1916.0109005893423,1966.426292820069,Masterfile_Renewable_Power_Generation_Costs_in_2017_01.xlsx,Figure 5.6,Figure 5.4,reported Wind Turbine share multiplied by reported total installed cost,https://www.dir.ca.gov/oprl/CPI/PresentCCPI.PDF,True
