year,Q_global_gw,logQ,price_2024usd_per_kw,y,series
2013,292.27612,5.677698971893068,1230.7162534435258,7.115351598756823,USA_WM_only
2014,340.63979000000006,5.830825584658366,1224.9311294765837,7.110639900562935,USA_WM_only
2015,404.24651,6.002024865148459,1213.3608815426994,7.10114937627309,USA_WM_only
2016,452.48745,6.114760027948734,1109.2286501377407,7.01142014295884,USA_WM_only
2017,495.6822,6.205934995565976,993.526170798898,6.901260403666968,USA_WM_only
2018,539.4404499999999,6.290532398624406,935.6749311294764,6.841268120354597,USA_WM_only
2019,594.24654,6.38729428375806,981.9559228650136,6.889546422280923,USA_WM_only
2020,698.33524,6.548699273994664,990.6336088154268,6.898344747314751,USA_WM_only
2021,769.27527,6.645448863841342,1031.129476584022,6.938410059627669,USA_WM_only
2022,839.7858299999999,6.733146895042726,1062.9476584022036,6.968801137620898,USA_WM_only
2023,943.12808,6.849202095255681,1213.3608815426994,7.10114937627309,USA_WM_only
2024,1049.19276,6.955776347473294,1216.2534435261705,7.103530464761301,USA_WM_only
2010,177.71164000000002,5.180162236673185,2007.439282028712,7.604615199798734,USA_overlap_calibrated
2011,216.24613,5.376417249698097,1810.7190888241348,7.501479332005597,USA_overlap_calibrated
2012,261.36127,5.56590362647905,1555.7446476537932,7.3497095830794645,USA_overlap_calibrated
2013,292.27612,5.677698971893068,1581.7049281828563,7.3662586127152725,USA_overlap_calibrated
2014,340.63979000000006,5.830825584658366,1348.0200277619072,7.2063921487520215,USA_overlap_calibrated
2015,404.24651,6.002024865148459,1595.3430694467447,7.374844082652509,USA_overlap_calibrated
2016,452.48745,6.114760027948734,1118.443545780172,7.019693306504983,USA_overlap_calibrated
2017,495.6822,6.205934995565976,1162.6035243318993,7.058417186685242,USA_overlap_calibrated
2018,539.4404499999999,6.290532398624406,1094.9072148601956,6.998424903372872,USA_overlap_calibrated
2019,594.24654,6.38729428375806,1149.0642624375585,7.046703205299198,USA_overlap_calibrated
2020,698.33524,6.548699273994664,1159.218708858314,7.055501530333026,USA_overlap_calibrated
2021,769.27527,6.645448863841342,1206.6061254885067,7.095566842645944,USA_overlap_calibrated
2022,839.7858299999999,6.733146895042726,1243.8390956979433,7.1259579206391725,USA_overlap_calibrated
2023,943.12808,6.849202095255681,1419.8495003243725,7.258306159291365,USA_overlap_calibrated
2024,1049.19276,6.955776347473294,1423.2343157979576,7.2606872477795745,USA_overlap_calibrated
2010,177.71164000000002,5.180162236673185,2007.439282028712,7.604615199798734,USA_unscaled_switch
2011,216.24613,5.376417249698097,1810.7190888241348,7.501479332005597,USA_unscaled_switch
2012,261.36127,5.56590362647905,1555.7446476537932,7.3497095830794645,USA_unscaled_switch
2013,292.27612,5.677698971893068,1581.7049281828563,7.3662586127152725,USA_unscaled_switch
2014,340.63979000000006,5.830825584658366,1348.0200277619072,7.2063921487520215,USA_unscaled_switch
2015,404.24651,6.002024865148459,1595.3430694467447,7.374844082652509,USA_unscaled_switch
2016,452.48745,6.114760027948734,1118.443545780172,7.019693306504983,USA_unscaled_switch
2017,495.6822,6.205934995565976,993.526170798898,6.901260403666968,USA_unscaled_switch
2018,539.4404499999999,6.290532398624406,935.6749311294764,6.841268120354597,USA_unscaled_switch
2019,594.24654,6.38729428375806,981.9559228650136,6.889546422280923,USA_unscaled_switch
2020,698.33524,6.548699273994664,990.6336088154268,6.898344747314751,USA_unscaled_switch
2021,769.27527,6.645448863841342,1031.129476584022,6.938410059627669,USA_unscaled_switch
2022,839.7858299999999,6.733146895042726,1062.9476584022036,6.968801137620898,USA_unscaled_switch
2023,943.12808,6.849202095255681,1213.3608815426994,7.10114937627309,USA_unscaled_switch
2024,1049.19276,6.955776347473294,1216.2534435261705,7.103530464761301,USA_unscaled_switch
