model_id,iso3,role,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_role_spec,p_BH_all_specs_within_role
CHN__annual_difference__D,CHN,annual_difference,D,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",True,logQ,-1.152020504523896,0.4696129168481962,0.03656860190359385,-2.2143587281408497,-0.08968228090694241,**,0.18284300951796925,0.15435524147882965
CHN__annual_difference__D,CHN,annual_difference,D,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",True,logG,0.020787130144228172,1.5462840040254509,0.9895674246247996,-3.4771503053686623,3.5187245656571187,,0.9895674246247996,0.9895674246247996
DEU__updated_main__A,DEU,updated_main,A,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,const,-3.276185382684769,5.406596537170521,0.558043671010253,-15.322833184053506,8.770462418683968,,,
DEU__updated_main__A,DEU,updated_main,A,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logQ,-0.4906590659812782,0.1397970950081652,0.005633589482566497,-0.8021464047608049,-0.1791717272017515,***,0.016900768447699492,0.015649553084312852
DEU__updated_main__A,DEU,updated_main,A,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logG,0.4817303249300653,0.5801459501897804,0.425714851645547,-0.8109154064979005,1.774376056358031,,0.5321435645569337,0.53215039662358
DEU__updated_main__A,DEU,updated_main,A,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logM,0.2268675996374161,0.037541711949828444,0.00012474880121150864,0.14321945267272693,0.31051574660210524,***,0.0009356160090863148,0.0007796821395272386
DEU__updated_main__B,DEU,updated_main,B,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,const,-16.770414260747867,6.712051686342521,0.02958237816716396,-31.543540416097485,-1.9972881053982459,**,,
DEU__updated_main__B,DEU,updated_main,B,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logQ,-0.8650373396977489,0.14892918827847285,0.00011783599106172944,-1.1928282730018671,-0.5372464063936306,***,0.0005891799553086472,0.0007796821395272386
DEU__updated_main__B,DEU,updated_main,B,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logG,1.990982695294256,0.6960072228220915,0.015500616575460367,0.4590811265522863,3.5228842640362257,**,0.03040576335469563,0.03467207057954304
DEU__updated_main__C,DEU,updated_main,C,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,const,-3.2760554126202948,5.406506231820085,0.5580525537835934,-15.322502001129186,8.770391175888596,,,
DEU__updated_main__C,DEU,updated_main,C,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logQ,-0.49065852681638267,0.13979799839330403,0.005633839110352626,-0.8021478784634355,-0.1791691751693299,***,0.01690151733105788,0.015649553084312852
DEU__updated_main__C,DEU,updated_main,C,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logG,0.481718821125968,0.5801391768097486,0.42572031729886406,-0.8109118182707897,1.7743494605227257,,0.53215039662358,0.53215039662358
DEU__updated_main__C,DEU,updated_main,C,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logM,0.22686799780426362,0.03754179063203716,0.00012474914232435817,0.14321967552468826,0.310516320083839,***,0.0009356185674326863,0.0007796821395272386
DEU__updated_main__D,DEU,updated_main,D,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,const,-16.770080847899063,6.711939247534932,0.029582789255144265,-31.542959527101765,-1.9972021686963632,**,,
DEU__updated_main__D,DEU,updated_main,D,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logQ,-0.8650398801570517,0.14893040533798663,0.0001178412321429626,-1.1928334921910986,-0.5372462681230048,***,0.000589206160714813,0.0007796821395272386
DEU__updated_main__D,DEU,updated_main,D,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,logG,1.9909569409494003,0.6959987981245076,0.015500682508403094,0.45907391484179105,3.52283996705701,**,0.030406789143684276,0.03467207057954304
DEU__new_source_old_years__A,DEU,new_source_old_years,A,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,const,37.26988122662253,47.51770270146244,0.4766876807514523,-94.66041184909709,169.20017430234213,,,
DEU__new_source_old_years__A,DEU,new_source_old_years,A,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logQ,0.011351718101298647,0.633523147680552,0.9865621024688018,-1.7475905243058718,1.7702939605084693,,0.9865621024688018,0.9865621024688018
