model_id,year,y,logQ,logG,logM,fitted,residual
CHN__updated_main__A,2010,0.8591485323548325,3.682166724070565,10.512763874058926,4.456192445165693,0.7633655075903751,0.09578302476445733
CHN__updated_main__A,2011,0.5063587124761711,4.252328599622632,10.605666325206338,4.509679808932987,0.5243904932975769,-0.018031780821405774
CHN__updated_main__A,2012,-0.18172865968584304,4.598290072191402,10.661033635112348,3.523311081544699,-0.033482113614888176,-0.14824654607095486
CHN__updated_main__A,2013,-0.28894353434991116,4.90117475518874,10.685875142695629,3.015723559908184,-0.3466096522221611,0.057666117872249956
CHN__updated_main__A,2014,-0.35807219476493735,5.151279397977148,10.713605552327314,3.26713839072327,-0.34192242651280225,-0.0161497682521351
CHN__updated_main__A,2015,-0.4623066579630125,5.39300057712095,10.736031795649817,3.164990795937875,-0.4720343781292098,0.009727720166197273
CHN__updated_main__A,2016,-0.6510705910649451,5.674382328161501,10.780205441271315,2.929240932529897,-0.6943707506641388,0.043300159599193644
CHN__updated_main__A,2017,-0.903027745309794,5.951553934028465,10.835830693477304,2.891409513410439,-0.8500301579367207,-0.05299758737307336
CHN__updated_main__A,2018,-1.0730767584615286,6.17063993071869,10.908545054584073,2.956890415537674,-0.9714886844228356,-0.10158807403869297
CHN__updated_main__A,2019,-1.2091810758055288,6.363208897541072,10.939093631999517,2.5071504398904505,-1.2412984931402566,0.03211741733472784
CHN__updated_main__A,2020,-1.2881285234852962,6.566156825734936,10.990309486591185,2.4948890766393457,-1.3625662028874932,0.07443767940219703
CHN__updated_main__A,2021,-1.060149396296303,6.751017535589894,11.049462947605978,3.442230801592228,-1.099554294061827,0.03940489776552414
CHN__updated_main__A,2022,-1.1954065125425473,6.952593472965691,11.132692972869016,3.62475566987548,-1.1827238524735952,-0.012682660068952023
CHN__updated_main__A,2024,-2.3301770987434205,7.530490596047716,11.254715294682578,1.547562508716013,-2.327436498463524,-0.0027406002798966433
CHN__updated_main__B,2010,0.8591485323548325,3.682166724070565,10.512763874058926,4.456192445165693,0.7524751215477217,0.10667341080711079
