model_id,year,y,x,fitted_log,residual_log
pv__AUS__main_level,2010,8.62333884958094,3.682166724070565,8.791075929830875,-0.1677370802499354
pv__AUS__main_level,2011,8.719128614286136,4.252328599622632,8.431221368132936,0.28790724615319974
pv__AUS__main_level,2012,8.445354948566008,4.598290072191402,8.212869669406915,0.23248527915909278
pv__AUS__main_level,2013,7.85199541547844,4.90117475518874,8.021705651750544,-0.16971023627210435
pv__AUS__main_level,2014,7.909818357057793,5.151279397977148,7.8638534689435176,0.045964888114275126
pv__AUS__main_level,2015,7.5694382946395535,5.39300057712095,7.711292463545396,-0.14185416890584257
pv__AUS__main_level,2016,7.453068275210294,5.674382328161501,7.533699904252559,-0.08063162904226573
pv__AUS__main_level,2017,7.516773688794512,5.951553934028465,7.358764555150528,0.15800913364398372
pv__AUS__main_level,2018,7.2232479121745765,6.17063993071869,7.220489621848859,0.002758290325717283
pv__AUS__main_level,2019,7.050170274507307,6.363208897541072,7.098950767492111,-0.048780492984803914
pv__AUS__main_level,2020,6.8511705795468245,6.566156825734936,6.970861288206963,-0.11969070866013887
pv__AUS__main_level,2021,6.673226183111783,6.751017535589894,6.854187458243124,-0.18096127513134075
pv__AUS__main_level,2022,6.438799183672632,6.952593472965691,6.726963903488639,-0.2881647198160069
pv__AUS__main_level,2023,6.669151645715668,7.2503426514181,6.539041131549237,0.1301105141664305
pv__AUS__main_level,2024,6.702522241951043,7.530490596047716,6.362227282451285,0.34029495949975797
pv__AUS__annual_difference,2011,0.09578976470519684,0.570161875552067,0.06549323468349444,0.030296530021702406
pv__AUS__annual_difference,2012,-0.2737736657201282,0.34596147256876986,-0.08840789228975895,-0.18536577343036922
pv__AUS__annual_difference,2013,-0.5933595330875683,0.3028846829973384,-0.11797771630977597,-0.47538181677779234
pv__AUS__annual_difference,2014,0.05782294157935297,0.2501046427884077,-0.15420828307844148,0.21203122465779445
pv__AUS__annual_difference,2015,-0.34038006241823915,0.2417211791438021,-0.15996306534321836,-0.1804169970750208
pv__AUS__annual_difference,2016,-0.11637001942925984,0.2813817510405512,-0.13273828505694849,0.016368265627688644
pv__AUS__annual_difference,2017,0.0637054135842181,0.27717160586696377,-0.13562831593251465,0.19933372951673275
pv__AUS__annual_difference,2018,-0.2935257766199353,0.21908599669022522,-0.17550086118344357,-0.11802491543649171
pv__AUS__annual_difference,2019,-0.17307763766726936,0.19256896682238178,-0.19370332971758158,0.020625692050312228
pv__AUS__annual_difference,2020,-0.19899969496048264,0.20294792819386398,-0.18657874907174762,-0.012420945888735019
pv__AUS__annual_difference,2021,-0.17794439643504134,0.1848607098549584,-0.1989946200921768,0.021050223657135464
pv__AUS__annual_difference,2022,-0.23442699943915102,0.2015759373757966,-0.18752054458276307,-0.04690645485638795
pv__AUS__annual_difference,2023,0.23035246204303572,0.2977491784524089,-0.1215029550092791,0.3518554170523148
pv__AUS__annual_difference,2024,0.033370596235375416,0.2801479446296167,-0.13358522464574035,0.16695582088111577
pv__BRA__main_level,2011,8.58982478512998,4.252328599622632,8.75093591250818,-0.16111112737819866
pv__BRA__main_level,2013,8.304081311473997,4.90117475518874,8.203862562351954,0.10021874912204254
pv__BRA__main_level,2014,8.52894883369523,5.151279397977148,7.992987328452323,0.5359615052429065
pv__BRA__main_level,2015,7.424006882808412,5.39300057712095,7.789180595309956,-0.3651737125015444
pv__BRA__main_level,2016,7.545503989425464,5.674382328161501,7.551934129573757,-0.006430140148292907
pv__BRA__main_level,2017,7.308076813840714,5.951553934028465,7.318237439396834,-0.010160625556120628
pv__BRA__main_level,2018,7.226202655116286,6.17063993071869,7.133515515480888,0.0926871396353981
pv__BRA__main_level,2019,7.052727282885755,6.363208897541072,6.9711513727455,0.08157591014025467
pv__BRA__main_level,2020,6.9015335440000625,6.566156825734936,6.800036229299189,0.10149731470087353
