model_id,technology,iso3,country,fit_end,n,df_resid,first_year,last_year,observed_years,source_sheet,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_technology_window
pv_ESP_2022,pv,ESP,Spain,2022,10,6,2010,2022,"2010,2011,2012,2013,2014,2015,2019,2020,2021,2022",Figure 3.3,logM,0.11937092973890029,0.07042392741629463,0.14100298735008832,-0.052950212860204154,0.29169207233800476,,0.24675522786265455
pv_FRA_2022,pv,FRA,France,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,4.331194775662425,19.843927965182434,0.8320929113919344,-40.55888900993579,49.22127856126064,,
pv_FRA_2022,pv,FRA,France,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.5949486067746743,0.11180426899316355,0.0004801345705040312,-0.8478674347152257,-0.3420297788341229,***,0.0016804709967641093
pv_FRA_2022,pv,FRA,France,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,0.6985232792092688,2.2479011846873065,0.7630710238979264,-4.3865824871193375,5.783629045537875,,0.90844815232927
pv_FRA_2022,pv,FRA,France,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,0.21903966158234156,0.16569782519615495,0.2188054611532049,-0.15579486055448682,0.5938741837191699,,0.3168906678770554
pv_GRC_2022,pv,GRC,Greece,2022,9,5,2010,2022,"2010,2011,2012,2013,2017,2018,2020,2021,2022",Figure 3.3,const,-8.083718678896957,26.58657021547412,0.7733346141836983,-76.42667314666417,60.25923578887026,,
pv_GRC_2022,pv,GRC,Greece,2022,9,5,2010,2022,"2010,2011,2012,2013,2017,2018,2020,2021,2022",Figure 3.3,logQ,-0.40856828312913773,0.10856723737869733,0.013113277602252473,-0.687649251480033,-0.1294873147782425,**,0.03933983280675742
pv_GRC_2022,pv,GRC,Greece,2022,9,5,2010,2022,"2010,2011,2012,2013,2017,2018,2020,2021,2022",Figure 3.3,logK,2.0207264858869394,3.0655173613419144,0.5389240844985657,-5.859436760006349,9.900889731780229,,0.7301552112561212
pv_GRC_2022,pv,GRC,Greece,2022,9,5,2010,2022,"2010,2011,2012,2013,2017,2018,2020,2021,2022",Figure 3.3,logM,0.24120205873082412,0.16391046759923183,0.2011156163405067,-0.18014321195041583,0.6625473294120641,,0.31284651430745486
pv_IND_2022,pv,IND,India,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,6.894569564691494,7.855156612159198,0.4029218400706842,-10.875029230845175,24.664168360228164,,
pv_IND_2022,pv,IND,India,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.7040404012869906,0.06538082343519816,1.926058681917909e-06,-0.8519420993342233,-0.556138703239758,***,1.6178892928110436e-05
pv_IND_2022,pv,IND,India,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,0.49300676112574493,0.8857920144743611,0.5913881977497868,-1.5107939892163929,2.4968075114678827,,0.7761970095465952
pv_IND_2022,pv,IND,India,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,0.05753834587446516,0.13097980381088797,0.6708083130730345,-0.23875855550555974,0.35383524725449006,,0.8537560348202257
pv_ITA_2022,pv,ITA,Italy,2022,11,7,2010,2022,"2010,2011,2012,2013,2014,2017,2018,2019,2020,2021,2022",Figure 3.3,const,8.961964381157372,12.796951436322669,0.5063294476811702,-21.298017331626326,39.22194609394107,,
pv_ITA_2022,pv,ITA,Italy,2022,11,7,2010,2022,"2010,2011,2012,2013,2014,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.5740972120825385,0.049691932896835246,8.199332461993166e-06,-0.6915999617189164,-0.4565944624461606,***,4.304649542546412e-05
pv_ITA_2022,pv,ITA,Italy,2022,11,7,2010,2022,"2010,2011,2012,2013,2014,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,0.11174246204637228,1.422527251673869,0.9395872421000024,-3.2519999758132907,3.4754848999060353,,0.9657076688149218
pv_ITA_2022,pv,ITA,Italy,2022,11,7,2010,2022,"2010,2011,2012,2013,2014,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,0.22633412513635354,0.14232334355593376,0.15579683946684145,-0.11020710460377908,0.5628753548764862,,0.26173869030429364
pv_JPN_2022,pv,JPN,Japan,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,42.04110116468894,10.334659185356195,0.003593506412690376,18.20933434733184,65.87286798204605,***,
pv_JPN_2022,pv,JPN,Japan,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.5170825338372969,0.04663037306244321,3.903846405217538e-06,-0.6246123669454038,-0.40955270072918987,***,2.7326924836522766e-05
pv_JPN_2022,pv,JPN,Japan,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,-3.621597908400986,1.167916322514889,0.014645679743428498,-6.314817777692761,-0.92837803910921,**,0.04100790328159979
pv_JPN_2022,pv,JPN,Japan,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,-0.08081240407650814,0.05742458342733846,0.19698908681063468,-0.21323373092232722,0.05160892276931095,,0.31284651430745486
pv_KOR_2022,pv,KOR,Republic of Korea,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,16.157772952004166,15.608250422453208,0.33084800325760033,-19.834917065475103,52.150462969483435,,
pv_KOR_2022,pv,KOR,Republic of Korea,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.5483102221357159,0.08067198984493607,0.00013827583374841445,-0.734340164313287,-0.3622802799581448,***,0.0005279622743121279
pv_KOR_2022,pv,KOR,Republic of Korea,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,-0.6993965892223777,1.7692964225216161,0.7029555254760107,-4.779401455959161,3.3806082775144057,,0.8683568255880132
pv_KOR_2022,pv,KOR,Republic of Korea,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,0.19057948141386438,0.09213861417824991,0.07240891166474672,-0.021892543893161087,0.40305150672088985,*,0.14481782332949344
pv_NLD_2022,pv,NLD,Netherlands,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,3.394207547200722,69.1261373380467,0.9639244451408286,-216.59601282283853,223.38442791723998,,
pv_NLD_2022,pv,NLD,Netherlands,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.13240801743891417,0.6753554664758556,0.8570946879923592,-2.2816905264785308,2.0168744916007024,,0.9657076688149218
pv_NLD_2022,pv,NLD,Netherlands,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,0.5514130098745511,7.60791564801029,0.9467825171050782,-23.660370035050125,24.763196054799227,,0.9657076688149218
pv_NLD_2022,pv,NLD,Netherlands,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,-0.004728819864024736,0.10131998403565348,0.9657076688149218,-0.32717422870975066,0.3177165889817012,,0.9657076688149218
pv_TUR_2022,pv,TUR,Türkiye,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,-46.64183561558548,16.314282038107116,0.06463219194438133,-98.56116221112488,5.2774909799539245,*,
pv_TUR_2022,pv,TUR,Türkiye,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.2295801534954549,0.14663044934170316,0.2153908914619651,-0.6962236852451293,0.23706337825421958,,0.3168906678770554
pv_TUR_2022,pv,TUR,Türkiye,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,6.4400939423279056,1.8020348513637936,0.03745109475350473,0.705214787611725,12.174973097044086,**,0.08738588775817771
