model_id,technology,iso3,country,fit_end,n,df_resid,first_year,last_year,observed_years,source_sheet,R2,adjusted_R2,RMSE_log,max_VIF,joint_F_HAC,joint_p_HAC,small_sample,outcome,inference,Q_definition,K_definition,imputed_observations
pv_USA_2022,pv,USA,United States,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9903141886349475,0.9870855848465966,0.05473777557009212,3.926955749591097,413.790854072462,5.87368584321633e-10,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
wind_ARG_2022,wind,ARG,Argentina,2022,10,8,2012,2022,"2012,2013,2014,2015,2017,2018,2019,2020,2021,2022",Fig 2.7,0.7978083160547591,0.772534355561604,0.09126199276422627,1.0,60.20440924051438,5.437962523191831e-05,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_AUS_2022,wind,AUS,Australia,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.919755781643824,0.9124608527023534,0.10137689315235307,1.0,191.68022711828678,2.641200638615209e-08,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_AUT_2022,wind,AUT,Austria,2022,8,6,2012,2022,"2012,2013,2014,2015,2016,2017,2018,2022",Fig 2.7,0.7843985565686775,0.7484649826634571,0.0922941590565275,1.0,27.77624153156069,0.0018826422736441383,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_BRA_2022,wind,BRA,Brazil,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.8648422181309191,0.8525551470519117,0.11848694789643666,1.0,30.825396166768826,0.0001722252180778468,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_CAN_2022,wind,CAN,Canada,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.6743211356098804,0.6447139661198695,0.14189930945788493,1.0,17.280027294667686,0.0015976319759816852,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_CHL_2022,wind,CHL,Chile,2022,12,10,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.7,0.5989086066898224,0.5587994673588046,0.1469348718575779,1.0,15.065063362631555,0.003052099138145615,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_CHN_2022,wind,CHN,China,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.7918112325718731,0.772884980987498,0.04862969443482586,1.0,23.592531452055653,0.0005049087333630916,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_CRI_2022,wind,CRI,Costa Rica,2022,6,4,2011,2017,"2011,2012,2014,2015,2016,2017",Fig 2.7,0.06178422143331519,-0.17276972320835604,0.14516614670822722,1.0,0.29661846967540056,0.6149507450253148,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_CYP_2022,wind,CYP,Cyprus,2022,5,3,2010,2016,"2010,2011,2012,2013,2016",Fig 2.7,0.025078707733625305,-0.2998950563551661,0.07141313665338032,1.0,0.07713570766778674,0.799257477669933,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_DEU_2022,wind,DEU,Germany,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.9374615578704266,0.9317762449495564,0.02461899044688267,1.0,251.73102684964738,6.3033554853640675e-09,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_DNK_2022,wind,DNK,Denmark,2022,10,8,2010,2020,"2010,2011,2012,2013,2015,2016,2017,2018,2019,2020",Fig 2.7,0.733890863201156,0.7006272211013005,0.05906714595418639,1.0,28.2169841841535,0.0007179516559139804,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_DOM_2022,wind,DOM,Dominican Republic,2022,9,7,2011,2020,"2011,2012,2013,2014,2016,2017,2018,2019,2020",Fig 2.7,0.019942813752089616,-0.12006535571189758,0.16640891867981739,1.0,0.11614756901186463,0.7432508411024547,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_EGY_2022,wind,EGY,Egypt,2022,6,4,2010,2022,"2010,2015,2018,2020,2021,2022",Fig 2.7,0.20384330865871525,0.004804135823394118,0.1224451791644904,1.0,1.037242095819578,0.3660524572124393,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
