technology,iso3,year,supplier,price_model_supplier,trade_import_value,preborder_expenditure_share,quantity_share,baseline_price_usd_kw,duty_rate,policy_rent_rate,landed_expenditure_share,beta,price_basis,domestic
pv,AUS,2010,MAR,OTHER,2451.0,1.6822373007707125e-06,1.4642767510369028e-06,3062.9400472240845,0.0,0.0,1.6822373007707127e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,MEX,OTHER,13642201.0,0.009363288203513469,0.008150125563962623,3062.9400472240845,0.0,0.0,0.00936328820351347,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,MLT,OTHER,2677.0,1.8373517968842093e-06,1.5992937015609095e-06,3062.9400472240845,0.0,0.0,1.8373517968842097e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,MYS,OTHER,7373551.0,0.005060817026248546,0.004405107834306367,3062.9400472240845,0.0,0.0,0.005060817026248547,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,NLD,OTHER,1233182.0,0.0008463911705585592,0.0007367277569959975,3062.9400472240845,0.0,0.0,0.0008463911705585594,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,NOR,OTHER,12881.0,8.84083993114139e-06,7.695368759733312e-06,3062.9400472240845,0.0,0.0,8.840839931141391e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,NZL,OTHER,571434.0,0.00039220219899168145,0.00034138617745900507,3062.9400472240845,0.0,0.0,0.00039220219899168145,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,PHL,OTHER,5435896.0,0.003730912694537051,0.003247513722502854,3062.9400472240845,0.0,0.0,0.003730912694537051,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,POL,OTHER,995626.0,0.0006833452447234359,0.0005948070193912148,3062.9400472240845,0.0,0.0,0.000683345244723436,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,PRT,OTHER,140716.0,9.658005059781786e-05,8.4066571725381e-05,3062.9400472240845,0.0,0.0,9.658005059781789e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,RUS,OTHER,41374.0,2.8396934346016915e-05,2.4717660668054194e-05,3062.9400472240845,0.0,0.0,2.839693434601692e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,S19,OTHER,8470837.0,0.005813936340329938,0.005060648584627982,3062.9400472240845,0.0,0.0,0.005813936340329939,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,SGP,OTHER,18697474.0,0.012832961319049603,0.011170247442397781,3062.9400472240845,0.0,0.0,0.012832961319049601,0.0,assumed geometric mean of approved fitted prices; baseline only,False
