RegGrid,gr2020,gr2025,gr2030,gr2035,gr2040,gr2045,gr2050,gr2055,gr2060,gr2065,gr2070,gr2075,gr2080,gr2085,gr2090,gr2095,gr2100
China,0.02,0.02,0.02,0.02,0.02,0.018,0.016,0.014,0.012,0.01,0.008,0.006,0.004,0.002,0,0,0
Rest of World,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.015
United States,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
