year,cost,Q_global,Q_domestic,H_domestic,H_global,technology,iso3,country,country_cn
2015,1974.00011313029,414.4271000000001,22.971,55.092389000000004,3063.1878100000004,wind,ESP,Spain,西班牙
2016,1944.65053622638,464.41934,23.018,63.583150100000005,3152.8690290000004,wind,ESP,Spain,西班牙
2017,2134.42625802782,509.19595,23.15248,64.22483509,3262.5821261000006,wind,ESP,Spain,西班牙
2018,2785.84829359986,554.56437,23.43306,64.80235158100001,3259.3239134900005,wind,ESP,Spain,西班牙
2019,1848.05627512401,611.45324,25.618080000000003,59.32211642290001,3176.3915221410007,wind,ESP,Spain,西班牙
2020,1450.22308655672,720.13004,26.84719,55.38990478061001,3084.752369926901,wind,ESP,Spain,西班牙
2021,1330.76652426505,794.46893,27.935650000000003,49.85091430254901,3041.277132934211,wind,ESP,Spain,西班牙
2022,1230.43904500511,867.46678,30.141759999999998,46.86582287229411,2991.14941964079,wind,ESP,Spain,西班牙
2023,1185.84724619072,972.92029,30.8965,43.1792405850647,2880.034477676711,wind,ESP,Spain,西班牙
2024,1398.83281905724,1084.72598,32.21227,38.86131652655823,2791.03102990904,wind,ESP,Spain,西班牙
2011,2644.94877334346,221.11285,6.74722,18.310000000000002,2122.1000000000004,wind,FRA,France,法国
2012,2400.05307750702,267.19999,7.5967,19.479000000000003,2481.8900000000003,wind,FRA,France,法国
2013,2262.00841067733,299.29465,8.14933,19.531100000000002,2662.7010000000005,wind,FRA,France,法国
2014,2137.278274211,349.29432,9.19059,22.577990000000003,2952.4309000000003,wind,FRA,France,法国
2015,2131.68842647836,414.4271000000001,10.28735,27.320191000000005,3063.1878100000004,wind,FRA,France,法国
2016,2109.21357822905,464.41934,11.55576,33.588171900000006,3152.8690290000004,wind,FRA,France,法国
2017,2402.66245826931,509.19595,13.488549999999998,32.22935471000001,3262.5821261000006,wind,FRA,France,法国
2018,2320.55637444301,554.56437,14.88734,33.00641923900001,3259.3239134900005,wind,FRA,France,法国
2019,2101.79785433715,611.45324,16.42955,29.70577731510001,3176.3915221410007,wind,FRA,France,法国
2020,1823.72688109778,720.13004,17.44097,30.73519958359001,3084.752369926901,wind,FRA,France,法国
2021,2020.28086955522,794.46893,18.427519999999998,32.66167962523101,3041.277132934211,wind,FRA,France,法国
2022,2035.81309044531,867.46678,20.413749999999997,30.39551166270791,2991.14941964079,wind,FRA,France,法国
2023,1787.51432727476,972.92029,21.60993,27.35596049643712,2880.034477676711,wind,FRA,France,法国
2024,1860.4830152221,1084.72598,22.747049999999998,24.62036444679341,2791.03102990904,wind,FRA,France,法国
2011,2809.91136741022,221.11285,4.758,47.1,2122.1000000000004,wind,GBR,United Kingdom,英国
2012,2747.88097969067,267.19999,6.035,45.39,2481.8900000000003,wind,GBR,United Kingdom,英国
