technology,iso3,country,country_cn,current,alternative,R2_current,R2_alternative,R2_current_minus_alternative,R2_current_better,R2_tie,adj_R2_current,adj_R2_alternative,adj_R2_current_minus_alternative,adj_R2_current_better,adj_R2_tie,AICc_current,AICc_alternative,AICc_current_minus_alternative,AICc_current_better,AICc_tie,BIC_current,BIC_alternative,BIC_current_minus_alternative,BIC_current_better,BIC_tie,rolling_RMSE_log_current,rolling_RMSE_log_alternative,rolling_RMSE_log_current_minus_alternative,rolling_RMSE_log_current_better,rolling_RMSE_log_tie
pv,AUS,Australia,澳大利亚,GD,G0,0.9681028771552354,0.966202260563104,0.0019006165921313656,True,False,0.9627866900144413,0.9636024344525735,-0.0008157444381322598,False,False,-7.055718476949721,-10.00572869136038,2.950010214410659,False,False,-8.223517672540881,-10.063396269871932,1.839878597331051,False,False,0.14096035612709384,0.13585822157534097,0.005102134551752874,False,False
pv,AUS,Australia,澳大利亚,GD,D0,0.9681028771552354,0.9794626401357477,-0.011359762980512333,False,False,0.9627866900144413,0.9778828432231129,-0.015096153208671637,False,False,-7.055718476949721,-17.47795258769053,10.42223411074081,False,False,-8.223517672540881,-17.53562016620208,9.312102493661198,False,False,0.14096035612709384,0.1118459648716575,0.029114391255436342,False,False
pv,AUS,Australia,澳大利亚,GD,DD,0.9681028771552354,0.9858462729310051,-0.017743395775769777,False,False,0.9627866900144413,0.983487318419506,-0.020700628405064703,False,False,-7.055718476949721,-19.24378587085951,12.18806739390979,False,False,-8.223517672540881,-20.41158506645067,12.188067393909789,False,False,0.14096035612709384,0.06133962902608794,0.0796207271010059,False,False
pv,AUS,Australia,澳大利亚,GD,DG,0.9681028771552354,0.9853300640841751,-0.017227186928939764,False,False,0.9627866900144413,0.982885074764871,-0.020098384750429688,False,False,-7.055718476949721,-18.706452312047162,11.65073383509744,False,False,-8.223517672540881,-19.87425150763832,11.650733835097439,False,False,0.14096035612709384,0.1285839749207565,0.012376381206337356,False,False
pv,AUS,Australia,澳大利亚,GD,GG,0.9681028771552354,0.9718945800105915,-0.003791702855356127,False,False,0.9627866900144413,0.96721034334569,-0.0044236533312487225,False,False,-7.055718476949721,-8.954019069600832,1.8983005926511112,False,False,-8.223517672540881,-10.121818265191992,1.8983005926511112,False,False,0.14096035612709384,0.25384289242378105,-0.11288253629668721,True,False
pv,BRA,Brazil,巴西,GD,G0,0.9526338019462955,0.945529369626651,0.007104432319644527,True,False,0.9447394356040114,0.9413393211363934,0.0034001144676180095,True,False,3.6582960480814712,1.9364063964474933,1.721889651633978,False,False,2.4904968524903115,1.8787388179359414,0.6117580345543701,False,False,0.28500011123215385,0.16462044946481041,0.12037966176734344,False,False
pv,BRA,Brazil,巴西,GD,D0,0.9526338019462955,0.9533964759778704,-0.0007626740315748171,False,False,0.9447394356040114,0.9498115895146296,-0.005072153910618216,False,False,3.6582960480814712,-0.403376150317138,4.061672198398609,False,False,2.4904968524903115,-0.46104372882868994,2.9515405813190014,False,False,0.28500011123215385,0.14772167481692272,0.13727843641523113,False,False
pv,BRA,Brazil,巴西,GD,DD,0.9526338019462955,0.953592105532593,-0.0009583035862974487,False,False,0.9447394356040114,0.9458574564546918,-0.0011180208506803568,False,False,3.6582960480814712,3.3517070140511045,0.30658903403036675,False,False,2.4904968524903115,2.1839078184599447,0.30658903403036675,False,False,0.28500011123215385,0.350013714765922,-0.06501360353376817,True,False
pv,BRA,Brazil,巴西,GD,DG,0.9526338019462955,0.9566979794581059,-0.0040641775118103185,False,False,0.9447394356040114,0.9494809760344568,-0.00474154043044539,False,False,3.6582960480814712,2.312652717464463,1.3456433306170084,False,False,2.4904968524903115,1.1448535218733031,1.3456433306170084,False,False,0.28500011123215385,0.13947365185245894,0.1455264593796949,False,False
pv,BRA,Brazil,巴西,GD,GG,0.9526338019462955,0.9470786528605276,0.00555514908576793,True,False,0.9447394356040114,0.9382584283372822,0.006481007266729177,True,False,3.6582960480814712,5.321765177987718,-1.6634691299062467,True,False,2.4904968524903115,4.153965982396558,-1.6634691299062467,True,False,0.28500011123215385,0.2725131856124061,0.012486925619747735,False,False
pv,CHN,China,中国,GD,G0,0.9748932939185724,0.9742059750411496,0.0006873188774227934,True,False,0.9707088429050011,0.9722218192750842,-0.0015129763700830745,False,False,-13.68550272653789,-17.098566204436402,3.413063477898511,False,False,-14.85330192212905,-17.15623378294795,2.3029318608189,False,False,0.1443951573868523,0.13242443580026192,0.011970721586590377,False,False
pv,CHN,China,中国,GD,D0,0.9748932939185724,0.9606467087410904,0.014246585177482007,True,False,0.9707088429050011,0.957619532490405,0.013089310414596156,True,False,-13.68550272653789,-10.762015139915965,-2.923487586621926,True,False,-14.85330192212905,-10.819682718427517,-4.033619203701534,True,False,0.1443951573868523,0.18141744034742016,-0.037022282960567865,True,False
pv,CHN,China,中国,GD,DD,0.9748932939185724,0.9770521131453003,-0.0021588192267278927,False,False,0.9707088429050011,0.9732274653361837,-0.0025186224311825045,False,False,-13.68550272653789,-15.034139658425218,1.3486369318873273,False,False,-14.85330192212905,-16.201938854016376,1.3486369318873255,False,False,0.1443951573868523,0.14203384131543628,0.002361316071416014,False,False
pv,CHN,China,中国,GD,DG,0.9748932939185724,0.9701005330416103,0.004792760876962121,True,False,0.9707088429050011,0.9651172885485453,0.005591554356455863,True,False,-13.68550272653789,-11.0649177103286,-2.62058501620929,True,False,-14.85330192212905,-12.23271690591976,-2.62058501620929,True,False,0.1443951573868523,0.23747843051722126,-0.09308327313036896,True,False
pv,CHN,China,中国,GD,GG,0.9748932939185724,0.9805178324692417,-0.005624538550669356,False,False,0.9707088429050011,0.9772708045474487,-0.0065619616424476,False,False,-13.68550272653789,-17.490034078157947,3.8045313516200565,False,False,-14.85330192212905,-18.657833273749105,3.8045313516200547,False,False,0.1443951573868523,0.24186056487594454,-0.09746540748909224,True,False
pv,DEU,Germany,德国,GD,G0,0.9679669188379109,0.9611172535599857,0.006849665277925188,True,False,0.9626280719775626,0.9581262730646,0.004501798912962651,True,False,-13.793348161269193,-14.704808066539632,0.9114599052704389,False,False,-14.961147356860353,-14.762475645051184,-0.19867171180916898,True,False,0.18177545743053702,0.17619943164739021,0.00557602578314681,False,False
pv,DEU,Germany,德国,GD,D0,0.9679669188379109,0.9115228532086589,0.05644406562925197,True,False,0.9626280719775626,0.9047169188400942,0.05791115313746842,True,False,-13.793348161269193,-2.371902951528293,-11.4214452097409,True,False,-14.961147356860353,-2.429570530039845,-12.531576826820508,True,False,0.18177545743053702,0.1896339849587474,-0.007858527528210368,True,False
pv,DEU,Germany,德国,GD,DD,0.9679669188379109,0.9229755451389919,0.044991373698918924,True,False,0.9626280719775626,0.9101381359954905,0.05248993598207208,True,False,-13.793348161269193,-0.6330409827323145,-13.160307178536879,True,False,-14.961147356860353,-1.8008401783234742,-13.160307178536879,True,False,0.18177545743053702,0.2825533391600752,-0.10077788172953817,True,False
pv,DEU,Germany,德国,GD,DG,0.9679669188379109,0.9163264911960388,0.051640427641872044,True,False,0.9626280719775626,0.9023809063953786,0.060247165582184015,True,False,-13.793348161269193,0.608950896642785,-14.402299057911979,True,False,-14.961147356860353,-0.5588482989483747,-14.402299057911979,True,False,0.18177545743053702,0.29796456292038903,-0.11618910548985201,True,False
pv,DEU,Germany,德国,GD,GG,0.9679669188379109,0.9736925572201606,-0.005725638382249709,False,False,0.9626280719775626,0.9693079834235206,-0.006679911445958031,False,False,-13.793348161269193,-16.74710706946979,2.953758908200598,False,False,-14.961147356860353,-17.91490626506095,2.953758908200596,False,False,0.18177545743053702,0.19203020951469152,-0.010254752084154495,True,False
pv,ESP,Spain,西班牙,GD,G0,0.9563847003431455,0.9263408127444588,0.030043887598686703,True,False,0.9491154837336697,0.9206747214171095,0.02844076231656023,True,False,-5.597663938636103,-1.555232573830951,-4.042431364805152,True,False,-6.765463134227263,-1.6129001523425028,-5.15256298188476,True,False,0.18508870087963694,0.24101589461297562,-0.05592719373333868,True,False
