technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,term,coefficient,se_OLS,p_OLS,se_HAC,t_HAC,p_HAC,CI_HAC_lower,CI_HAC_upper,q_BH_within_technology_spec,q_BH_all_explored_slopes_technology
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,a,11.469867612596339,0.19709520684991788,4.204278971769305e-17,0.2397368440125451,47.843574732284935,5.304299634208898e-16,10.951947648992753,11.987787576199924,,
pv,AUS,Australia,澳大利亚,G0,global,none,2010,2024,15,2,13,b,-0.6388821859771424,0.03314048842490248,6.037438537041361e-11,0.04052017165957811,-15.767015780302703,7.450575655207527e-10,-0.7264206947849148,-0.55134367716937,2.7318777402427603e-09,1.36593887012138e-08
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,a,9.071615163634284,0.06074332987466461,2.0478728590736428e-22,0.07777301261497069,116.64219834899478,5.077105611637008e-21,8.903596784862355,9.239633542406214,,
pv,AUS,Australia,澳大利亚,D0,domestic,none,2010,2024,15,2,13,b,-0.6454498863673905,0.025922042685574315,2.3554046156490936e-12,0.026817916807475563,-24.067860714202446,3.6315204363244113e-12,-0.7033864732698397,-0.5875132994649414,3.994672479956852e-11,3.9946724799568525e-10
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,a,13.50709762423108,2.417456870057837,0.00011850673470802587,2.312335282786251,5.841323152737473,7.944496967012587e-05,8.46895184361301,18.54524340484915,,
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,b,-0.6685136063318459,0.04848563674867938,1.014576830702829e-08,0.051597038886936605,-12.956433561948085,2.04860439055993e-08,-0.7809338966313456,-0.5560933160323461,1.907263520207672e-07,1.4247071396020544e-07
pv,AUS,Australia,澳大利亚,GD,global,domestic,2010,2024,15,3,12,g,-0.40040197003565225,0.47351536940211403,0.41432223658719114,0.44972560675238904,-0.8903250427012187,0.3907922091469802,-1.3802698918559224,0.5794659517846179,0.4298714300616782,0.42561527728879034
pv,AUS,Australia,澳大利亚,DD,domestic,domestic,2010,2024,15,3,12,a,12.709969295598796,1.5648050531867428,3.2174918876619516e-06,1.8128929259684516,7.010876987568971,1.4126787584008556e-05,8.76001492969268,16.659923661504912,,
pv,AUS,Australia,澳大利亚,DD,domestic,domestic,2010,2024,15,3,12,b,-0.7030436241488436,0.033384957365596074,7.63151071250008e-11,0.04505252334886238,-15.604977743529567,2.4707322294843323e-09,-0.8012046400300556,-0.6048826082676315,5.435610904865531e-08,3.397256815540957e-08
pv,AUS,Australia,澳大利亚,DD,domestic,domestic,2010,2024,15,3,12,g,-0.7559257314931713,0.32493011598570787,0.0383180934635936,0.3704191153608017,-2.0407308914305684,0.06390839827553434,-1.5629996523938596,0.051148189407516975,0.10042748300441111,0.08080372195757216
