group,model_id,term,n,coefficient,SE_HAC,p_HAC_raw,R2
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,const,13,7.7676107463586845,12.795739601261046,0.5588213841073926,0.9774511749404364
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,logQ,13,-0.6695165279576916,0.2851658299927377,0.04346038831371719,0.9774511749404364
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,logG,13,0.30474380125957623,1.351855785613641,0.8266832468393412,0.9774511749404364
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,logM,13,0.0110284196529018,0.08449012939637872,0.8990188440239711,0.9774511749404364
PV_G_Material_Sensitivity_0915,pv_CHN_2022_B,const,13,6.729206446450377,7.25066534500659,0.3752235090207,0.9774240333740706
PV_G_Material_Sensitivity_0915,pv_CHN_2022_B,logQ,13,-0.6938094778045594,0.15281186823201004,0.0010742341833125072,0.9774240333740706
PV_G_Material_Sensitivity_0915,pv_CHN_2022_B,logG,13,0.41666102181990894,0.7481647723934629,0.5898341005439565,0.9774240333740706
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,const,13,7.767503980855508,12.795458039939373,0.5588182003638487,0.9774511885370912
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,logQ,13,-0.6695202627045855,0.2851661858985094,0.043459664527182064,0.9774511885370912
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,logG,13,0.3047564696474723,1.351832350341915,0.8266732273150305,0.9774511885370912
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,logM,13,0.01102745998898369,0.08448975712590334,0.8990271337992307,0.9774511885370912
PV_G_Material_Sensitivity_0915,pv_CHN_2022_D,const,13,6.729209259570155,7.250523983456744,0.37521437838664795,0.9774240515950842
PV_G_Material_Sensitivity_0915,pv_CHN_2022_D,logQ,13,-0.6938112382217474,0.15281257217969058,0.001074249722742398,0.9774240515950842
PV_G_Material_Sensitivity_0915,pv_CHN_2022_D,logG,13,0.4166624576463889,0.7481534793737767,0.5898273077029197,0.9774240515950842
PV_G_Material_Sensitivity_0915,pv_DEU_2022_A,const,13,-9.868090164188288,11.31484268266799,0.4057989042973428,0.9690877666280794
