technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct
pv,AUS,Australia,2010,2024,Shapley,7282.037669095132,1610.212914959786,124.9650521365189,0.0,5.45108392536501,356.86365899583154,2097.4927100175014,5184.54495907763,-0.0,0.0,0.0,22.112120097833436,1.7160725859311174,0.0,0.0748565741220941,4.900601661405242,28.803650919291886
pv,BRA,Brazil,2010,2024,Shapley,6798.078946200655,1379.237450240469,236.46743352316912,-16.431158915055743,8.470653364514877,369.22592420693314,1976.9703024200303,4821.108643780624,16.431158915055743,-11.378009558460212,0.0,20.288635380018707,3.4784449459111864,-0.24170297292941667,0.12460363334334326,5.431327396003367,29.081308382347185
pv,DEU,Germany,2010,2024,Shapley,3819.462950544251,1346.3435145438214,143.07485543218374,0.0,16.173171744053146,117.53259499399832,1623.1241367140567,2196.3388138301943,-0.0,0.0,0.0,35.24955031575775,3.745941701353496,0.0,0.42344099035568766,3.077202122807622,42.49613513027456
pv,ESP,Spain,2010,2024,Shapley,4741.7765895245575,1106.2461895537292,211.4553804939456,0.0,6.172327597699079,219.64108532094767,1543.5149829663214,3198.261606558236,-0.0,0.0,0.0,23.329783018407642,4.459412553537187,0.0,0.13016909340129745,4.6320420452995315,32.55140671064565
pv,FRA,France,2010,2024,Shapley,5410.699307984683,1117.5161255202638,245.77372889656013,0.0,10.935095146087567,394.86493538517215,1769.0898849480839,3641.6094230365998,-0.0,0.0,0.0,20.65382054905771,4.542365319282604,0.0,0.20210132782559947,7.297853990933512,32.69614118709943
pv,IND,India,2010,2024,Shapley,5490.645156154766,1382.9262040955737,276.29056775054806,-209.5020057571145,10.051998081492046,157.42708485014538,1617.1938490206446,3873.4513071341207,209.5020057571145,-455.26299480418453,0.0,25.186952803631385,5.032023740249155,-3.8156172872011624,0.1830749901989971,2.8671873773098726,29.453621624188248
pv,ITA,Italy,2010,2024,Shapley,5274.714075159887,701.9233233403081,-23.182877134841164,0.0,10.558548786557498,243.94700397604225,933.2459989680667,4341.468076191821,-0.0,0.0,0.0,13.3073245931161,-0.4395096455372976,0.0,0.20017291242914334,4.62483843673835,17.692826296746297
pv,JPN,Japan,2010,2024,Shapley,4732.825819242991,863.568118490911,800.0556994486502,0.0,111.44667218588924,181.81847654837944,1956.88896667383,2775.936852569161,-0.0,0.0,0.0,18.246353267001012,16.904397710892688,0.0,2.3547596392151817,3.8416473264055395,41.347157943514425
pv,KOR,South Korea,2010,2024,Shapley,5750.361703815428,907.7310307664224,124.65136434412696,0.0,41.14586291518621,332.2864615620345,1405.81471958777,4344.546984227658,-0.0,-0.00018360529863364373,0.0,15.785633626561836,2.1677134546409387,0.0,0.7155352138611641,5.778531485098735,24.447413780162673
pv,USA,United States,2010,2024,Shapley,4494.391436929972,466.8249416520011,-67.76020198773661,-206.0381831908768,27.31647483887376,291.80959404199115,512.1526253542527,3982.2388115757194,206.0381831908768,-130.39612782077646,0.0,10.386833194281799,-1.507661336103431,-4.584339973102506,0.6077902920163334,6.492749866961308,11.395372044053506
wind,AUS,Australia,2010,2024,Shapley,2762.5064308935325,653.8197895305242,69.85557410226649,6.370106043105888,0.1907739893239382,0.0,730.2362436652205,2032.270187228312,-6.370106043105888,-0.008328056130293582,0.0,23.667629592414965,2.528702678157086,0.2305915371587199,0.006905829691126995,0.0,26.4338296374219
wind,BRA,Brazil,2010,2024,Shapley,1799.196779698392,408.0222024547836,390.3952254006954,7.464545924920046,12.702593643064,0.0,818.584567423463,980.612212274929,-7.464545924920046,14.121567209558087,0.0,22.678019828558295,21.698306144486274,0.4148821301342794,0.7060146942455843,0.0,45.49722279742443
wind,CAN,Canada,2010,2024,Shapley,1970.2411215219868,195.75483737839164,297.920390174426,0.0,90.09293192675418,0.0,583.7681594795719,1386.472962042415,-0.0,0.0,0.0,9.935577693514663,15.121011683295201,0.0,4.572685593789582,0.0,29.629274970599447
wind,DEU,Germany,2010,2024,Shapley,1035.2917565798798,8.594821462017496,13.754141332085526,-0.1871634799116703,207.86717669094747,0.0,230.02897600513882,805.262780574741,0.1871634799116703,-4.860774354425763,0.0,0.8301835117871286,1.3285280448404981,-0.018078331902300758,20.078125356435127,0.0,22.218758581160454
wind,ESP,Spain,2010,2024,Shapley,1518.4988305827058,35.37341494384624,40.59406538071384,-0.7578177594740783,31.940142069510014,0.0,107.14980463459602,1411.3490259481098,0.7578177594740783,-3.6737637966531826,0.0,2.3294989914659414,2.673302380162937,-0.04990571900429286,2.103402480544115,0.0,7.056298133168701
wind,FRA,France,2010,2024,Shapley,1089.5794531686884,64.72033005430357,86.18964609122976,-1.3841516684459283,75.01851907990276,0.0,224.54434355699016,865.0351096116982,1.3841516684459283,-12.323180627507197,0.0,5.93993672201559,7.91035897754635,-0.12703540475369393,6.8850893674376605,0.0,20.608349662245907
wind,GBR,United Kingdom,2010,2024,Shapley,721.0565960692702,5.178172520574777,2.3292730908035018,0.0583156098455296,127.67697158423944,0.0,135.24273280546325,585.813863263807,-0.0583156098455296,13.861273202233733,0.0,0.7181367660739522,0.3230360977905449,0.008087521862143449,17.706927900008257,0.0,18.756188285734897
