model_id,year,logp,logQ,logG,fitted,residual
china_domestic__experience_only,2010,6.812227576834841,5.180162236673185,6.721425700790643,7.020291646994905,-0.20806407016006379
china_domestic__experience_only,2011,6.709573802576824,5.376417249698097,7.188412736496954,6.878807477426811,-0.16923367484998675
china_domestic__experience_only,2012,6.668427904138208,5.56590362647905,7.547501682814967,6.742202953292097,-0.07377504915388844
china_domestic__experience_only,2013,6.708217182992296,5.677698971893068,7.751475318021456,6.6616074496986535,0.04660973329364282
china_domestic__experience_only,2014,6.542006271937041,5.830825584658366,7.9658927350845286,6.551215407671561,-0.009209135734520757
china_domestic__experience_only,2015,6.43719187797247,6.002024865148459,8.097730573664219,6.42779441751463,0.009397460457839735
china_domestic__experience_only,2016,6.455895595210555,6.114760027948734,8.211482916445066,6.346521380744373,0.10937421446618156
china_domestic__experience_only,2017,6.469858035371506,6.205934995565976,8.32069157104845,6.280791520498276,0.18906651487322979
china_domestic__experience_only,2018,6.460596296018196,6.290532398624406,8.39638057119949,6.219803558280873,0.24079273773732357
china_domestic__experience_only,2019,6.398763921335831,6.38729428375806,8.449770515098804,6.150045977300047,0.24871794403578473
china_domestic__experience_only,2020,6.405635793293439,6.548699273994664,8.496990484098719,6.033685887151044,0.37194990614239476
china_domestic__experience_only,2021,6.158994963306929,6.645448863841342,8.549660381553739,5.9639371700888555,0.1950577932180737
china_domestic__experience_only,2022,5.773504528965685,6.733146895042726,8.597666575566114,5.9007139029425035,-0.12720937397681897
china_domestic__experience_only,2023,5.46170635729296,6.849202095255681,8.631771096123673,5.817047384706332,-0.35534102741337215
china_domestic__experience_only,2024,5.272081898832534,6.955776347473294,8.666647144584575,5.740215871768441,-0.46813397293590686
china_domestic__experience_plus_lnG,2010,6.812227576834841,5.180162236673185,6.721425700790643,6.654408365323473,0.15781921151136835
china_domestic__experience_plus_lnG,2011,6.709573802576824,5.376417249698097,7.188412736496954,6.757592326119567,-0.048018523542742386
china_domestic__experience_plus_lnG,2012,6.668427904138208,5.56590362647905,7.547501682814967,6.774040118669146,-0.10561221453093772
china_domestic__experience_plus_lnG,2013,6.708217182992296,5.677698971893068,7.751475318021456,6.776598479514248,-0.06838129652195146
china_domestic__experience_plus_lnG,2014,6.542006271937041,5.830825584658366,7.9658927350845286,6.721233543368525,-0.17922727143148443
china_domestic__experience_plus_lnG,2015,6.43719187797247,6.002024865148459,8.097730573664219,6.561573280797856,-0.12438140282538601
china_domestic__experience_plus_lnG,2016,6.455895595210555,6.114760027948734,8.211482916445066,6.480845355186096,-0.024949759975541497
china_domestic__experience_plus_lnG,2017,6.469858035371506,6.205934995565976,8.32069157104845,6.431152133658689,0.038705901712816626
china_domestic__experience_plus_lnG,2018,6.460596296018196,6.290532398624406,8.39638057119949,6.361809216267455,0.09878707975074175
china_domestic__experience_plus_lnG,2019,6.398763921335831,6.38729428375806,8.449770515098804,6.252426917666453,0.14633700366937852
china_domestic__experience_plus_lnG,2020,6.405635793293439,6.548699273994664,8.496990484098719,6.032058909077259,0.3735768842161802
china_domestic__experience_plus_lnG,2021,6.158994963306929,6.645448863841342,8.549660381553739,5.922044186959179,0.23695077634774986
china_domestic__experience_plus_lnG,2022,5.773504528965685,6.733146895042726,8.597666575566114,5.822561206385712,-0.04905667742002784
china_domestic__experience_plus_lnG,2023,5.46170635729296,6.849202095255681,8.631771096123673,5.664247405913481,-0.20254104862052102
china_domestic__experience_plus_lnG,2024,5.272081898832534,6.955776347473294,8.666647144584575,5.522090561172105,-0.250008662339571
china_domestic__difference_plus_lnG,2011,-0.10265377425801692,0.19625501302491166,0.4669870357063104,-0.020107481543677502,-0.08254629271433941
china_domestic__difference_plus_lnG,2012,-0.04114589843861616,0.1894863767809527,0.35908894631801314,-0.05249123553438835,0.011345337095772193
china_domestic__difference_plus_lnG,2013,0.03978927885408812,0.11179534541401814,0.2039736352064896,-0.08714605724979187,0.12693533610387997
china_domestic__difference_plus_lnG,2014,-0.16621091105525565,0.15312661276529838,0.21441741706307216,-0.09113422613529515,-0.0750766849199605
china_domestic__difference_plus_lnG,2015,-0.10481439396457048,0.17119928049009303,0.13183783857969011,-0.11999084375643757,0.01517644979186708
china_domestic__difference_plus_lnG,2016,0.018703717238084394,0.11273516280027529,0.11375234278084712,-0.11538005661242356,0.13408377385050796
china_domestic__difference_plus_lnG,2017,0.013962440160951495,0.09117496761724198,0.10920865460338369,-0.11301832698082687,0.12698076714177836
china_domestic__difference_plus_lnG,2018,-0.00926173935330965,0.08459740305842978,0.07568900015104063,-0.12229510022817096,0.11303336087486131
china_domestic__difference_plus_lnG,2019,-0.06183237468236502,0.09676188513365425,0.05338994389931351,-0.13136282018587675,0.06953044550351173
china_domestic__difference_plus_lnG,2020,0.006871871957607745,0.16140499023660393,0.047219968999915096,-0.14460189748148186,0.1514737694390896
china_domestic__difference_plus_lnG,2021,-0.24664082998650994,0.09674958984667725,0.052669897455020376,-0.13158468629804065,-0.11505614368846928
china_domestic__difference_plus_lnG,2022,-0.38549043434124464,0.0876980312013842,0.04800619401237505,-0.13145065103650974,-0.25403978330473487
china_domestic__difference_plus_lnG,2023,-0.3117981716727245,0.1160552002129549,0.03410452055755897,-0.14074125776523755,-0.17105691390748695
china_domestic__difference_plus_lnG,2024,-0.1896244584604263,0.10657425221761319,0.03487604846090164,-0.1388410371941497,-0.05078342126627661
nordex_global__experience_only,2016,7.193085649327715,6.114760027948734,8.211482916445066,7.070418994508456,0.12266665481925898
nordex_global__experience_only,2017,7.041044438681148,6.205934995565976,8.32069157104845,7.039647056229072,0.0013973824520761013
nordex_global__experience_only,2018,7.007916430084566,6.290532398624406,8.39638057119949,7.011095073886301,-0.003178643801734715
nordex_global__experience_only,2019,6.864166470373297,6.38729428375806,8.449770515098804,6.978437527248833,-0.11427105687553585
nordex_global__experience_only,2020,6.85524533669595,6.548699273994664,8.496990484098719,6.923962658462521,-0.06871732176657108
nordex_global__experience_only,2021,6.866779862302282,6.645448863841342,8.549660381553739,6.891309261536557,-0.024529399234275218
nordex_global__experience_only,2022,6.849371853944287,6.733146895042726,8.597666575566114,6.861710804044567,-0.012338950100279966
nordex_global__experience_only,2023,6.8337597080393655,6.849202095255681,8.631771096123673,6.822541681737368,0.011218026301997419
nordex_global__experience_only,2024,6.874325727796057,6.955776347473294,8.666647144584575,6.786572419590993,0.08775330820506433
nordex_global__experience_plus_lnG,2016,7.193085649327715,6.114760027948734,8.211482916445066,7.1950581900052235,-0.0019725406775084053
nordex_global__experience_plus_lnG,2017,7.041044438681148,6.205934995565976,8.32069157104845,7.0377869932524675,0.003257445428680228
nordex_global__experience_plus_lnG,2018,7.007916430084566,6.290532398624406,8.39638057119949,6.942960136120934,0.06495629396363167
nordex_global__experience_plus_lnG,2019,6.864166470373297,6.38729428375806,8.449770515098804,6.900625230605598,-0.03645876023230166
nordex_global__experience_plus_lnG,2020,6.85524533669595,6.548699273994664,8.496990484098719,6.9133838050162595,-0.05813846832030922
nordex_global__experience_plus_lnG,2021,6.866779862302282,6.645448863841342,8.549660381553739,6.872475692044617,-0.005695829742334624
nordex_global__experience_plus_lnG,2022,6.849371853944287,6.733146895042726,8.597666575566114,6.834868870825897,0.014502983118390489
nordex_global__experience_plus_lnG,2023,6.8337597080393655,6.849202095255681,8.631771096123673,6.843739977594282,-0.00998026955491671
nordex_global__experience_plus_lnG,2024,6.874325727796057,6.955776347473294,8.666647144584575,6.84479658178196,0.029529146014096952
