series,year,logp,logQ,Q_global_gw,G_global,logG
china_domestic,2010,6.812227576834841,5.180162236673185,177.71164000000002,1809.0,7.500529485395295
china_domestic,2011,6.709573802576824,5.376417249698097,216.24613,2122.1000000000004,7.660161443417004
china_domestic,2012,6.668427904138208,5.56590362647905,261.36127,2481.89,7.81677564568493
china_domestic,2013,6.708217182992296,5.677698971893068,292.27612,2662.701,7.887096300125977
china_domestic,2014,6.542006271937041,5.830825584658366,340.63979000000006,2952.4309000000003,7.990384143902638
china_domestic,2015,6.43719187797247,6.002024865148459,404.24651,3063.187810000001,8.027211420656602
china_domestic,2016,6.455895595210555,6.114760027948734,452.48745,3152.869029,8.056068120147582
china_domestic,2017,6.469858035371506,6.205934995565976,495.6822,3262.582126100001,8.090274224065078
china_domestic,2018,6.460596296018196,6.290532398624406,539.4404499999999,3259.3239134900005,8.089275064352785
china_domestic,2019,6.398763921335831,6.38729428375806,594.24654,3176.391522141,8.063501090002571
china_domestic,2020,6.405635793293439,6.548699273994664,698.33524,3084.7523699269,8.0342266640503
china_domestic,2021,6.158994963306929,6.645448863841342,769.27527,3041.277132934209,8.020032815696803
china_domestic,2022,5.773504528965685,6.733146895042726,839.7858299999999,2991.1494196407893,8.003413013798346
china_domestic,2023,5.46170635729296,6.849202095255681,943.12808,2880.0344776767106,7.965557544473859
china_domestic,2024,5.272081898832534,6.955776347473294,1049.19276,2791.0310299090397,7.934166351320825
nordex_global,2016,7.193085649327715,6.114760027948734,452.48745,3152.869029,8.056068120147582
nordex_global,2017,7.041044438681148,6.205934995565976,495.6822,3262.582126100001,8.090274224065078
nordex_global,2018,7.007916430084566,6.290532398624406,539.4404499999999,3259.3239134900005,8.089275064352785
nordex_global,2019,6.864166470373297,6.38729428375806,594.24654,3176.391522141,8.063501090002571
nordex_global,2020,6.85524533669595,6.548699273994664,698.33524,3084.7523699269,8.0342266640503
nordex_global,2021,6.866779862302282,6.645448863841342,769.27527,3041.277132934209,8.020032815696803
nordex_global,2022,6.849371853944287,6.733146895042726,839.7858299999999,2991.1494196407893,8.003413013798346
nordex_global,2023,6.8337597080393655,6.849202095255681,943.12808,2880.0344776767106,7.965557544473859
nordex_global,2024,6.874325727796057,6.955776347473294,1049.19276,2791.0310299090397,7.934166351320825
sgre_global,2016,7.135743197695702,6.114760027948734,452.48745,3152.869029,8.056068120147582
sgre_global,2017,7.04476108981515,6.205934995565976,495.6822,3262.582126100001,8.090274224065078
sgre_global,2018,6.967525172448601,6.290532398624406,539.4404499999999,3259.3239134900005,8.089275064352785
sgre_global,2019,6.90181493070398,6.38729428375806,594.24654,3176.391522141,8.063501090002571
sgre_global,2020,6.826829914891703,6.548699273994664,698.33524,3084.7523699269,8.0342266640503
sgre_global,2021,6.777273878536515,6.645448863841342,769.27527,3041.277132934209,8.020032815696803
sgre_global,2022,6.819708171121091,6.733146895042726,839.7858299999999,2991.1494196407893,8.003413013798346
sgre_global,2023,6.8169215586185805,6.849202095255681,943.12808,2880.0344776767106,7.965557544473859
sgre_global,2024,6.775707709540408,6.955776347473294,1049.19276,2791.0310299090397,7.934166351320825
us_project_5_100mw,2010,7.633860269553674,5.180162236673185,177.71164000000002,1809.0,7.500529485395295
us_project_5_100mw,2011,7.413724155178598,5.376417249698097,216.24613,2122.1000000000004,7.660161443417004
us_project_5_100mw,2012,7.445354232123956,5.56590362647905,261.36127,2481.89,7.81677564568493
us_project_5_100mw,2013,7.316295554413122,5.677698971893068,292.27612,2662.701,7.887096300125977
us_project_5_100mw,2014,7.33044279859622,5.830825584658366,340.63979000000006,2952.4309000000003,7.990384143902638
us_project_5_100mw,2015,7.342701383762507,6.002024865148459,404.24651,3063.187810000001,8.027211420656602
us_project_gt100mw,2010,7.537239649359366,5.180162236673185,177.71164000000002,1809.0,7.500529485395295
us_project_gt100mw,2011,7.432396369984271,5.376417249698097,216.24613,2122.1000000000004,7.660161443417004
us_project_gt100mw,2013,7.443176206169008,5.677698971893068,292.27612,2662.701,7.887096300125977
us_project_gt100mw,2014,7.113041672851738,5.830825584658366,340.63979000000006,2952.4309000000003,7.990384143902638
us_project_gt100mw,2015,7.4177630940418045,6.002024865148459,404.24651,3063.187810000001,8.027211420656602
us_project_gt100mw,2016,7.023790411420235,6.114760027948734,452.48745,3152.869029,8.056068120147582
vestas_asp,2010,7.519976983896885,5.180162236673185,177.71164000000002,1809.0,7.500529485395295
vestas_asp,2011,7.544080932704994,5.376417249698097,216.24613,2122.1000000000004,7.660161443417004
vestas_asp,2012,7.475406322541961,5.56590362647905,261.36127,2481.89,7.81677564568493
vestas_asp,2013,7.447343924302284,5.677698971893068,292.27612,2662.701,7.887096300125977
vestas_asp,2014,7.337950736153582,5.830825584658366,340.63979000000006,2952.4309000000003,7.990384143902638
vestas_asp,2015,7.180166664019038,6.002024865148459,404.24651,3063.187810000001,8.027211420656602
vestas_asp,2016,7.1525449693183685,6.114760027948734,452.48745,3152.869029,8.056068120147582
vestas_asp,2017,7.02696687700858,6.205934995565976,495.6822,3262.582126100001,8.090274224065078
vestas_asp,2018,6.7553635033498365,6.290532398624406,539.4404499999999,3259.3239134900005,8.089275064352785
vestas_asp,2019,6.87671553384544,6.38729428375806,594.24654,3176.391522141,8.063501090002571
vestas_asp,2020,6.903147370737096,6.548699273994664,698.33524,3084.7523699269,8.0342266640503
vestas_asp,2021,6.9986112310314175,6.645448863841342,769.27527,3041.277132934209,8.020032815696803
vestas_asp,2022,7.030213485772229,6.733146895042726,839.7858299999999,2991.1494196407893,8.003413013798346
vestas_asp,2023,6.98625099951834,6.849202095255681,943.12808,2880.0344776767106,7.965557544473859
vestas_asp,2024,7.093254850398366,6.955776347473294,1049.19276,2791.0310299090397,7.934166351320825
