model_id,year,logp,logQ,logG,fitted,residual
china_domestic__experience_only,2010,6.812227576834841,5.180162236673185,7.500529485395295,7.020291646994905,-0.20806407016006379
china_domestic__experience_only,2011,6.709573802576824,5.376417249698097,7.660161443417004,6.878807477426811,-0.16923367484998675
china_domestic__experience_only,2012,6.668427904138208,5.56590362647905,7.81677564568493,6.742202953292097,-0.07377504915388844
china_domestic__experience_only,2013,6.708217182992296,5.677698971893068,7.887096300125977,6.6616074496986535,0.04660973329364282
china_domestic__experience_only,2014,6.542006271937041,5.830825584658366,7.990384143902638,6.551215407671561,-0.009209135734520757
china_domestic__experience_only,2015,6.43719187797247,6.002024865148459,8.027211420656602,6.42779441751463,0.009397460457839735
china_domestic__experience_only,2016,6.455895595210555,6.114760027948734,8.056068120147582,6.346521380744373,0.10937421446618156
china_domestic__experience_only,2017,6.469858035371506,6.205934995565976,8.090274224065078,6.280791520498276,0.18906651487322979
china_domestic__experience_only,2018,6.460596296018196,6.290532398624406,8.089275064352785,6.219803558280873,0.24079273773732357
china_domestic__experience_only,2019,6.398763921335831,6.38729428375806,8.063501090002571,6.150045977300047,0.24871794403578473
china_domestic__experience_only,2020,6.405635793293439,6.548699273994664,8.0342266640503,6.033685887151044,0.37194990614239476
china_domestic__experience_only,2021,6.158994963306929,6.645448863841342,8.020032815696803,5.9639371700888555,0.1950577932180737
china_domestic__experience_only,2022,5.773504528965685,6.733146895042726,8.003413013798346,5.9007139029425035,-0.12720937397681897
china_domestic__experience_only,2023,5.46170635729296,6.849202095255681,7.965557544473859,5.817047384706332,-0.35534102741337215
china_domestic__experience_only,2024,5.272081898832534,6.955776347473294,7.934166351320825,5.740215871768441,-0.46813397293590686
china_domestic__experience_plus_lnG,2010,6.812227576834841,5.180162236673185,7.500529485395295,6.686431163190359,0.12579641364448246
china_domestic__experience_plus_lnG,2011,6.709573802576824,5.376417249698097,7.660161443417004,6.713167365752872,-0.0035935631760475317
china_domestic__experience_plus_lnG,2012,6.668427904138208,5.56590362647905,7.81677564568493,6.74253322404881,-0.07410531991060143
china_domestic__experience_plus_lnG,2013,6.708217182992296,5.677698971893068,7.887096300125977,6.728335150849419,-0.020117967857122387
china_domestic__experience_plus_lnG,2014,6.542006271937041,5.830825584658366,7.990384143902638,6.718837913293045,-0.1768316413560047
china_domestic__experience_plus_lnG,2015,6.43719187797247,6.002024865148459,8.027211420656602,6.595931422268746,-0.15873954429627624
china_domestic__experience_plus_lnG,2016,6.455895595210555,6.114760027948734,8.056068120147582,6.521572845169036,-0.06567724995848145
china_domestic__experience_plus_lnG,2017,6.469858035371506,6.205934995565976,8.090274224065078,6.476951287069029,-0.007093251697522618
china_domestic__experience_plus_lnG,2018,6.460596296018196,6.290532398624406,8.089275064352785,6.388810142683127,0.07178615333506944
china_domestic__experience_plus_lnG,2019,6.398763921335831,6.38729428375806,8.063501090002571,6.252829618191202,0.14593430314462896
china_domestic__experience_plus_lnG,2020,6.405635793293439,6.548699273994664,8.0342266640503,6.045590615138139,0.3600451781552998
china_domestic__experience_plus_lnG,2021,6.158994963306929,6.645448863841342,8.020032815696803,5.926155381687569,0.23283958161936003
china_domestic__experience_plus_lnG,2022,5.773504528965685,6.733146895042726,8.003413013798346,5.812534765095387,-0.0390302361297028
china_domestic__experience_plus_lnG,2023,5.46170635729296,6.849202095255681,7.965557544473859,5.6395295803228604,-0.1778232230299004
china_domestic__experience_plus_lnG,2024,5.272081898832534,6.955776347473294,7.934166351320825,5.485471531319273,-0.2133896324867388
china_domestic__difference_plus_lnG,2011,-0.10265377425801692,0.19625501302491166,0.15963195802170915,-0.036125877722728295,-0.06652789653528862
china_domestic__difference_plus_lnG,2012,-0.04114589843861616,0.1894863767809527,0.15661420226792622,-0.03636513129927944,-0.004780767139336714
china_domestic__difference_plus_lnG,2013,0.03978927885408812,0.11179534541401814,0.07032065444104685,-0.07687577674111527,0.11666505559520339
china_domestic__difference_plus_lnG,2014,-0.16621091105525565,0.15312661276529838,0.10328784377666089,-0.06478494640213543,-0.10142596465312022
china_domestic__difference_plus_lnG,2015,-0.10481439396457048,0.17119928049009303,0.036827276753964355,-0.11862513432279985,0.013810740358229365
china_domestic__difference_plus_lnG,2016,0.018703717238084394,0.11273516280027529,0.02885669949098002,-0.10746251067304428,0.1261662279111287
china_domestic__difference_plus_lnG,2017,0.013962440160951495,0.09117496761724198,0.03420610391749612,-0.09728621501974072,0.11124865518069221
china_domestic__difference_plus_lnG,2018,-0.00926173935330965,0.08459740305842978,-0.0009991597122933626,-0.12111275645093711,0.11185101709762746
china_domestic__difference_plus_lnG,2019,-0.06183237468236502,0.09676188513365425,-0.02577397435021389,-0.1427602407791569,0.08092786609679187
