model_id,series,spec,with_G,difference,n,df_resid,first_year,last_year,years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_all_slopes_within_spec,p_BH_knowledge_within_spec
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.7528088049402593,0.0733181524946695,4.9810256303553114e-05,-0.9322118611835202,-0.5734057486969983,***,0.00019924102521421246,
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-2.124817051106845,0.4598735946613317,0.003613698996251612,-3.2500871999122953,-0.9995469023013948,***,0.008411386573753054,0.008411386573753054
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",const,0.026489157033746484,0.07040802411020611,0.7221862841485613,-0.154500430826993,0.20747874489448598,,,
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.8713916407540792,0.5832356705826804,0.19538731195626638,-2.3706466614490824,0.6278633799409241,,0.48846827989066594,
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",logG,-1.3199631776867102,0.46331282914833666,0.035867120102787524,-2.5109467205126954,-0.12897963486072506,**,0.3586712010278752,0.1793356005139376
us_project_5_100mw__experience_only,us_project_5_100mw,experience_only,False,False,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",const,9.275413032391732,0.5761219772020861,8.705379414205113e-05,7.675841988792122,10.874984075991343,***,,
us_project_5_100mw__experience_only,us_project_5_100mw,experience_only,False,False,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",logQ,-0.3321169385855294,0.10263935766876348,0.031801240337269145,-0.6170894807856139,-0.047144396385444876,**,0.031801240337269145,
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",const,14.244017247974796,2.1226358947268715,0.006753453229526738,7.488842487337508,20.999192008612084,***,,
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",logQ,0.47647527609705875,0.26547112893909747,0.17056117089858758,-0.3683723373548141,1.3213228895489317,,0.2046734050783051,
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",logG,-1.2159643552046333,0.45872819876745363,0.0769458034813737,-2.675842216501821,0.24391350609255436,*,0.10769488114335407,0.09692539302901866
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",const,-0.12788175293686047,0.24712058795702754,0.6563645642575142,-1.1911558252742807,0.9353923194005597,,,
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",logQ,1.0556543379510857,1.3499693904226309,0.5161030357666838,-4.7527951447570835,6.864103820659254,,0.7372900510952627,
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",logG,-0.9860846467023736,0.6509489693368729,0.2690317020923796,-3.7868920065125593,1.8147227131078123,,0.5380634041847592,0.3362896276154745
us_project_gt100mw__experience_only,us_project_gt100mw,experience_only,False,False,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",const,9.693669913770483,0.5574849970585469,6.421186567628917e-05,8.145843422466072,11.241496405074894,***,,
us_project_gt100mw__experience_only,us_project_gt100mw,experience_only,False,False,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",logQ,-0.4152670469840114,0.1014055676819208,0.014912579140714737,-0.6968140390142845,-0.1337200549537383,**,0.020447794696139387,
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",const,9.529041857199275,6.738766781034158,0.2522553015794039,-11.916721587275209,30.974805301673758,,,
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",logQ,-0.4381710685885096,1.0697790547021035,0.709596659249401,-3.8426854686957106,2.9663433315186913,,0.774105446453892,
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",logG,0.03757675172913366,1.628488150591893,0.9830397307153125,-5.144999346321238,5.220152849779505,,0.9830397307153125,0.9830397307153125
vestas_asp__experience_only,vestas_asp,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,9.492271559773439,0.4504810939968919,1.9642514373786246e-11,8.519066323974286,10.465476795572592,***,,
vestas_asp__experience_only,vestas_asp,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.37954337622053247,0.07666440783226403,0.0002651025319146299,-0.5451667599674999,-0.2139199924735651,***,0.0015906151914877793,
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,13.928623718901633,2.4360253263151934,9.639547804139401e-05,8.620980484541075,19.23626695326219,***,,
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.23703297269856716,0.08695457301535547,0.018404306012217972,-0.4264907119823281,-0.04757523341480624,**,0.03155023887808795,
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-0.6690362291238214,0.3508728899652624,0.08077116085751555,-1.4335225833612157,0.09545012511357287,*,0.10769488114335407,0.09692539302901866
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,-0.08585659992169631,0.15536954013656715,0.5915917390812484,-0.4278226520911927,0.2561094522478001,,,
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,0.5983941097272052,1.2283114786958163,0.6357021166454706,-2.105101226841829,3.30188944629624,,0.7946276458068382,
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-0.662413143847861,0.4565578659476833,0.17472432703058036,-1.6672902315178524,0.3424639438221303,,0.48846827989066594,0.2912072117176339
