,,Oceania,China,Japan,SKorea,ROW,SEA,CWS,India,Canada,US,RAM,Brazil,EUPlus,EEuro,Russia,NAF,SSAF,SAfrica
Coal,Oceania,1.1456211805343628,76.49334716796875,67.98856353759766,29.654611587524414,0.0002079899568343535,9.13377571105957,1.1060930490493774,36.629371643066406,0.0014118253020569682,0.003112632781267166,1.0174294710159302,3.2126309871673584,13.89265251159668,0.3844732642173767,0.011955439113080502,0.016084425151348114,0.030937517061829567,0.10937991738319397
Coal,China,0.0010729753412306309,1.079248309135437,1.4559457302093506,1.7993215322494507,0.022672506049275398,0.07094945758581161,0.0037968873511999846,0.12029866874217987,6.096680590417236e-05,0.0005460047395899892,0.0026077397633343935,0.048875898122787476,0.051814671605825424,0.0006879006396047771,0.00019169722509104759,0.0004424289509188384,0.0020607784390449524,1.4639602341048885e-05
Coal,Japan,5.65423050602476e-08,6.506579666165635e-05,6.393066076526566e-09,3.42249137474937e-07,5.1000257350608535e-09,2.91316337097669e-06,2.904195355313277e-07,4.98640169155351e-08,1.4195916442361067e-08,8.935775497320719e-08,8.806670166450203e-07,1.1126809695838347e-08,2.767511375623144e-07,7.027188075880986e-08,2.3602992893501096e-09,2.1458749444036584e-08,1.2569024931963213e-07,2.5707191930735007e-10
Coal,SKorea,1.7604345714516967e-07,0.00011481084220577031,4.773591513185238e-07,6.393065632437356e-09,8.060426992528846e-09,5.570139910560101e-05,2.8833468945776985e-07,4.846087335863558e-07,1.4704179207569723e-08,2.1428959939839842e-07,8.319090056829737e-07,6.642106598064856e-08,5.08148559674737e-07,7.215366082391483e-08,2.8793461837040013e-08,7.280913996510208e-05,2.3055075359934563e-07,1.8806809443105976e-09
Coal,ROW,0.0005418250802904367,22.109769821166992,0.1357259601354599,0.011567650362849236,2.1904861569055356e-05,0.014246604405343533,0.0173579603433609,0.01581965573132038,0.00015605594671797007,0.0004329688963480294,0.00338291865773499,0.0012153973802924156,0.47507867217063904,0.0025050772819668055,0.0012570801191031933,0.001693623955361545,0.0037286870647221804,6.165444119687891e-06
Coal,SEA,0.0039562052115798,71.94095611572266,23.937829971313477,18.690616607666016,0.00018804958381224424,38.523677825927734,3.1801493167877197,52.42158889770508,0.0012691468000411987,0.2300342619419098,0.02510627545416355,0.08207225799560547,3.742079496383667,0.09349250048398972,0.011031437665224075,0.014688516966998577,0.028849367052316666,3.845970786642283e-05
Coal,CWS,0.0007788687362335622,0.3798017203807831,0.3204821050167084,0.02060430310666561,9.817866521188989e-05,0.016651608049869537,1.3365672826766968,0.026894470676779747,0.00034801498986780643,0.0018913885578513145,0.006093265954405069,0.0019682638812810183,2.2314507961273193,0.9829292893409729,7.6861891746521,0.00363219459541142,0.0073801190592348576,1.3497960026143119e-05
Coal,India,3.731160859388183e-06,0.0012149541871622205,3.709283873831737e-06,4.875452304986538e-06,1.045092616891452e-07,0.0007458673208020627,0.3965629041194916,7.743761187839482e-09,2.149926388028689e-07,5.683642029907787e-06,1.4559889677911997e-05,1.0018642342402018e-06,2.2171363525558263e-05,2.785464630505885e-06,8.210764121940883e-07,5.354466338758357e-06,2.6563207939034328e-05,7.75827260213191e-08
Coal,Canada,0.00019397205323912203,3.5776894092559814,3.61885929107666,2.944553852081299,1.0008718163589947e-05,0.2810961902141571,0.2318970412015915,1.5907479524612427,3.4458460529407375e-09,0.24439184367656708,0.10089985281229019,0.2550564110279083,2.2262494564056396,0.4334649443626404,0.0005474326317198575,0.05314881354570389,0.0015415954403579235,2.2871518012834713e-06
Coal,US,0.004819374997168779,3.644788980484009,6.153693199157715,4.81292200088501,7.549115252913907e-05,0.07816298305988312,1.3973437547683716,6.108067989349365,1.4786983728408813,5.187652529770048e-09,1.4812792539596558,3.8254683017730713,20.39535140991211,2.7590386867523193,0.0028858024161309004,2.862724542617798,0.050167620182037354,0.015534504316747189
