technology,iso3,country,country_cn,spec,year,H,H2009,F_used,flow_year,delta,lag,early_missing_count
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2015,121.13454300000001,103.0,15.0,2015,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2016,116.0210887,103.0,7.0,2016,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2017,109.41897983000001,103.0,5.0,2017,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2018,105.47708184700001,103.0,7.0,2018,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2019,100.92937366230001,103.0,6.0,2019,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2020,94.83643629607,103.0,4.0,2020,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2021,94.352792666463,103.0,9.0,2021,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2022,91.9175133998167,103.0,7.0,2022,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2023,87.72576205983503,103.0,5.0,2023,0.1,0,0
pv,AUS,Australia,澳大利亚,pre2008_flow_lag0,2024,84.95318585385154,103.0,6.0,2024,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2010,25.5,25.0,3.0,2010,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2011,28.95,25.0,6.0,2011,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2012,30.055,25.0,4.0,2012,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2013,34.0495,25.0,7.0,2013,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2014,33.64455,25.0,3.0,2014,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2015,44.280095,25.0,14.0,2015,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2016,51.8520855,25.0,12.0,2016,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2017,65.66687695,25.0,19.0,2017,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2018,75.100189255,25.0,16.0,2018,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2019,80.59017032950001,25.0,13.0,2019,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2020,84.53115329655002,25.0,12.0,2020,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2021,78.07803796689501,25.0,2.0,2021,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2022,71.27023417020551,25.0,1.0,2022,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2023,64.14321075318496,25.0,0.0,2023,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag0,2024,57.72888967786646,25.0,0.0,2024,0.1,0,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2010,26.5,25.0,4.0,2008,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2011,24.85,25.0,1.0,2009,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2012,25.365000000000002,25.0,3.0,2010,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2013,28.828500000000002,25.0,6.0,2011,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2014,29.94565,25.0,4.0,2012,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2015,33.951085000000006,25.0,7.0,2013,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2016,33.55597650000001,25.0,3.0,2014,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2017,44.20037885000001,25.0,14.0,2015,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2018,51.78034096500001,25.0,12.0,2016,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2019,65.60230686850001,25.0,19.0,2017,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2020,75.04207618165,25.0,16.0,2018,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2021,80.537868563485,25.0,13.0,2019,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2022,84.48408170713651,25.0,12.0,2020,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2023,78.03567353642286,25.0,2.0,2021,0.1,2,0
pv,BRA,Brazil,巴西,pre2009_mean_lag2,2024,71.23210618278058,25.0,1.0,2022,0.1,2,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2010,36.300000000000004,37.0,3.0,2010,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2011,38.67,37.0,6.0,2011,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2012,38.803000000000004,37.0,4.0,2012,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2013,41.922700000000006,37.0,7.0,2013,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2014,40.730430000000005,37.0,3.0,2014,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2015,50.65738700000001,37.0,14.0,2015,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2016,57.59164830000001,37.0,12.0,2016,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2017,70.83248347,37.0,19.0,2017,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2018,79.749235123,37.0,16.0,2018,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2019,84.77431161070001,37.0,13.0,2019,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2020,88.29688044963001,37.0,12.0,2020,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2021,81.46719240466702,37.0,2.0,2021,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2022,74.32047316420032,37.0,1.0,2022,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2023,66.8884258477803,37.0,0.0,2023,0.1,0,0
pv,BRA,Brazil,巴西,pre2008_flow_lag0,2024,60.19958326300227,37.0,0.0,2024,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2010,12678.0,11610.0,2229.0,2010,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2011,13900.2,11610.0,2490.0,2011,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2012,14831.18,11610.0,2321.0,2012,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2013,15468.062,11610.0,2120.0,2013,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2014,16639.2558,11610.0,2718.0,2014,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2015,17876.33022,11610.0,2901.0,2015,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2016,20181.697198,11610.0,4093.0,2016,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2017,23495.5274782,11610.0,5332.0,2017,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2018,27598.974730380003,11610.0,6453.0,2018,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2019,29625.077257342004,11610.0,4786.0,2019,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2020,33094.569531607805,11610.0,6432.0,2020,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2021,37484.11257844702,11610.0,7699.0,2021,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2022,44093.70132060232,11610.0,10358.0,2022,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2023,51703.331188542084,11610.0,12019.0,2023,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag0,2024,54834.99806968788,11610.0,8302.0,2024,0.1,0,0
pv,CHN,China,中国,pre2009_mean_lag2,2010,11323.0,11610.0,874.0,2008,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2011,11638.7,11610.0,1448.0,2009,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2012,12703.830000000002,11610.0,2229.0,2010,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2013,13923.447000000002,11610.0,2490.0,2011,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2014,14852.102300000002,11610.0,2321.0,2012,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2015,15486.892070000002,11610.0,2120.0,2013,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2016,16656.202863000002,11610.0,2718.0,2014,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2017,17891.582576700002,11610.0,2901.0,2015,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2018,20195.424319030004,11610.0,4093.0,2016,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2019,23507.881887127005,11610.0,5332.0,2017,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2020,27610.093698414305,11610.0,6453.0,2018,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2021,29635.084328572873,11610.0,4786.0,2019,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2022,33103.575895715585,11610.0,6432.0,2020,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2023,37492.21830614403,11610.0,7699.0,2021,0.1,2,0
pv,CHN,China,中国,pre2009_mean_lag2,2024,44100.99647552963,11610.0,10358.0,2022,0.1,2,0
pv,CHN,China,中国,pre2008_flow_lag0,2010,10611.6,9314.0,2229.0,2010,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2011,12040.44,9314.0,2490.0,2011,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2012,13157.396,9314.0,2321.0,2012,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2013,13961.656400000002,9314.0,2120.0,2013,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2014,15283.490760000002,9314.0,2718.0,2014,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2015,16656.141684000002,9314.0,2901.0,2015,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2016,19083.527515600003,9314.0,4093.0,2016,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2017,22507.174764040003,9314.0,5332.0,2017,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2018,26709.457287636003,9314.0,6453.0,2018,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2019,28824.511558872404,9314.0,4786.0,2019,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2020,32374.060402985164,9314.0,6432.0,2020,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2021,36835.65436268665,9314.0,7699.0,2021,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2022,43510.088926417986,9314.0,10358.0,2022,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2023,51178.08003377619,9314.0,12019.0,2023,0.1,0,0
pv,CHN,China,中国,pre2008_flow_lag0,2024,54362.27203039857,9314.0,8302.0,2024,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2010,1552.5,1515.0,189.0,2010,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2011,1581.25,1515.0,184.0,2011,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2012,1560.125,1515.0,137.0,2012,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2013,1510.1125,1515.0,106.0,2013,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2014,1425.10125,1515.0,66.0,2014,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2015,1326.591125,1515.0,44.0,2015,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2016,1233.9320125,1515.0,40.0,2016,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2017,1153.53881125,1515.0,43.0,2017,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2018,1075.184930125,1515.0,37.0,2018,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2019,1016.6664371124999,1515.0,49.0,2019,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2020,970.9997934012499,1515.0,56.0,2020,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2021,877.899814061125,1515.0,4.0,2021,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2022,791.1098326550125,1515.0,1.0,2022,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2023,742.9988493895113,1515.0,31.0,2023,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag0,2024,683.6989644505602,1515.0,15.0,2024,0.1,0,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2010,1492.5,1515.0,129.0,2008,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2011,1517.25,1515.0,174.0,2009,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2012,1554.525,1515.0,189.0,2010,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2013,1583.0725000000002,1515.0,184.0,2011,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2014,1561.7652500000002,1515.0,137.0,2012,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2015,1511.588725,1515.0,106.0,2013,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2016,1426.4298525000002,1515.0,66.0,2014,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2017,1327.7868672500001,1515.0,44.0,2015,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2018,1235.0081805250002,1515.0,40.0,2016,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2019,1154.5073624725003,1515.0,43.0,2017,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2020,1076.0566262252503,1515.0,37.0,2018,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2021,1017.4509636027253,1515.0,49.0,2019,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2022,971.7058672424528,1515.0,56.0,2020,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2023,878.5352805182075,1515.0,4.0,2021,0.1,2,0
pv,DEU,Germany,德国,pre2009_mean_lag2,2024,791.6817524663868,1515.0,1.0,2022,0.1,2,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2010,1390.5,1335.0,189.0,2010,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2011,1435.45,1335.0,184.0,2011,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2012,1428.905,1335.0,137.0,2012,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2013,1392.0145,1335.0,106.0,2013,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2014,1318.81305,1335.0,66.0,2014,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2015,1230.931745,1335.0,44.0,2015,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2016,1147.8385705,1335.0,40.0,2016,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2017,1076.05471345,1335.0,43.0,2017,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2018,1005.449242105,1335.0,37.0,2018,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2019,953.9043178945001,1335.0,49.0,2019,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2020,914.5138861050501,1335.0,56.0,2020,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2021,827.0624974945451,1335.0,4.0,2021,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2022,745.3562477450906,1335.0,1.0,2022,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2023,701.8206229705816,1335.0,31.0,2023,0.1,0,0
pv,DEU,Germany,德国,pre2008_flow_lag0,2024,646.6385606735234,1335.0,15.0,2024,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2010,202.5,205.0,18.0,2010,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2011,199.25,205.0,17.0,2011,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2012,194.32500000000002,205.0,15.0,2012,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2013,180.8925,205.0,6.0,2013,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2014,175.80325000000002,205.0,13.0,2014,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2015,173.22292500000003,205.0,15.0,2015,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2016,162.90063250000003,205.0,7.0,2016,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2017,163.61056925000003,205.0,17.0,2017,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2018,162.24951232500004,205.0,15.0,2018,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2019,160.02456109250005,205.0,14.0,2019,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2020,161.02210498325005,205.0,17.0,2020,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2021,147.91989448492504,205.0,3.0,2021,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2022,137.12790503643254,205.0,4.0,2022,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2023,128.4151145327893,205.0,5.0,2023,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag0,2024,115.57360307951036,205.0,0.0,2024,0.1,0,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2010,200.5,205.0,16.0,2008,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2011,205.45000000000002,205.0,25.0,2009,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2012,202.90500000000003,205.0,18.0,2010,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2013,199.61450000000002,205.0,17.0,2011,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2014,194.65305000000004,205.0,15.0,2012,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2015,181.18774500000004,205.0,6.0,2013,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2016,176.06897050000003,205.0,13.0,2014,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2017,173.46207345000005,205.0,15.0,2015,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2018,163.11586610500004,205.0,7.0,2016,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2019,163.80427949450004,205.0,17.0,2017,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2020,162.42385154505004,205.0,15.0,2018,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2021,160.18146639054504,205.0,14.0,2019,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2022,161.16331975149055,205.0,17.0,2020,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2023,148.0469877763415,205.0,3.0,2021,0.1,2,0
pv,ESP,Spain,西班牙,pre2009_mean_lag2,2024,137.24228899870735,205.0,4.0,2022,0.1,2,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2010,170.1,169.0,18.0,2010,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2011,170.09,169.0,17.0,2011,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2012,168.08100000000002,169.0,15.0,2012,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2013,157.27290000000002,169.0,6.0,2013,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2014,154.54561,169.0,13.0,2014,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2015,154.09104900000003,169.0,15.0,2015,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2016,145.68194410000004,169.0,7.0,2016,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2017,148.11374969000005,169.0,17.0,2017,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2018,148.30237472100004,169.0,15.0,2018,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2019,147.47213724890003,169.0,14.0,2019,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2020,149.72492352401002,169.0,17.0,2020,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2021,137.75243117160903,169.0,3.0,2021,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2022,127.97718805444813,169.0,4.0,2022,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2023,120.17946924900332,169.0,5.0,2023,0.1,0,0
pv,ESP,Spain,西班牙,pre2008_flow_lag0,2024,108.16152232410299,169.0,0.0,2024,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2010,587.5,555.0,88.0,2010,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2011,573.75,555.0,45.0,2011,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2012,545.375,555.0,29.0,2012,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2013,518.8375000000001,555.0,28.0,2013,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2014,496.95375000000007,555.0,30.0,2014,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2015,478.25837500000006,555.0,31.0,2015,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2016,459.4325375000001,555.0,29.0,2016,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2017,438.4892837500001,555.0,25.0,2017,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2018,433.64035537500007,555.0,39.0,2018,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2019,420.27631983750007,555.0,30.0,2019,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2020,408.2486878537501,555.0,30.0,2020,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2021,373.4238190683751,555.0,6.0,2021,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2022,336.0814371615376,555.0,0.0,2022,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2023,321.4732934453839,555.0,19.0,2023,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag0,2024,297.3259641008455,555.0,8.0,2024,0.1,0,0
pv,FRA,France,法国,pre2009_mean_lag2,2010,537.5,555.0,38.0,2008,0.1,2,0
pv,FRA,France,法国,pre2009_mean_lag2,2011,556.75,555.0,73.0,2009,0.1,2,0
pv,FRA,France,法国,pre2009_mean_lag2,2012,589.075,555.0,88.0,2010,0.1,2,0
pv,FRA,France,法国,pre2009_mean_lag2,2013,575.1675,555.0,45.0,2011,0.1,2,0
pv,FRA,France,法国,pre2009_mean_lag2,2014,546.65075,555.0,29.0,2012,0.1,2,0
