technology,iso3,window_end,model_id,first_year,last_year,N,df_resid,R2,adj_R2,a,b_capacity,g_knowledge,se_HAC_b,se_HAC_g,p_HAC_b,p_HAC_g,p_OLS_b,p_OLS_g,VIF_Q,VIF_H,covariance_HAC,learning_rate_pct
pv,AUS,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9681028771552354,0.9627866900144412,13.50709762423108,-0.6685136063318459,-0.4004019700356522,0.0515970388869366,0.449725606752389,2.04860439055993e-08,0.3907922091469802,1.0145768307028292e-08,0.4143222365871911,2.0935456422973187,2.0935456422973187,"[[5.34689446001817, -0.08476571527623544, -1.0345209602252758], [-0.08476571527626403, 0.002662254421900048, 0.01475983880297918], [-1.0345209602264838, 0.014759838802992364, 0.20225312136880447]]",37.084543515461036
pv,BRA,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9526338019462957,0.9447394356040114,13.1778970892824,-0.6466654419633047,-0.412884106090233,0.0759488917266495,0.2818649180021569,1.9752410313495807e-06,0.1686703934358271,6.441194376397686e-06,0.2045648479977258,3.1671457842159616,3.1671457842159616,"[[0.8513126943350469, 0.025645676125338537, -0.24135341818190714], [0.025645676125339197, 0.005768234154506338, -0.014641686968619979], [-0.2413534181818984, -0.014641686968619111, 0.07944783200036262]]",36.12450115973669
pv,CHN,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9748932939185724,0.9707088429050011,9.347270717439592,-0.6612396084764613,0.1756385070325379,0.1480390710733719,0.3001038100251946,0.0007701403349202,0.5692159038236047,0.0006454218937214,0.577120256118579,29.02848871810798,29.02848871810798,"[[4.715618242819453, 0.3050571278348002, -0.6490097123886773], [0.3050571278351977, 0.02191556656426688, -0.04324590479606011], [-0.6490097123896321, -0.04324590479606455, 0.09006229679163813]]",36.766525818988946
pv,DEU,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9679669188379108,0.9626280719775626,15.278088621785088,-0.6462076952799851,-0.6082582237774403,0.0778871754246575,0.3540158838290636,2.5847063089438336e-06,0.1114349266724668,1.1632778338022778e-05,0.1351663590885879,11.39698293945903,11.39698293945903,"[[8.401186330815403, -0.21800506430727729, -1.0250824026062078], [-0.21800506430726785, 0.006066412095631383, 0.02629059350669885], [-1.0250824026054366, 0.026290593506679314, 0.12532724600327308]]",36.104231153997915
pv,ESP,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9563847003431456,0.9491154837336698,22.2452309928916,-0.7700535291089963,-2.090768346318061,0.0607094208275003,0.5225664240032695,2.6008138912447245e-08,0.0017586498217942,5.837229075209877e-07,0.0139576464556551,5.2473041289578335,5.2473041289578335,"[[8.610100849495659, -0.16853500995662074, -1.531403457975502], [-0.16853500995635484, 0.0036856337772105336, 0.02948392873212493], [-1.5314034579790725, 0.02948392873223682, 0.2730756674955648]]",41.36042831510771
pv,FRA,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9271797363959604,0.9150430257952872,30.860277716524607,-0.9958106527655132,-2.9452217166185037,0.1503895881677409,0.8984772608734646,2.459658716340089e-05,0.0066043781197367,2.683574757869105e-05,0.0153282098445197,9.577012076099406,9.577012076099406,"[[37.897517745279146, -0.8770441867092615, -5.520702631151568], [-0.8770441867132828, 0.02261702822926273, 0.12513258690223017], [-5.5207026311398355, 0.1251325869013925, 0.8072613883066837]]",49.85459727827434
pv,IND,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9590281326841524,0.9521994881315112,10.981802351308096,-0.6183943758849972,-0.1083793172602738,0.0568758871901936,0.0639257695555195,1.439840445523194e-07,0.1157683420141105,2.3246846334433883e-08,0.193387344849559,1.5060617814356074,1.5060617814356074,"[[0.07064182120508343, -0.014787983625001078, 0.012030090945897833], [-0.014787983625001019, 0.0032348665436716328, -0.0028840715832438623], [0.012030090945897803, -0.0028840715832438675, 0.00408650401326539]]",34.86045154753455
pv,ITA,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9484812108294826,0.9398947459677296,17.14665070522984,-0.7958783980425237,-0.9656487825300069,0.0901611583056867,0.410313465589864,1.3541485560328831e-06,0.0364837515595561,1.1092332174746014e-05,0.0602313282668846,7.867935696667817,7.867935696667817,"[[6.986863006911665, -0.21323309542842062, -1.0784979790008966], [-0.21323309542799165, 0.008129034467023104, 0.031205756830948433], [-1.0784979789986702, 0.03120575683093748, 0.16835714004436453]]",42.40076315954882
pv,JPN,2024,M_PV_DOM_PSTK,2011,2024,14,11.0,0.9673239422821248,0.9613828408788748,20.93924869207712,-0.5446071231069392,-1.0967703245466902,0.0262964179918911,0.166212913490803,3.67410893463865e-10,3.871226903323218e-05,8.901372812084485e-08,0.0004502310796097,4.790268691853419,4.790268691853419,"[[2.5805092960424463, -0.0372989711706969, -0.2667524152015862], [-0.037298971170685036, 0.0006915015992042591, 0.0037684654980432667], [-0.266752415201584, 0.0037684654980441852, 0.027626732611101188]]",31.44219252717
pv,KOR,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9386025882246256,0.9283696862620632,45.57726607768674,-0.3314467317051131,-3.8973369557977264,0.0817977292679902,1.4260044688236415,0.0016044808297779,0.0181637345401312,0.0008297225118739,0.0182768774685411,3.8384196926229497,3.8384196926229497,"[[162.11830561435818, 0.8979252612583721, -18.153256860595093], [0.8979252612603794, 0.006690868513399423, -0.10168571134284488], [-18.153256860676663, -0.10168571134302584, 2.0334887451049966]]",20.526087877825063
