scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn,quantity_S0,consumer_price_S0,expenditure_2024USD_bn_S0,real_consumption_2024USD_bn_S0,quantity_gap,quantity_pct,consumer_price_gap,consumer_price_pct,expenditure_2024USD_bn_gap,expenditure_2024USD_bn_pct,real_consumption_2024USD_bn_gap,real_consumption_2024USD_bn_pct
S1_NO_CN,2030,Australia_Oceania,Rice,0.0048673596938253,1.7033016362413853,0.0106097596789797,0.0062289376414206,0.0048662628505547,1.7046095375877928,0.0106155138050954,0.0062275339711015,1.0968432705999592e-06,0.022539745679272777,-0.0013079013464074585,-0.0767273277291573,-5.7541261156996565e-06,-0.0542048761967386,1.4036703191002212e-06,0.022539745678046393
S2_CAPACITY,2030,Australia_Oceania,Rice,0.0048203583440655,1.6212026219007525,0.0100008557691884,0.0061687883006831,0.0048662628505547,1.7046095375877928,0.0106155138050954,0.0062275339711015,-4.5904506489199796e-05,-0.9433215569924915,-0.08340691568704028,-4.893021765270075,-0.0006146580359070002,-5.79018639316325,-5.8745670418400286e-05,-0.9433215569919983
S1_NO_CN,2030,Australia_Oceania,Crops nec,5.890665535965587,1.6676295802868342,12.57142464745024,7.538499617283339,5.889236858080854,1.6689702520012957,12.57847987007358,7.536671286066514,0.0014286778847329984,0.024259134403342146,-0.0013406717144615055,-0.0803292756628753,-0.007055222623339574,-0.05608962844648019,0.0018283312168252408,0.02425913440334573
S2_CAPACITY,2030,Australia_Oceania,Crops nec,5.82815857758304,1.591803543375826,11.872477872214578,7.45850718196896,5.889236858080854,1.6689702520012957,12.57847987007358,7.536671286066514,-0.06107828049781361,-1.037117065753701,-0.0771667086254697,-4.623611986668879,-0.7060019978590013,-5.612776783454609,-0.07816410409755381,-1.0371170657536886
S1_NO_CN,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",0.1643990841564756,1.6319748994431098,0.3433471212202624,0.2103875002087215,0.1643132015493475,1.6328604532028956,0.3433539677006043,0.2102775931060281,8.588260712810714e-05,0.05226762446248993,-0.0008855537597858287,-0.05423327866437046,-6.846480341882177e-06,-0.0019940006482907836,0.00010990710269340176,0.0522676244624806
S2_CAPACITY,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",0.1596884120725661,1.557841350299041,0.3183590289782991,0.2043590814427543,0.1643132015493475,1.6328604532028956,0.3433539677006043,0.2102775931060281,-0.00462478947678141,-2.814618322309584,-0.07501910290385472,-4.594336445389618,-0.024994938722305182,-7.2796417323186775,-0.005918511663273784,-2.8146183223095473
S1_NO_CN,2030,Australia_Oceania,Animal products nec,2.123983299885676,1.6770638284353128,4.558492362733711,2.718138879874272,2.12245344480049,1.6786529658468308,4.5595253730996665,2.7161810685356222,0.0015298550851858828,0.07207955910334178,-0.0015891374115180046,-0.09466741749783475,-0.001033010365955711,-0.022656094251613905,0.0019578113386495843,0.07207955910336646
S2_CAPACITY,2030,Australia_Oceania,Animal products nec,2.0623714673950886,1.6029732481368644,4.230714392826878,2.639291971161768,2.12245344480049,1.6786529658468308,4.5595253730996665,2.7161810685356222,-0.06008197740540133,-2.8307795185137277,-0.0756797177099664,-4.5083599320237235,-0.328810980272789,-7.211517720960854,-0.0768890973738543,-2.8307795185137494
S1_NO_CN,2030,Australia_Oceania,Forestry,0.1342003050823386,1.7929040764385666,0.3079151798130725,0.1717410229252076,0.1341363027070103,1.794460834243307,0.3080355615712135,0.1716591167521794,6.400237532830366e-05,0.047714432287657454,-0.0015567578047404051,-0.08675351253329877,-0.00012038175814099716,-0.03908047419166783,8.190617302819558e-05,0.0477144322875911
S2_CAPACITY,2030,Australia_Oceania,Forestry,0.131518371263264,1.7119287326371968,0.2881327636137647,0.1683088544422598,0.1341363027070103,1.794460834243307,0.3080355615712135,0.1716591167521794,-0.0026179314437463075,-1.951694948282996,-0.08253210160611024,-4.599270155757543,-0.01990279795744876,-6.461201380752758,-0.0033502623099196105,-1.951694948283063
