year,scenario,sector,real_output,real_output_S0,real_output_gap,real_output_pct
2017,S1_NO_CN,Animal products nec,1961.2640116736482,1961.490828494107,-0.2268168204589074,-0.011563491256955874
2017,S2_CAPACITY,Animal products nec,1936.1097075905127,1961.490828494107,-25.381120903594365,-1.2939709192053772
2017,S1_NO_CN,"Bovine cattle, sheep and goats, horses",553.9777008642203,554.0413776048396,-0.06367674061925754,-0.011493138092778674
2017,S2_CAPACITY,"Bovine cattle, sheep and goats, horses",547.5724840066418,554.0413776048396,-6.468893598197724,-1.167583119182039
2017,S1_NO_CN,Coal,578.989012638795,577.9949691855188,0.9940434532761628,0.17198133310345562
2017,S2_CAPACITY,Coal,374.0694264151511,577.9949691855188,-203.9255427703677,-35.28154285801644
2017,S1_NO_CN,Crops nec,3364.330243863858,3364.624833477453,-0.2945896135952353,-0.008755496620726269
2017,S2_CAPACITY,Crops nec,3327.0875314899936,3364.624833477453,-37.537301987459614,-1.1156459886394985
2017,S1_NO_CN,Forestry,490.86892126710774,490.92306250645964,-0.054141239351906734,-0.0110284571019098
2017,S2_CAPACITY,Forestry,485.9780952508524,490.92306250645964,-4.944967255607253,-1.0072794768207056
2017,S1_NO_CN,Gas,922.6024167794525,920.8735151865765,1.7289015928760136,0.18774582658354813
2017,S2_CAPACITY,Gas,701.2419624807195,920.8735151865765,-219.63155270585696,-23.850349595661662
2017,S1_NO_CN,Manufac,58990.43769743247,58999.921837577785,-9.484140145315905,-0.01607483510134981
2017,S2_CAPACITY,Manufac,58098.15046844151,58999.921837577785,-901.7713691362733,-1.5284280742248777
2017,S1_NO_CN,Mine,1685.2348872094217,1685.3759131880938,-0.14102597867213262,-0.00836762751672206
2017,S2_CAPACITY,Mine,1654.4816201724645,1685.3759131880938,-30.894293015629273,-1.8330802507547979
2017,S1_NO_CN,Oil,1827.946166676554,1826.9608529116288,0.9853137649251948,0.053931848805347946
2017,S2_CAPACITY,Oil,1712.4576838837736,1826.9608529116288,-114.50316902785517,-6.267412289944329
2017,S1_NO_CN,OthServ,115831.61271489794,115845.8058203776,-14.193105479658698,-0.012251721483698368
2017,S2_CAPACITY,OthServ,115863.60370082388,115845.8058203776,17.797880446276395,0.015363422370139617
2017,S1_NO_CN,Petro,3227.3756257179493,3226.5515029338576,0.8241227840917418,0.02554190699706416
2017,S2_CAPACITY,Petro,2847.5692176213875,3226.5515029338576,-378.98228531247014,-11.745737979631409
2017,S1_NO_CN,Power,3727.5689218382536,3742.9918239436784,-15.422902105424782,-0.41204744308457925
2017,S2_CAPACITY,Power,3325.7630832192517,3742.9918239436784,-417.22874072442664,-11.146931661871157
2017,S1_NO_CN,Rice,480.26414940659845,480.3151126816773,-0.050963275078856896,-0.010610383419818013
2017,S2_CAPACITY,Rice,471.47661296598085,480.3151126816773,-8.838499715696457,-1.8401460795913078
2017,S1_NO_CN,Transport,8251.76791327677,8253.69326358301,-1.9253503062409436,-0.023327136649673966
2017,S2_CAPACITY,Transport,8027.55292627877,8253.69326358301,-226.14033730424035,-2.7398684453421347
2017,S1_NO_CN,WatWaste,1260.7538868074255,1261.1630907985632,-0.40920399113770145,-0.03244655620857055
2017,S2_CAPACITY,WatWaste,1248.8498324590441,1261.1630907985632,-12.313258339519052,-0.9763414763210639
2020,S1_NO_CN,Animal products nec,2153.954115863955,2154.3866347420353,-0.4325188780803728,-0.020076195753607723
2020,S2_CAPACITY,Animal products nec,2130.2557357502023,2154.3866347420353,-24.130898991832964,-1.1200820968109273
2020,S1_NO_CN,"Bovine cattle, sheep and goats, horses",603.7893150691602,603.9107596932768,-0.12144462411652057,-0.020109697031760403
2020,S2_CAPACITY,"Bovine cattle, sheep and goats, horses",597.1316250924943,603.9107596932768,-6.779134600782413,-1.1225391321435474
2020,S1_NO_CN,Coal,603.70554287679,602.1507280594079,1.5548148173820664,0.25821023622986783
2020,S2_CAPACITY,Coal,413.7993939034995,602.1507280594079,-188.35133415590843,-31.27976524464582
2020,S1_NO_CN,Crops nec,3653.053644019486,3653.632355269595,-0.5787112501088814,-0.015839339972841336
2020,S2_CAPACITY,Crops nec,3613.5220259639855,3653.632355269595,-40.11032930560941,-1.0978206180969114
2020,S1_NO_CN,Forestry,545.9214296247528,546.0322064151466,-0.11077679039374289,-0.02028759276325903
2020,S2_CAPACITY,Forestry,540.492203846059,546.0322064151466,-5.540002569087505,-1.0145926383095907
2020,S1_NO_CN,Gas,943.9820078557888,940.9576700829996,3.024337772789181,0.32141060846259023
2020,S2_CAPACITY,Gas,729.0439443384853,940.9576700829996,-211.9137257445143,-22.521068957950245
2020,S1_NO_CN,Manufac,65378.36690333842,65398.09718348709,-19.73028014866577,-0.03016950186380596
2020,S2_CAPACITY,Manufac,64415.12827643943,65398.09718348709,-982.9689070476597,-1.5030542926803347
2020,S1_NO_CN,Mine,1876.9811037939596,1877.2808428072262,-0.2997390132666169,-0.015966658074366577
2020,S2_CAPACITY,Mine,1843.521087672969,1877.2808428072262,-33.75975513425715,-1.7983326929269614
