year,scenario,region,CO2_Mt,CO2_Gt
2025,S0_BASELINE,Australia_Oceania,412.71154542640033,0.4127115454264003
2025,S0_BASELINE,China,11597.26091488335,11.597260914883352
2025,S0_BASELINE,Japan,1305.0230210779532,1.3050230210779532
2025,S0_BASELINE,South Korea,602.128046205439,0.602128046205439
2025,S0_BASELINE,Rest of World,56.9451761665302,0.056945176166530206
2025,S0_BASELINE,Southeast Asia,1931.600261840451,1.9316002618404509
2025,S0_BASELINE,"Central, Western and South Asia",3788.542761794456,3.788542761794456
2025,S0_BASELINE,India,2897.8497622897803,2.89784976228978
2025,S0_BASELINE,Canada,717.3070107327441,0.717307010732744
2025,S0_BASELINE,United States,5449.308591038407,5.449308591038407
2025,S0_BASELINE,Rest of America,1547.0639744437622,1.5470639744437622
2025,S0_BASELINE,Brazil,634.7025491760993,0.6347025491760993
2025,S0_BASELINE,"EU, UK and EFTA",3131.188938390765,3.131188938390765
2025,S0_BASELINE,Eastern Europe,428.77019346166975,0.4287701934616697
2025,S0_BASELINE,Russia,2054.788913184977,2.054788913184977
2025,S0_BASELINE,North Africa,693.3058252965412,0.6933058252965413
2025,S0_BASELINE,Sub Saharan,469.0902236390054,0.4690902236390054
2025,S0_BASELINE,South Africa,451.25795347855694,0.45125795347855696
2030,S0_BASELINE,Australia_Oceania,443.1828436417616,0.44318284364176164
2030,S0_BASELINE,China,12254.284103503089,12.254284103503089
2030,S0_BASELINE,Japan,1385.1744482753377,1.3851744482753376
2030,S0_BASELINE,South Korea,653.9789874537844,0.6539789874537844
2030,S0_BASELINE,Rest of World,63.375296811457964,0.06337529681145797
2030,S0_BASELINE,Southeast Asia,2155.8339622167714,2.1558339622167715
2030,S0_BASELINE,"Central, Western and South Asia",4263.03065341208,4.26303065341208
2030,S0_BASELINE,India,3445.268707300796,3.445268707300796
2030,S0_BASELINE,Canada,784.3316029168168,0.7843316029168168
2030,S0_BASELINE,United States,5901.352640798317,5.901352640798317
2030,S0_BASELINE,Rest of America,1681.5126037971402,1.6815126037971402
2030,S0_BASELINE,Brazil,730.6986110190901,0.7306986110190901
2030,S0_BASELINE,"EU, UK and EFTA",2533.9684530822,2.5339684530822
2030,S0_BASELINE,Eastern Europe,475.2319950981549,0.47523199509815495
2030,S0_BASELINE,Russia,2189.5380462371527,2.1895380462371525
2030,S0_BASELINE,North Africa,830.7948283886511,0.8307948283886512
2030,S0_BASELINE,Sub Saharan,528.789276431107,0.5287892764311071
2030,S0_BASELINE,South Africa,465.8778844444429,0.4658778844444429
2035,S0_BASELINE,Australia_Oceania,469.0263669479533,0.4690263669479533
2035,S0_BASELINE,China,11732.774480364022,11.732774480364021
2035,S0_BASELINE,Japan,1508.5422153886316,1.5085422153886316
2035,S0_BASELINE,South Korea,689.9115539510188,0.6899115539510189
2035,S0_BASELINE,Rest of World,72.97544640494942,0.07297544640494942
2035,S0_BASELINE,Southeast Asia,2337.190912472933,2.3371909124729333
2035,S0_BASELINE,"Central, Western and South Asia",4799.183792461185,4.799183792461185
2035,S0_BASELINE,India,3809.090363582617,3.809090363582617
2035,S0_BASELINE,Canada,839.7048768801608,0.8397048768801608
2035,S0_BASELINE,United States,6245.496837302021,6.245496837302021
2035,S0_BASELINE,Rest of America,1915.9682462799287,1.9159682462799288
2035,S0_BASELINE,Brazil,869.229831455028,0.8692298314550281
2035,S0_BASELINE,"EU, UK and EFTA",2684.937080693964,2.684937080693964
2035,S0_BASELINE,Eastern Europe,537.2017761529695,0.5372017761529695
2035,S0_BASELINE,Russia,2351.008910792698,2.351008910792698
2035,S0_BASELINE,North Africa,952.1058326434896,0.9521058326434896
2035,S0_BASELINE,Sub Saharan,675.0923934134964,0.6750923934134965
2035,S0_BASELINE,South Africa,523.2105051102058,0.5232105051102057
2040,S0_BASELINE,Australia_Oceania,546.9028755944737,0.5469028755944737
2040,S0_BASELINE,China,11967.13461217138,11.96713461217138
2040,S0_BASELINE,Japan,1664.3521245001286,1.6643521245001287
2040,S0_BASELINE,South Korea,766.4161492985402,0.7664161492985402
2040,S0_BASELINE,Rest of World,80.84733082064015,0.08084733082064015
2040,S0_BASELINE,Southeast Asia,2517.43463895721,2.51743463895721
2040,S0_BASELINE,"Central, Western and South Asia",5360.987737054367,5.3609877370543675
2040,S0_BASELINE,India,3921.187046769352,3.921187046769352
2040,S0_BASELINE,Canada,932.6637881553356,0.9326637881553356
2040,S0_BASELINE,United States,6826.133956443508,6.826133956443508
2040,S0_BASELINE,Rest of America,2193.824050653389,2.193824050653389
2040,S0_BASELINE,Brazil,1032.1350632959077,1.0321350632959077
2040,S0_BASELINE,"EU, UK and EFTA",3053.13417024038,3.05313417024038
2040,S0_BASELINE,Eastern Europe,603.1541327360161,0.6031541327360161
2040,S0_BASELINE,Russia,2502.3207731879656,2.5023207731879658
2040,S0_BASELINE,North Africa,1064.594107718886,1.064594107718886
2040,S0_BASELINE,Sub Saharan,854.8492283756207,0.8548492283756207
2040,S0_BASELINE,South Africa,588.6595770403122,0.5886595770403122
2045,S0_BASELINE,Australia_Oceania,637.11263576706,0.63711263576706
2045,S0_BASELINE,China,11858.151288141114,11.858151288141114
2045,S0_BASELINE,Japan,1885.5741868367209,1.8855741868367208
2045,S0_BASELINE,South Korea,861.3688164849235,0.8613688164849235
2045,S0_BASELINE,Rest of World,89.72515112678764,0.08972515112678764
2045,S0_BASELINE,Southeast Asia,2620.9516627536914,2.6209516627536913
2045,S0_BASELINE,"Central, Western and South Asia",5934.86335341328,5.93486335341328
2045,S0_BASELINE,India,3714.073983941951,3.714073983941951
2045,S0_BASELINE,Canada,1036.2150999938665,1.0362150999938664
2045,S0_BASELINE,United States,7497.1821826328,7.4971821826328
2045,S0_BASELINE,Rest of America,2516.593274403279,2.516593274403279
2045,S0_BASELINE,Brazil,1238.6829740689532,1.2386829740689531
2045,S0_BASELINE,"EU, UK and EFTA",3479.6032779416,3.4796032779416
2045,S0_BASELINE,Eastern Europe,682.8203936562813,0.6828203936562813
2045,S0_BASELINE,Russia,2659.075281907452,2.6590752819074517
2045,S0_BASELINE,North Africa,1156.5156545511122,1.1565156545511122
2045,S0_BASELINE,Sub Saharan,1069.0005487978226,1.0690005487978227
2045,S0_BASELINE,South Africa,666.3383898958631,0.6663383898958631
2050,S0_BASELINE,Australia_Oceania,740.5998660396593,0.7405998660396593
2050,S0_BASELINE,China,11426.04546969734,11.426045469697339
2050,S0_BASELINE,Japan,2193.236130792136,2.193236130792136
2050,S0_BASELINE,South Korea,978.9634197918284,0.9789634197918284
