scenario,year,region,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe
S0_BASELINE,2017,Australia_Oceania,Coal,0.0176201935663986,1.9964950462581643,3.8561011877169697,35.84382750712207,2.014115239824563
S0_BASELINE,2017,Australia_Oceania,Oil,3.1687130686091e-05,0.0327023829533533,26.906678088342908,0.0219830496511233,0.0327340700840394
S0_BASELINE,2017,Australia_Oceania,Gas,3.844555947035276,11.13536723618834,7.7256169377379,14.731434173200562,14.979923183223615
S0_BASELINE,2017,Australia_Oceania,Oil_pct,12.654054093210402,45.96847842214106,7.360178649244163,3.436227941919292,58.622532515351466
S0_BASELINE,2017,Australia_Oceania,Electricity,6.728425862355493,16.271054121982985,1.5109843637080185,1.4288944081786936,22.99947998433848
S0_BASELINE,2017,China,Coal,43.02070443568572,429.6993813608897,449.7244823551401,1100.0841600181336,472.7200857965754
S0_BASELINE,2017,China,Oil,0.0006583464253703,1.2214070590206696,627.2860590137828,0.2415210512462268,1.22206540544604
S0_BASELINE,2017,China,Gas,72.01580285057125,109.09532664451446,16.561896588826308,38.77009580345079,181.1111294950857
S0_BASELINE,2017,China,Oil_pct,147.950325921971,632.5326472311103,248.0421795017572,63.59895356057815,780.4829731530813
S0_BASELINE,2017,China,Electricity,109.53580716495912,516.384343786968,32.601823576445526,44.73598779085588,625.9201509519271
S0_BASELINE,2017,Japan,Coal,0.0236715532191749,7.192444847661818,42.36197222334615,60.6297939338109,7.216116400880993
S0_BASELINE,2017,Japan,Oil,0.0003242177826753,0.0372312965944027,149.641917045449,1.5567718352241604,0.037555514377078
S0_BASELINE,2017,Japan,Gas,9.12181226813665,20.541884474986368,3.607798749448643,72.14397425640823,29.66369674312302
S0_BASELINE,2017,Japan,Oil_pct,39.713487982588376,130.4340779632981,38.31584425651358,19.34049997878013,170.14756594588647
S0_BASELINE,2017,Japan,Electricity,24.164479189897445,60.91245550407212,1.109667278600757,3.007196530033782,85.07693469396956
S0_BASELINE,2017,South Korea,Coal,0.5551462048494061,2.379415698773295,24.885941604236827,41.52457287062134,2.934561903622701
S0_BASELINE,2017,South Korea,Oil,3.0153667744532517e-05,0.0360063145635534,147.03531056766138,0.0001674925610135,0.0360364682312979
S0_BASELINE,2017,South Korea,Gas,9.554711570804455,11.700033289363574,0.2584321123307449,21.7545684006012,21.25474486016803
S0_BASELINE,2017,South Korea,Oil_pct,12.626127786320566,94.40653962485706,39.98787699431576,6.441512609197504,107.03266741117764
S0_BASELINE,2017,South Korea,Electricity,7.52946254721053,39.6281555872892,1.075891592223254,1.829548860423158,47.15761813449973
S0_BASELINE,2017,Rest of World,Coal,0.4350712699486298,3.857798847180518,0.03673794589346,3.602886977876891,4.292870117129148
S0_BASELINE,2017,Rest of World,Oil,1.4833217385335071e-05,0.0014973869633129,0.5246965137020568,6.506728867970048e-05,0.0015122201806983
S0_BASELINE,2017,Rest of World,Gas,0.014905155393982,0.0428958279080963,0.0123613117374353,0.1251133795145601,0.0578009833020784
S0_BASELINE,2017,Rest of World,Oil_pct,0.5409966891713769,2.8101748017400787,0.1302103099650266,0.5932395212211619,3.3511714909114554
S0_BASELINE,2017,Rest of World,Electricity,0.720806300875226,2.541429750514392,0.0011400395507227,0.2592897654591523,3.262236051389618
S0_BASELINE,2017,Southeast Asia,Coal,1.8719969906468807,38.68353572289866,0.0555117789172215,98.25570042792512,40.555532713545546
S0_BASELINE,2017,Southeast Asia,Oil,0.0001343240912426,1.870145036666229,201.25792696289272,0.0182240780884122,1.870279360757472
S0_BASELINE,2017,Southeast Asia,Gas,0.4850095141852733,45.35139693983289,29.903852653056603,69.46067186178597,45.83640645401816
S0_BASELINE,2017,Southeast Asia,Oil_pct,54.94267833886997,182.3183173286104,29.87696174419988,10.408754056017422,237.26099566748036
S0_BASELINE,2017,Southeast Asia,Electricity,25.67091760409281,57.62231703364527,0.0414080354950878,3.1349583567534878,83.29323463773808
S0_BASELINE,2017,"Central, Western and South Asia",Coal,8.19022479291279,30.73316192179116,9.873408858577497,55.05093040307828,38.92338671470395
S0_BASELINE,2017,"Central, Western and South Asia",Oil,0.0151741859269419,1.679445184675793,440.4555675830328,30.53108344135037,1.6946193706027348
