technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution,observed_completed,observation_imputed,completion_method,region,country_name,cost_actual,cost_cf,capacity_weight_MW,tfp_start_year,alpha,annual_cost_reduction_actual,tfp_growth_factor_actual,tfp_growth_rate_actual,tfp_raw_actual,annual_cost_reduction_cf,tfp_growth_factor_cf,tfp_growth_rate_cf,tfp_raw_cf,tfp_actual,tfp_cf,tfp_multiplier,target,target_name,excluded_target_receiver,TIC,X,B,Q_global,Q_cf,p_beta_B,B_fitted,B_cf,B_deployment_gap,B_cf_fitted,B_fitted_gap,X_cf,equipment_gap_inclusive,equipment_gap_target_origin,equipment_gap_other_origins,TIC_cf,total_deployment_gap,deployment_gap_pct_of_TIC,balance_gap_pct_of_TIC,cf_Q_below_balance_fit_range,annual_cost_interpolated,B_cf_fixed,TIC_cf_equipment_only,scenario_scope
pv,AUS,2010,0.0437210408679616,8226.006707647639,2666.087536470219,6575.302935539268,5559.91917117742,9241.390472009489,39.73239,0.9854023379917494,-0.6311445523247294,51.842608557774575,observed_residual_preserved,False,0.0,0.0,0.0,0.0,0.0,0.0,9241.390472009489,8226.006707647639,False,reported,Australia_Oceania,Australia,9241.390472009489,9241.390472009489,1088.0,2010,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2248253439410579,0.2248253439410579,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2011,0.0437210408679616,8070.627916404932,1951.7830260493904,4588.100431885518,6118.844890355542,6539.8834579349095,70.26885,0.962344623542295,-0.6311445523247294,150.0390540431568,observed_residual_preserved,False,344.36265788570546,14.740980429272447,0.0,2.030066814685904,98.1964454853822,459.330150615046,6999.213608549955,8070.627916404932,False,reported,Australia_Oceania,Australia,6539.8834579349095,6999.213608549955,1418.0,2010,1.0,0.2923268984528853,1.413081828055638,0.4130818280556378,1.413081828055638,0.2426233227835881,1.320346968796692,0.320346968796692,1.320346968796692,0.3176966080094677,0.2968474613812495,0.9343740345266864,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2012,0.0437210408679616,5845.8413892502,1192.4342491942662,3688.110954154833,4653.407140055934,4880.545203349099,99.31435,0.9374108575447556,-0.6311445523247294,193.75215516959943,observed_residual_preserved,False,828.9382913565837,42.11685117615549,0.0,2.8734090960825363,141.90954661182488,1015.8380982406468,5896.383301589746,5845.8413892502,False,reported,Australia_Oceania,Australia,4880.545203349099,5896.383301589746,2508.0,2010,1.0,0.2537259670235434,1.3399903464570206,0.3399903464570206,1.8935160083483944,0.1575648878058295,1.1870350434414385,0.1870350434414383,1.5672981214633526,0.4257103878348269,0.3523683392161723,0.8277184425973865,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2013,0.0437210408679616,3431.1490001785755,860.2898660049309,3046.368948670667,2570.8591341736446,3906.658814675598,134.44763,0.8723220334936361,-0.6311445523247294,231.474044534804,observed_residual_preserved,False,1057.6484863654168,76.50996728001226,0.0,5.9679452460522,179.63143597702938,1319.7578348685108,5226.416649544109,3431.1490001785755,False,reported,Australia_Oceania,Australia,3906.658814675598,5226.416649544109,3309.0,2010,1.0,0.199544589404726,1.2492888257902222,0.2492888257902221,2.365548390684554,0.1136233209033418,1.1281885270482743,0.1281885270482745,1.7682077590992675,0.531835230544871,0.3975379175987402,0.7474832330898016,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2014,0.0437210408679616,3581.3283583559555,857.4327133734384,2601.525984466303,2723.8956449825173,3458.958697839741,172.65223999999998,0.8391796133082317,-0.6311445523247294,318.7334562719923,observed_residual_preserved,False,1005.1977987602082,9.527140440445324,0.0,6.95851770054727,266.8908477142177,1288.574304615419,4747.53300245516,3581.3283583559555,False,reported,Australia_Oceania,Australia,3458.958697839741,4747.53300245516,4134.0,2010,1.0,0.1145992363484736,1.1294320504941169,0.1294320504941166,2.6717261694339136,0.0916275297589832,1.1008699985532058,0.1008699985532057,1.946566873201378,0.6006717549593049,0.4376375667717695,0.7285802323124368,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2015,0.0437210408679616,2663.0217981108967,724.9704361883232,2233.4270165617786,1938.0513619225733,2958.397452750102,219.86211,0.8048958958867447,-0.6311445523247294,284.5273439630091,observed_residual_preserved,False,1095.0976970141542,29.218325908454755,0.0,7.362873875004547,232.68473540523453,1364.363632202848,4322.76108495295,2663.0217981108967,False,reported,Australia_Oceania,Australia,2958.397452750102,4322.76108495295,5033.0,2010,1.0,0.144714432526257,1.1692001338847562,0.1692001338847562,3.1237825950055385,0.0894721357982223,1.0982640282806269,0.0982640282806268,2.1378443754797694,0.7023054963192107,0.4806415970096954,0.684376812553429,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2016,0.0437210408679616,2292.9292994915004,567.7810367104781,1870.0115835712204,1725.1482627810224,2437.7926202816984,291.30835,0.735208414039625,-0.6311445523247294,369.64288569790506,observed_residual_preserved,False,1220.5235538312345,61.736176879239366,0.0,9.91471957991503,317.8002771401305,1609.9747274305194,4047.767347712218,2292.9292994915004,False,reported,Australia_Oceania,Australia,2437.7926202816984,4047.767347712218,5878.0,2010,1.0,0.1759752841811209,1.2135558324925295,0.2135558324925297,3.790884587607621,0.0636152986104077,1.0679371400622018,0.0679371400622017,2.2830834082479288,0.852286931249739,0.5132950125054634,0.6022561108062521,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2017,0.0437210408679616,2346.42868245442,507.80294671927766,1569.8958446438712,1838.6257357351424,2077.6987913631488,384.35013,0.6614012072794148,-0.6311445523247294,548.1185006968178,observed_residual_preserved,False,1203.6404970581923,16.906270637101073,0.0,11.831578063579684,496.27589213904326,1728.654237897916,3806.353029261065,2346.42868245442,False,reported,Australia_Oceania,Australia,2077.6987913631488,3806.353029261065,7238.23,2010,1.0,0.1477130687502611,1.1733137788862538,0.1733137788862537,4.447897120807555,0.0596413523093415,1.0634240483200843,0.0634240483200843,2.427885800651428,1.0,0.5458502601810682,0.5458502601810682,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2018,0.0437210408679616,1809.828003777512,438.8934913020056,1367.1582874292396,1370.9345124755066,1806.051778731245,478.49221,0.6356344860870359,-0.6311445523247294,453.8906236258511,observed_residual_preserved,False,1300.2499785391678,64.06738772801113,0.0,11.487025159315555,402.04801506807655,1777.8524064945714,3583.9041852258165,1809.828003777512,False,reported,Australia_Oceania,Australia,1806.051778731245,3583.9041852258165,11124.77,2010,1.0,0.1307441741609138,1.1504093159625448,0.1504093159625448,5.116902284219992,0.0584414641325145,1.0620688591375476,0.0620688591375475,2.578581902414113,1.1504093159625448,0.5797305630904406,0.5039341693833393,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,AUS,2019,0.0437210408679616,1489.0921446638883,336.0370827124785,1210.6961061267905,1153.05506195141,1546.733188839269,580.10487,0.6485187238645316,-0.6311445523247294,362.4385984397887,observed_residual_preserved,False,1407.82660225056,91.8994924042321,0.0,9.077665583563062,310.5959898820141,1819.3997501203687,3366.1329389596385,1489.0921446638883,False,reported,Australia_Oceania,Australia,1546.733188839269,3366.1329389596385,15449.69,2010,1.0,0.143583142491157,1.1676556705210284,0.1676556705210283,5.974779967671476,0.0607636909390356,1.064694784851095,0.064694784851095,2.7454027038117217,1.3432819612038829,0.6172361071411808,0.4594985453299756,,,,,,,,,,,,,,,,,,,,,,,,,,,
