scenario,year,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe,group,final_energy_share_pct
S0_BASELINE,2017,Coal,75.11067051288468,663.1334568590398,733.1478781472493,2293.264629712265,738.2441273719245,GLOBAL,8.31747136185431
S0_BASELINE,2017,Electricity,655.451758824042,1654.8829662676546,94.75512045405097,130.0403357727458,2310.3347250916963,GLOBAL,26.02952356784101
S0_BASELINE,2017,Gas,510.74328902826477,1099.8963279484406,689.9972871636253,1240.3601955891609,1610.6396169767054,GLOBAL,18.14636702382146
S0_BASELINE,2017,Oil,0.12907186386268432,7.223965545481278,3963.4390590729163,44.216092877339406,7.353037409343964,GLOBAL,0.08284343323201311
S0_BASELINE,2017,Oil_pct,1014.9424857854189,3194.3101040689767,830.2779927819935,295.6990044538877,4209.252589854395,GLOBAL,47.42379461325121
S0_BASELINE,2020,Coal,76.96498895753933,639.4462791410492,781.8148492858973,2446.786346903812,716.4112680985885,GLOBAL,7.52395677926038
S0_BASELINE,2020,Electricity,724.7444441654326,1791.8653212962058,104.13051899315309,142.6247261256321,2516.6097654616383,GLOBAL,26.430158135078717
S0_BASELINE,2020,Gas,551.0766884541108,1098.3994604773943,719.2674286058923,1279.367405065509,1649.476148931505,GLOBAL,17.323271988616497
S0_BASELINE,2020,Oil,0.1378370409495152,7.023916820994694,4076.035517820542,46.80288285694605,7.16175386194421,GLOBAL,0.07521479479794284
S0_BASELINE,2020,Oil_pct,1127.468841357059,3504.6077813419197,949.841718911214,317.1920140810119,4632.076622698979,GLOBAL,48.64739830224646
S0_BASELINE,2025,Coal,77.28234842399591,514.284316732385,841.0511708821751,2752.9265225353292,591.566665156381,GLOBAL,6.136992355491679
S0_BASELINE,2025,Electricity,698.0887386956439,1428.4186665155046,81.21841626198574,146.27342099934438,2126.5074052111486,GLOBAL,22.06067457541306
S0_BASELINE,2025,Gas,549.0725108048325,1054.809617693544,739.1803842784634,1597.9081697325207,1603.8821284983765,GLOBAL,16.638889480194514
S0_BASELINE,2025,Oil,0.1429214334047767,7.453482650601188,4276.864712964144,61.47551019539865,7.596404084005966,GLOBAL,0.07880612032195324
S0_BASELINE,2025,Oil_pct,1241.2346711037787,4068.570751657688,1179.159844538467,380.6264509943275,5309.8054227614675,GLOBAL,55.08463746857879
S0_BASELINE,2030,Coal,79.61880224057019,523.1086201416002,940.0482397808772,2720.9645907141216,602.7274223821704,GLOBAL,5.708140164285285
S0_BASELINE,2030,Electricity,748.1554483963537,1375.0733197521527,77.68652419892646,153.47969026131875,2123.2287681485063,GLOBAL,20.108073665428396
S0_BASELINE,2030,Gas,591.9447100715125,1086.3145894069537,792.4679103112195,1601.4346441309356,1678.2592994784663,GLOBAL,15.893982848127507
S0_BASELINE,2030,Oil,0.15541060094201697,7.257741372961554,4410.186686253834,66.28362842368904,7.413151973903572,GLOBAL,0.07020638012278611
S0_BASELINE,2030,Oil_pct,1438.1388188809829,4709.318424120329,1442.7391525921707,403.2947354060805,6147.457243001311,GLOBAL,58.21959694203603
S0_BASELINE,2035,Coal,80.5871707040074,428.4880742531614,1041.2193461323575,2668.2120765281375,509.0752449571688,GLOBAL,4.449719578001301
S0_BASELINE,2035,Electricity,826.5625876231995,1428.984485605686,77.09871927445083,159.7052941250861,2255.5470732288854,GLOBAL,19.715262272661743
S0_BASELINE,2035,Gas,623.4726807579095,1047.577139672945,818.4498312860402,1701.0721668204276,1671.0498204308544,GLOBAL,14.606294797171559
S0_BASELINE,2035,Oil,0.1712602482999138,6.962171205470491,4509.67617298028,76.06345950756084,7.133431453770405,GLOBAL,0.06235182306074038
S0_BASELINE,2035,Oil_pct,1666.696755104518,5331.111763720541,1694.9885560858597,460.48327207625226,6997.808518825059,GLOBAL,61.16637152910466
S0_BASELINE,2040,Coal,82.85644506714218,391.6595760860843,1084.3951608017926,2706.576613985443,474.5160211532265,GLOBAL,3.773682406787314
S0_BASELINE,2040,Electricity,921.1065676999239,1456.044229275701,80.5358015987997,165.84380581256914,2377.150796975625,GLOBAL,18.904761358796456
S0_BASELINE,2040,Gas,680.2952568907607,1043.3625829278494,849.2834622465176,1801.8463676788094,1723.65783981861,GLOBAL,13.70772950855568
S0_BASELINE,2040,Oil,0.18780711861370636,6.476236078149574,4612.63859360373,86.69020764498893,6.664043196763282,GLOBAL,0.0529971201153095
S0_BASELINE,2040,Oil_pct,1963.2455417454298,6029.115424156144,2047.6861204401334,525.8787111079516,7992.360965901574,GLOBAL,63.56082960574523
S0_BASELINE,2045,Coal,85.31262122465216,351.3857498388045,1132.3817636346382,2667.0992196144207,436.69837106345665,GLOBAL,3.1850121189300524
S0_BASELINE,2045,Electricity,1022.4604206523155,1432.098810261031,80.6389525720584,167.97894395074422,2454.5592309133463,GLOBAL,17.902061045138712
S0_BASELINE,2045,Gas,740.7249280265869,1027.4278335851966,868.2292870195868,1882.176752189268,1768.1527616117837,GLOBAL,12.895830044291246
S0_BASELINE,2045,Oil,0.20635655894738408,5.988421051723732,4685.357329877267,97.74965731930847,6.1947776106711165,GLOBAL,0.045180937396253826
S0_BASELINE,2045,Oil_pct,2316.3571689929663,6729.080372124401,2390.357656775094,589.0128117487458,9045.437541117368,GLOBAL,65.97191585424373
S0_BASELINE,2050,Coal,88.45494411221429,304.80985054262237,1177.5216510411526,2525.213553096436,393.2647946548367,GLOBAL,2.6569173646857265
S0_BASELINE,2050,Electricity,1141.6866283004952,1336.3450137425866,76.7961696836711,164.8587767360881,2478.031642043082,GLOBAL,16.741710393282403
S0_BASELINE,2050,Gas,808.6187560222924,998.9874597078218,873.6530230454223,1939.2592555033846,1807.6062157301142,GLOBAL,12.21228141538178
S0_BASELINE,2050,Oil,0.22767106547827007,5.501221749543818,4723.961754815606,108.71752640169036,5.728892815022088,GLOBAL,0.03870469721047602
S0_BASELINE,2050,Oil_pct,2761.980053028772,7354.932472382926,2675.273148539817,645.1251123502306,10116.912525411697,GLOBAL,68.35038612943961
S1_NO_CN,2017,Coal,75.0993724832252,662.2795537095174,732.2917919242732,2300.07962296821,737.3789261927426,GLOBAL,8.317120797367233
S1_NO_CN,2017,Electricity,653.8557218733454,1647.7798664391714,94.47400931072241,129.6395196541732,2301.635588312517,GLOBAL,25.960846641433363
S1_NO_CN,2017,Gas,510.20805551244626,1100.223450233934,689.8852518917535,1245.959770719585,1610.4315057463803,GLOBAL,18.16454592530295
S1_NO_CN,2017,Oil,0.1290015119117745,7.218633471780945,3965.4150472541,44.29900092444648,7.3476349836927195,GLOBAL,0.08287620592829363
S1_NO_CN,2017,Oil_pct,1014.2736722925257,3194.7282303069915,830.8067772892556,296.66186281812554,4209.001902599517,GLOBAL,47.47461042996815
