group,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
CHINA,2050,S2_CAPACITY,renewable_generation_TWh,12546.116637431804,16179.30258180249,3633.185944370687,28.95864951176161
GLOBAL,2025,S1_NO_CN,renewable_generation_share_pct,25.19864739766846,21.987951885112857,-3.2106955125556027,-12.741539106788235
GLOBAL,2025,S2_CAPACITY,renewable_generation_share_pct,25.19864739766846,29.13182078729713,3.9331733896286707,15.608668701767673
GLOBAL,2030,S1_NO_CN,renewable_generation_share_pct,37.96121160298052,33.77644228073871,-4.184769322241806,-11.023803365415342
GLOBAL,2030,S2_CAPACITY,renewable_generation_share_pct,37.96121160298052,41.40068280444471,3.439471201464194,9.060488472907814
GLOBAL,2035,S1_NO_CN,renewable_generation_share_pct,39.90049662645079,35.91925867467161,-3.9812379517791783,-9.977915786491591
GLOBAL,2035,S2_CAPACITY,renewable_generation_share_pct,39.90049662645079,43.022139524887784,3.1216428984369955,7.823569033894178
GLOBAL,2040,S1_NO_CN,renewable_generation_share_pct,40.54070904013975,36.75850871708129,-3.7822003230584613,-9.329388687587254
GLOBAL,2040,S2_CAPACITY,renewable_generation_share_pct,40.54070904013975,43.767463283431354,3.2267542432916017,7.959294052052125
GLOBAL,2045,S1_NO_CN,renewable_generation_share_pct,41.17552632591864,37.55016929091824,-3.6253570350003983,-8.804640422333486
GLOBAL,2045,S2_CAPACITY,renewable_generation_share_pct,41.17552632591864,44.800375879020095,3.6248495531014555,8.80340793802976
GLOBAL,2050,S1_NO_CN,renewable_generation_share_pct,41.95372768800504,38.587147547383026,-3.3665801406220126,-8.02450777594323
GLOBAL,2050,S2_CAPACITY,renewable_generation_share_pct,41.95372768800504,46.51596677166218,4.56223908365714,10.874454631504715
ROW_EX_CHINA,2025,S1_NO_CN,renewable_generation_share_pct,19.62048970349221,14.528479390394814,-5.092010313097397,-25.95251387732224
ROW_EX_CHINA,2025,S2_CAPACITY,renewable_generation_share_pct,19.62048970349221,17.79179731013573,-1.82869239335648,-9.320319833969254
ROW_EX_CHINA,2030,S1_NO_CN,renewable_generation_share_pct,28.665408548004255,21.277138734124627,-7.388269813879628,-25.774165407434996
ROW_EX_CHINA,2030,S2_CAPACITY,renewable_generation_share_pct,28.665408548004255,24.93738525556933,-3.7280232924349264,-13.00530319040047
ROW_EX_CHINA,2035,S1_NO_CN,renewable_generation_share_pct,27.819125589616398,20.527879590778223,-7.291245998838175,-26.209472240060855
ROW_EX_CHINA,2035,S2_CAPACITY,renewable_generation_share_pct,27.819125589616398,23.77850012056792,-4.040625469048479,-14.524631466334293
ROW_EX_CHINA,2040,S1_NO_CN,renewable_generation_share_pct,27.084834711008376,20.048056791086104,-7.036777919922272,-25.980509000714854
ROW_EX_CHINA,2040,S2_CAPACITY,renewable_generation_share_pct,27.084834711008376,23.028756456736012,-4.056078254272364,-14.975458767056125
ROW_EX_CHINA,2045,S1_NO_CN,renewable_generation_share_pct,26.92207259013533,20.202782387799715,-6.719290202335614,-24.958294647781567
ROW_EX_CHINA,2045,S2_CAPACITY,renewable_generation_share_pct,26.92207259013533,23.150087527334506,-3.771985062800823,-14.010752887513341
ROW_EX_CHINA,2050,S1_NO_CN,renewable_generation_share_pct,27.21557090357504,21.090674526235425,-6.1248963773396135,-22.505118114333023
ROW_EX_CHINA,2050,S2_CAPACITY,renewable_generation_share_pct,27.21557090357504,24.401740130344127,-2.8138307732309116,-10.339047390188263
CHINA,2025,S1_NO_CN,renewable_generation_share_pct,36.618352582278696,36.69282639215772,0.07447380987902363,0.203378373485499
CHINA,2025,S2_CAPACITY,renewable_generation_share_pct,36.618352582278696,50.677914529785326,14.05956194750663,38.39485109526937
CHINA,2030,S1_NO_CN,renewable_generation_share_pct,54.282742885512725,54.40087436405905,0.11813147854632433,0.21762253023115363
CHINA,2030,S2_CAPACITY,renewable_generation_share_pct,54.282742885512725,66.61645976583344,12.333716880320715,22.721248457053196
CHINA,2035,S1_NO_CN,renewable_generation_share_pct,60.33688655040541,60.428271899665276,0.09138534925986619,0.1514585098512216
CHINA,2035,S2_CAPACITY,renewable_generation_share_pct,60.33688655040541,70.84023167506686,10.50334512466145,17.40783412131642
CHINA,2040,S1_NO_CN,renewable_generation_share_pct,63.02996238625073,63.11528029919037,0.08531791293963664,0.13536088188789364
CHINA,2040,S2_CAPACITY,renewable_generation_share_pct,63.02996238625073,73.10900594494646,10.07904355869573,15.990876683268272
CHINA,2045,S1_NO_CN,renewable_generation_share_pct,65.47944564924498,65.55428558657769,0.07483993733271177,0.11429531296524457
CHINA,2045,S2_CAPACITY,renewable_generation_share_pct,65.47944564924498,75.59251385861717,10.113068209372187,15.444645428956525
CHINA,2050,S1_NO_CN,renewable_generation_share_pct,67.95146518458586,68.01013813225252,0.058672947666664754,0.08634537534589343
CHINA,2050,S2_CAPACITY,renewable_generation_share_pct,67.95146518458586,78.44440971666492,10.492944532079065,15.441822341248484
