scenario,year,region,technology,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S1_NO_CN,2030,Australia_Oceania,TnD,0.9351564255478044,0.998042243974831,-0.06288581842702656,-6.300917501906106
S2_CAPACITY,2030,Australia_Oceania,TnD,0.8210788070670721,0.998042243974831,-0.17696343690775884,-17.73105677400781
S1_NO_CN,2030,Australia_Oceania,Coal_Power,135.47471418585417,121.96068920092787,13.514024984926294,11.080640059898482
S2_CAPACITY,2030,Australia_Oceania,Coal_Power,105.42237106373013,121.96068920092787,-16.53831813719775,-13.560367890305367
S1_NO_CN,2030,Australia_Oceania,Oil_Power,17.9699223931667,15.911542770814322,2.05837962235238,12.93639247935124
S2_CAPACITY,2030,Australia_Oceania,Oil_Power,16.663186855091336,15.911542770814322,0.7516440842770145,4.723891926153851
S1_NO_CN,2030,Australia_Oceania,Gas_Power,41.56367472125616,37.65773229613638,3.9059424251197825,10.372218896251821
S2_CAPACITY,2030,Australia_Oceania,Gas_Power,39.90808599756478,37.65773229613638,2.250353701428402,5.975807793554485
S1_NO_CN,2030,Australia_Oceania,Nuclear,0.0001618193638513,0.0001439091878966,1.7910175954699998e-05,12.44547079757591
S2_CAPACITY,2030,Australia_Oceania,Nuclear,0.0001741465979474,0.0001439091878966,3.0237410050799998e-05,21.011452078046496
S1_NO_CN,2030,Australia_Oceania,Hydro,3.775691186638725e-05,3.359798583896865e-05,4.158926027418602e-06,12.378498066377741
S2_CAPACITY,2030,Australia_Oceania,Hydro,4.540609530291632e-05,3.359798583896865e-05,1.1808109463947671e-05,35.145289722254795
S1_NO_CN,2030,Australia_Oceania,Wind,0.0004412520666335,0.000645272542131,-0.00020402047549750006,-31.61772153262967
S2_CAPACITY,2030,Australia_Oceania,Wind,0.0005322158196083,0.000645272542131,-0.00011305672252270003,-17.520770704008633
S1_NO_CN,2030,Australia_Oceania,Solar,0.0003333421227542,0.0014695979703493,-0.0011362558475951,-77.31746168137605
S2_CAPACITY,2030,Australia_Oceania,Solar,0.0004060718815876,0.0014695979703493,-0.0010635260887617,-72.36850555182222
S1_NO_CN,2030,Australia_Oceania,Biomass,0.4181004671105704,0.3705946286802932,0.047505838430277225,12.818814616781683
