group,year,fuel,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
GLOBAL,2025,Coal,S1_NO_CN,modeled_final_demand_Mtoe,591.566665156381,589.3426085832934,-2.2240565730875232,-0.37596042915967764
GLOBAL,2025,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,591.566665156381,296.78817912609264,-294.7784860302883,-49.83013807114427
GLOBAL,2025,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,2126.5074052111486,2099.3024129983132,-27.20499221283535,-1.2793274148102047
GLOBAL,2025,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,2126.5074052111486,1883.9249961102594,-242.5824091008892,-11.407550639439336
GLOBAL,2025,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1603.8821284983765,1601.975864575089,-1.9062639232874972,-0.11885311828196649
GLOBAL,2025,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1603.8821284983765,1224.524168432796,-379.3579600655805,-23.65248376579592
GLOBAL,2025,Oil,S1_NO_CN,modeled_final_demand_Mtoe,7.596404084005966,7.571738090321281,-0.02466599368468536,-0.32470618218716113
GLOBAL,2025,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,7.596404084005966,7.699142363735629,0.10273827972966298,1.3524593820117572
GLOBAL,2025,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,5309.8054227614675,5309.128237144051,-0.6771856174163986,-0.012753492143299953
GLOBAL,2025,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,5309.8054227614675,4899.04707816646,-410.75834459500766,-7.73584551392817
GLOBAL,2030,Coal,S1_NO_CN,modeled_final_demand_Mtoe,602.7274223821704,599.3558394711002,-3.3715829110701634,-0.5593876744058858
GLOBAL,2030,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,602.7274223821704,322.34506782074067,-280.38235456142974,-46.51893113694239
GLOBAL,2030,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,2123.2287681485063,2080.019225346559,-43.209542801947464,-2.0350865366065554
GLOBAL,2030,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,2123.2287681485063,1899.8891152411952,-223.33965290731112,-10.518869010147563
GLOBAL,2030,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1678.2592994784663,1676.1573685191438,-2.1019309593225444,-0.12524470801238746
GLOBAL,2030,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1678.2592994784663,1306.1522768383559,-372.1070226401105,-22.172200848566483
GLOBAL,2030,Oil,S1_NO_CN,modeled_final_demand_Mtoe,7.413151973903572,7.373199527305335,-0.039952446598237046,-0.5389400721701262
GLOBAL,2030,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,7.413151973903572,7.664338863165932,0.2511868892623603,3.3883952486959723
GLOBAL,2030,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,6147.457243001311,6149.263818097925,1.8065750966134146,0.02938735521373726
GLOBAL,2030,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,6147.457243001311,5661.188007909571,-486.2692350917405,-7.910087307160093
GLOBAL,2035,Coal,S1_NO_CN,modeled_final_demand_Mtoe,509.0752449571688,506.5202533342467,-2.5549916229221026,-0.5018887970357049
GLOBAL,2035,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,509.0752449571688,293.7002082116842,-215.37503674548464,-42.30711252981969
GLOBAL,2035,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,2255.5470732288854,2209.736653762995,-45.81041946589039,-2.03101145658252
GLOBAL,2035,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,2255.5470732288854,2030.932944452605,-224.6141287762805,-9.95829931648194
GLOBAL,2035,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1671.0498204308544,1668.9168198380094,-2.1330005928450646,-0.127644344696743
GLOBAL,2035,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1671.0498204308544,1346.2334420682264,-324.81637836262803,-19.437863215764516
GLOBAL,2035,Oil,S1_NO_CN,modeled_final_demand_Mtoe,7.133431453770405,7.093560339334755,-0.03987111443565006,-0.5589331683362011
GLOBAL,2035,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,7.133431453770405,7.465334053286287,0.33190259951588175,4.652776180255482
GLOBAL,2035,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,6997.808518825059,7000.867096414792,3.0585775897334315,0.043707649066210386
GLOBAL,2035,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,6997.808518825059,6396.925374465885,-600.8831443591735,-8.586733157140781
GLOBAL,2040,Coal,S1_NO_CN,modeled_final_demand_Mtoe,474.5160211532265,472.0953140373189,-2.4207071159076463,-0.5101423361901564
GLOBAL,2040,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,474.5160211532265,281.2581346619776,-193.25788649124894,-40.727368071065364
GLOBAL,2040,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,2377.150796975625,2329.0990878570924,-48.05170911853247,-2.021399281007632
GLOBAL,2040,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,2377.150796975625,2149.885896600971,-227.26490037465373,-9.560390559311417
GLOBAL,2040,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1723.65783981861,1720.4358495365536,-3.2219902820563675,-0.18692748686104868
GLOBAL,2040,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1723.65783981861,1416.2276501620395,-307.4301896565705,-17.835917463115713
GLOBAL,2040,Oil,S1_NO_CN,modeled_final_demand_Mtoe,6.664043196763282,6.6261197114724695,-0.03792348529081213,-0.5690762225135564
GLOBAL,2040,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,6.664043196763282,7.051366112414379,0.38732291565109733,5.812130927350826
GLOBAL,2040,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,7992.360965901574,7995.558280048249,3.197314146675126,0.04000462642160525
GLOBAL,2040,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,7992.360965901574,7256.6615421282395,-735.6994237733343,-9.205032491801928
GLOBAL,2045,Coal,S1_NO_CN,modeled_final_demand_Mtoe,436.69837106345665,434.56909502120766,-2.129276042248989,-0.4875850663385195
GLOBAL,2045,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,436.69837106345665,259.23863085470884,-177.4597402087478,-40.63668471595034
GLOBAL,2045,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,2454.5592309133463,2404.7415474930485,-49.817683420297726,-2.0295979332208036
GLOBAL,2045,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,2454.5592309133463,2225.7277136272105,-228.83151728613575,-9.32271319445761
GLOBAL,2045,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1768.1527616117837,1763.806279867597,-4.3464817441868036,-0.24582048783074087
GLOBAL,2045,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1768.1527616117837,1473.98571211667,-294.1670494951138,-16.636970282305352
GLOBAL,2045,Oil,S1_NO_CN,modeled_final_demand_Mtoe,6.1947776106711165,6.1586254556288855,-0.036152155042231016,-0.583590845617369
GLOBAL,2045,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,6.1947776106711165,6.595626380139693,0.4008487694685767,6.470753183747471
GLOBAL,2045,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,9045.437541117368,9049.584564862304,4.147023744935723,0.04584657984851275
