scenario,year,region,household_income,household_savings,labor_income,household_capital_income,land_income,resource_income,government_income,carbon_revenue,expenditure_gap,household_income_S0,household_savings_S0,labor_income_S0,household_capital_income_S0,land_income_S0,resource_income_S0,government_income_S0,carbon_revenue_S0,expenditure_gap_S0,household_income_gap,household_income_pct,labor_income_gap,labor_income_pct,household_capital_income_gap,household_capital_income_pct,land_income_gap,land_income_pct,resource_income_gap,resource_income_pct,government_income_gap,government_income_pct,carbon_revenue_gap,carbon_revenue_pct
S1_NO_CN,2030,Australia_Oceania,2508.896223336722,483.7718587381431,1257.1470036995904,1136.0818275899708,34.90579454298009,80.76159750418083,1101.7643794478129,36.16659094562559,-2.909783815115536e-13,2505.526986667061,483.12219380937904,1256.9893383077238,1135.141966620945,35.21705263521322,78.17862910317918,1098.7004623370217,34.49450342868977,2.909783815115536e-13,3.3692366696609497,0.13447217641598128,0.15766539186665796,0.012543096990696978,0.9398609690258581,0.08279677755405404,-0.31125809223313183,-0.8838277735993944,2.5829684010016507,3.303931561133774,3.0639171107911807,0.27886737248421556,1.6720875169358251,4.847402776481532
S2_CAPACITY,2030,Australia_Oceania,2312.177971391081,445.8401366101973,1171.820186984757,1050.3489086118,33.84365299636404,56.16522279816029,1041.8844177487435,55.16759893666196,5.819567630231072e-13,2505.526986667061,483.12219380937904,1256.9893383077238,1135.141966620945,35.21705263521322,78.17862910317918,1098.7004623370217,34.49450342868977,2.909783815115536e-13,-193.34901527598004,-7.716900129388733,-85.16915132296685,-6.7756462785618785,-84.79305800914494,-7.469819679167908,-1.373399638849179,-3.8998142549724015,-22.013406305018883,-28.1578310563183,-56.816044588278146,-5.1712042122405215,20.673095507972192,59.93156431635414
S1_NO_CN,2030,China,24596.26826041449,8985.988613913978,12987.030587383892,7842.379258465447,3291.878549728588,474.9798648365664,5995.101192694134,194.27154649673307,-2.327827052092429e-12,24603.55344911068,8988.65018118837,12990.402048352364,7842.107009615897,3298.1671077686374,472.877283373778,5996.123907997796,194.93041852140823,-4.655654104184858e-12,-7.285188696190744,-0.029610311011615577,-3.3714609684720926,-0.02595347669704889,0.27224884954921436,0.003471628851983097,-6.288558040049338,-0.19066826617841806,2.1025814627883506,0.4446357515394538,-1.022715303662153,-0.017056273675365965,-0.658872024675162,-0.3380036987930652
S2_CAPACITY,2030,China,24112.61845689304,8809.29223129401,12885.466539602452,7894.427161701073,3001.342820685212,331.3819349042952,6346.972157111984,683.668849416915,1.8622616416739432e-11,24603.55344911068,8988.65018118837,12990.402048352364,7842.107009615897,3298.1671077686374,472.877283373778,5996.123907997796,194.93041852140823,-4.655654104184858e-12,-490.9349922176407,-1.995382468768494,-104.9355087499116,-0.807792617652054,52.32015208517532,0.6671695759955963,-296.8242870834256,-8.99967398208155,-141.49534846948285,-29.922213107801205,350.84824911418855,5.851250816318479,488.7384308955068,250.72455833353226
S1_NO_CN,2030,Japan,6220.846653997505,1171.8068705968756,2213.9228774913995,3969.206176358311,33.78510760189403,3.932492545901114,2962.230378440252,9.183527416958952,2.327827052092429e-12,6243.541801886642,1176.0819044797015,2221.294180113792,3984.494749595604,33.85954680174302,3.893325375504214,2969.9776559478714,9.058283600484238,1.1639135260462145e-12,-22.695147889136933,-0.3634979729338727,-7.3713026223927045,-0.33184720368803594,-15.288573237292894,-0.38370167858408066,-0.07443919984898884,-0.2198470058824203,0.0391671703969001,1.0060081452048601,-7.747277507619401,-0.2608530569953682,0.12524381647471472,1.382644019536101
S2_CAPACITY,2030,Japan,6191.966879502539,1166.366852532334,2207.843571896683,3948.937374364317,31.825242055619867,3.360691185918248,3012.991301426074,87.58297103643538,0.0,6243.541801886642,1176.0819044797015,2221.294180113792,3984.494749595604,33.85954680174302,3.893325375504214,2969.9776559478714,9.058283600484238,1.1639135260462145e-12,-51.57492238410305,-0.8260523276791131,-13.45060821710922,-0.6055302506766652,-35.5573752312871,-0.8923935772508146,-2.034304746123155,-6.008068442364483,-0.5326341895859659,-13.680700640567085,43.01364547820276,1.4482817873077538,78.52468743595114,866.8826336123254
S1_NO_CN,2030,South Korea,2580.605031287028,949.6590596593234,1218.7547103693703,1291.9508373518677,66.81236799892437,3.087115566865537,975.780635873914,18.723087992084796,0.0,2596.7098738618606,955.585619311092,1224.8048793970745,1301.9498992696276,66.904982692502,3.0501125026566984,980.0355439929616,18.136072683919416,2.909783815115536e-13,-16.104842574832674,-0.6202018460722892,-6.050169027704214,-0.49397002979629584,-9.999061917759946,-0.7680066585795087,-0.09261469357763019,-0.13842719906720707,0.03700306420883859,1.2131704708140538,-4.254908119047627,-0.43415855120028024,0.5870153081653804,3.2367278097967986
S2_CAPACITY,2030,South Korea,2556.7902131858364,940.895239745101,1214.585881282865,1275.816074035881,63.6703293356131,2.7179285314769888,999.4131966848832,50.95992967735858,0.0,2596.7098738618606,955.585619311092,1224.8048793970745,1301.9498992696276,66.904982692502,3.0501125026566984,980.0355439929616,18.136072683919416,2.909783815115536e-13,-39.91966067602425,-1.537316936244988,-10.218998114209398,-0.8343368226325019,-26.13382523374662,-2.0072834790653054,-3.2346533568889058,-4.834697247820096,-0.33218397117970966,-10.890876021470419,19.37765269192164,1.9772397859133979,32.823856993439165,180.98657612098603
S1_NO_CN,2030,Rest of World,156.9991366947328,79.64994355533571,65.05290801770175,79.55488354807568,5.278981548909424,7.112363580045983,17.552282039604357,5.316359045732216e-11,-9.09307442223605e-15,156.9972889663539,79.64900615233984,65.07629875817399,79.56140550244629,5.285092404988524,7.0744923007451055,17.548557161836676,8.836803548497623e-21,9.09307442223605e-15,0.0018477283789195553,0.0011769173793284686,-0.023390740472237326,-0.035943563046137904,-0.006521954370612093,-0.008197384560296086,-0.006110856079100557,-0.1156243942552945,0.037871279300877525,0.5353215141231946,0.003724877767680823,0.021226119807623935,5.316359044848536e-11,
S2_CAPACITY,2030,Rest of World,145.38146024372938,73.75597946707572,60.56516648700677,75.72492172824519,4.74811053448287,4.343261493994574,18.624773227996013,2.60502788682959,-4.546537211118025e-14,156.9972889663539,79.64900615233984,65.07629875817399,79.56140550244629,5.285092404988524,7.0744923007451055,17.548557161836676,8.836803548497623e-21,9.09307442223605e-15,-11.615828722624514,-7.398744780308853,-4.51113227116722,-6.932066447003631,-3.836483774201099,-4.8220412271162525,-0.5369818705056542,-10.16031186131778,-2.7312308067505313,-38.60673940464774,1.0762160661593363,6.132789472286716,2.60502788682959,
