scenario,year,region,technology,CO2_Mt
S0_BASELINE,2030,Brazil,Coal_Power,38.57564521713427
S0_BASELINE,2030,Brazil,Oil_Power,28.0756755767658
S0_BASELINE,2030,Brazil,Gas_Power,62.618203547694186
S0_BASELINE,2030,Brazil,Nuclear,0.0001856230510443
S0_BASELINE,2030,Brazil,Hydro,2.546982004527264e-05
S0_BASELINE,2030,Brazil,Wind,0.0006184912199997
S0_BASELINE,2030,Brazil,Solar,0.0166088783935103
S0_BASELINE,2030,Brazil,Biomass,7.790622820009555
S0_BASELINE,2030,"EU, UK and EFTA",TnD,0.966580378182192
S0_BASELINE,2030,"EU, UK and EFTA",Coal_Power,160.3350583343066
S0_BASELINE,2030,"EU, UK and EFTA",Oil_Power,31.016725389084552
S0_BASELINE,2030,"EU, UK and EFTA",Gas_Power,183.24949092053043
S0_BASELINE,2030,"EU, UK and EFTA",Nuclear,0.0001777484313253
S0_BASELINE,2030,"EU, UK and EFTA",Hydro,3.347476103450319e-05
S0_BASELINE,2030,"EU, UK and EFTA",Wind,0.0002363912429766
S0_BASELINE,2030,"EU, UK and EFTA",Solar,0.0007149807156297
S0_BASELINE,2030,"EU, UK and EFTA",Biomass,15.564531589137408
S0_BASELINE,2030,Eastern Europe,TnD,0.0263361857833602
S0_BASELINE,2030,Eastern Europe,Coal_Power,144.6570007410229
S0_BASELINE,2030,Eastern Europe,Oil_Power,14.147162624538671
S0_BASELINE,2030,Eastern Europe,Gas_Power,81.86959299094933
S0_BASELINE,2030,Eastern Europe,Nuclear,0.0001717145778423
S0_BASELINE,2030,Eastern Europe,Hydro,2.3021445169852823e-05
S0_BASELINE,2030,Eastern Europe,Wind,0.0001431674463682
S0_BASELINE,2030,Eastern Europe,Solar,0.0012120591926872
S0_BASELINE,2030,Eastern Europe,Biomass,1.8167794049019084
S0_BASELINE,2030,Russia,TnD,0.0625482038143737
S0_BASELINE,2030,Russia,Coal_Power,360.2510766389971
S0_BASELINE,2030,Russia,Oil_Power,46.148664492375474
S0_BASELINE,2030,Russia,Gas_Power,741.5190460492071
S0_BASELINE,2030,Russia,Nuclear,0.0002297043288692
S0_BASELINE,2030,Russia,Hydro,3.693620374714408e-05
S0_BASELINE,2030,Russia,Wind,0.0034521697554903
S0_BASELINE,2030,Russia,Solar,0.0016389411378624
S0_BASELINE,2030,Russia,Biomass,14.875904485290716
S0_BASELINE,2030,North Africa,TnD,0.023202744620188
S0_BASELINE,2030,North Africa,Coal_Power,29.65465767396077
S0_BASELINE,2030,North Africa,Oil_Power,57.85047852694936
S0_BASELINE,2030,North Africa,Gas_Power,206.38329822971184
S0_BASELINE,2030,North Africa,Nuclear,0.0001037196508197
S0_BASELINE,2030,North Africa,Hydro,2.2074563307749092e-05
S0_BASELINE,2030,North Africa,Wind,0.0002790562965533
S0_BASELINE,2030,North Africa,Solar,0.0021788986315267
S0_BASELINE,2030,North Africa,Biomass,0.0
S0_BASELINE,2030,Sub Saharan,TnD,0.3678101902120132
S0_BASELINE,2030,Sub Saharan,Coal_Power,18.15565088342669
S0_BASELINE,2030,Sub Saharan,Oil_Power,63.95715550068984
S0_BASELINE,2030,Sub Saharan,Gas_Power,42.36311653104711
S0_BASELINE,2030,Sub Saharan,Nuclear,0.0001720552161461
S0_BASELINE,2030,Sub Saharan,Hydro,5.809658731592817e-05
S0_BASELINE,2030,Sub Saharan,Wind,0.0004936922128039
S0_BASELINE,2030,Sub Saharan,Solar,0.0019066846720146
S0_BASELINE,2030,Sub Saharan,Biomass,1.539524004063979
S0_BASELINE,2030,South Africa,TnD,0.0003481948363346
S0_BASELINE,2030,South Africa,Coal_Power,210.87016940171932
S0_BASELINE,2030,South Africa,Oil_Power,0.0180239463068698
S0_BASELINE,2030,South Africa,Gas_Power,0.0001025684881125
S0_BASELINE,2030,South Africa,Nuclear,0.0001036124136715
S0_BASELINE,2030,South Africa,Hydro,1.7363440136417173e-05
S0_BASELINE,2030,South Africa,Wind,0.0001494711346224
S0_BASELINE,2030,South Africa,Solar,0.0005223063047212
S0_BASELINE,2030,South Africa,Biomass,0.0014152575181858
S0_BASELINE,2050,Australia_Oceania,TnD,1.4315024159558152
S0_BASELINE,2050,Australia_Oceania,Coal_Power,158.3114656772225
S0_BASELINE,2050,Australia_Oceania,Oil_Power,35.85492338424211
S0_BASELINE,2050,Australia_Oceania,Gas_Power,50.42941201192486
S0_BASELINE,2050,Australia_Oceania,Nuclear,0.0001005599938584
S0_BASELINE,2050,Australia_Oceania,Hydro,4.436402556062955e-05
S0_BASELINE,2050,Australia_Oceania,Wind,0.0007773578356037
S0_BASELINE,2050,Australia_Oceania,Solar,0.001793556692162
S0_BASELINE,2050,Australia_Oceania,Biomass,0.6676799781563166
S0_BASELINE,2050,China,TnD,1.402558135920687
S0_BASELINE,2050,China,Coal_Power,3974.89750763017
S0_BASELINE,2050,China,Oil_Power,183.498996185156
S0_BASELINE,2050,China,Gas_Power,219.79021094704692
S0_BASELINE,2050,China,Nuclear,0.0002448728538821
S0_BASELINE,2050,China,Hydro,0.0001770929485618
S0_BASELINE,2050,China,Wind,0.0012745500834735
S0_BASELINE,2050,China,Solar,0.0033146932565292
S0_BASELINE,2050,China,Biomass,47.19876138527408
S0_BASELINE,2050,Japan,TnD,0.147927455512972
S0_BASELINE,2050,Japan,Coal_Power,298.1828411111175
S0_BASELINE,2050,Japan,Oil_Power,145.5676586359219
S0_BASELINE,2050,Japan,Gas_Power,265.99077523559896
S0_BASELINE,2050,Japan,Nuclear,7.604045507374028e-05
S0_BASELINE,2050,Japan,Hydro,1.920532828931914e-05
S0_BASELINE,2050,Japan,Wind,0.0001174897414665
S0_BASELINE,2050,Japan,Solar,0.0001252681531365
S0_BASELINE,2050,Japan,Biomass,11.329811667810786
S0_BASELINE,2050,South Korea,TnD,0.0660472613235451
S0_BASELINE,2050,South Korea,Coal_Power,195.1762420728881
S0_BASELINE,2050,South Korea,Oil_Power,59.45925924745247
S0_BASELINE,2050,South Korea,Gas_Power,76.78159425506027
S0_BASELINE,2050,South Korea,Nuclear,0.0001189185721951
S0_BASELINE,2050,South Korea,Hydro,2.9915824242835057e-05
S0_BASELINE,2050,South Korea,Wind,0.0002737477682139
S0_BASELINE,2050,South Korea,Solar,0.0011067500043786
S0_BASELINE,2050,South Korea,Biomass,3.706709168622466
S0_BASELINE,2050,Rest of World,TnD,0.0160123816141037
S0_BASELINE,2050,Rest of World,Coal_Power,29.75742491974813
S0_BASELINE,2050,Rest of World,Oil_Power,6.153872069615858
S0_BASELINE,2050,Rest of World,Gas_Power,2.6289763081506243
S0_BASELINE,2050,Rest of World,Nuclear,7.447557068268056e-05
S0_BASELINE,2050,Rest of World,Hydro,6.674130303077456e-05
S0_BASELINE,2050,Rest of World,Wind,0.001329868287926
S0_BASELINE,2050,Rest of World,Solar,0.0042977983800156
S0_BASELINE,2050,Rest of World,Biomass,0.0260215448096734
S0_BASELINE,2050,Southeast Asia,TnD,0.2079584799618764
S0_BASELINE,2050,Southeast Asia,Coal_Power,617.6537343246333
S0_BASELINE,2050,Southeast Asia,Oil_Power,27.2725160756259
S0_BASELINE,2050,Southeast Asia,Gas_Power,224.69135578486177
S0_BASELINE,2050,Southeast Asia,Nuclear,3.0392806572161e-05
S0_BASELINE,2050,Southeast Asia,Hydro,0.0001095924711773
S0_BASELINE,2050,Southeast Asia,Wind,0.0018833574960539
S0_BASELINE,2050,Southeast Asia,Solar,0.004598199740208
S0_BASELINE,2050,Southeast Asia,Biomass,7.481557781388213
S0_BASELINE,2050,"Central, Western and South Asia",TnD,6.983553159529979
S0_BASELINE,2050,"Central, Western and South Asia",Coal_Power,401.9960012330836
S0_BASELINE,2050,"Central, Western and South Asia",Oil_Power,771.2246085701108
S0_BASELINE,2050,"Central, Western and South Asia",Gas_Power,1216.4824610780536
S0_BASELINE,2050,"Central, Western and South Asia",Nuclear,0.0003059311043726
S0_BASELINE,2050,"Central, Western and South Asia",Hydro,5.8581951512965154e-05
S0_BASELINE,2050,"Central, Western and South Asia",Wind,0.0003790324949006
S0_BASELINE,2050,"Central, Western and South Asia",Solar,0.0032815609875368
S0_BASELINE,2050,"Central, Western and South Asia",Biomass,2.475530057403431
S0_BASELINE,2050,India,TnD,0.5933110789213827
S0_BASELINE,2050,India,Coal_Power,1340.5214367195574
S0_BASELINE,2050,India,Oil_Power,4.3306723603407065
S0_BASELINE,2050,India,Gas_Power,61.573341357534645
S0_BASELINE,2050,India,Nuclear,0.0001714118386502
S0_BASELINE,2050,India,Hydro,3.942512597264826e-05
S0_BASELINE,2050,India,Wind,0.0002943611227472
S0_BASELINE,2050,India,Solar,0.0008286788375942
S0_BASELINE,2050,India,Biomass,3.171690606511105
S0_BASELINE,2050,Canada,TnD,0.0517500333564274
S0_BASELINE,2050,Canada,Coal_Power,110.93151933504004
S0_BASELINE,2050,Canada,Oil_Power,15.887543417038
S0_BASELINE,2050,Canada,Gas_Power,89.44369964749559
S0_BASELINE,2050,Canada,Nuclear,0.000374185130003
S0_BASELINE,2050,Canada,Hydro,8.212604466692667e-05
S0_BASELINE,2050,Canada,Wind,0.0005162868645032
S0_BASELINE,2050,Canada,Solar,0.0019049378704095
S0_BASELINE,2050,Canada,Biomass,2.713594137136208
S0_BASELINE,2050,United States,TnD,0.0754859625665782
S0_BASELINE,2050,United States,Coal_Power,1580.2151815164614
S0_BASELINE,2050,United States,Oil_Power,28.573631611831523
S0_BASELINE,2050,United States,Gas_Power,659.3949308526857
S0_BASELINE,2050,United States,Nuclear,0.0002358543114501
S0_BASELINE,2050,United States,Hydro,3.585125519423902e-05
S0_BASELINE,2050,United States,Wind,0.0002704991772388
S0_BASELINE,2050,United States,Solar,0.0011590624815794
S0_BASELINE,2050,United States,Biomass,10.14914814702716
S0_BASELINE,2050,Rest of America,TnD,1.4633392855317005
S0_BASELINE,2050,Rest of America,Coal_Power,132.53276424651494
S0_BASELINE,2050,Rest of America,Oil_Power,308.6310549302456
S0_BASELINE,2050,Rest of America,Gas_Power,268.4560648378897
S0_BASELINE,2050,Rest of America,Nuclear,0.0002639288900739
S0_BASELINE,2050,Rest of America,Hydro,3.216101578504714e-05
S0_BASELINE,2050,Rest of America,Wind,0.0003432037298836
S0_BASELINE,2050,Rest of America,Solar,0.0021856135293536
S0_BASELINE,2050,Rest of America,Biomass,8.078227361637481
S0_BASELINE,2050,Brazil,TnD,0.0058092214727987
S0_BASELINE,2050,Brazil,Coal_Power,72.38953962683452
S0_BASELINE,2050,Brazil,Oil_Power,67.1377637223716
S0_BASELINE,2050,Brazil,Gas_Power,85.79316634403642
S0_BASELINE,2050,Brazil,Nuclear,0.0002788632873519
S0_BASELINE,2050,Brazil,Hydro,2.7904131950261677e-05
S0_BASELINE,2050,Brazil,Wind,0.0006038081804299
S0_BASELINE,2050,Brazil,Solar,0.0167302922713358
S0_BASELINE,2050,Brazil,Biomass,15.430265976440731
S0_BASELINE,2050,"EU, UK and EFTA",TnD,1.1819791957469
S0_BASELINE,2050,"EU, UK and EFTA",Coal_Power,226.4041937976883
S0_BASELINE,2050,"EU, UK and EFTA",Oil_Power,52.810870398968525
S0_BASELINE,2050,"EU, UK and EFTA",Gas_Power,261.2721530631721
S0_BASELINE,2050,"EU, UK and EFTA",Nuclear,0.0002236665715384
S0_BASELINE,2050,"EU, UK and EFTA",Hydro,3.6527909513766666e-05
S0_BASELINE,2050,"EU, UK and EFTA",Wind,0.0002400655276427
S0_BASELINE,2050,"EU, UK and EFTA",Solar,0.0007724923715425
S0_BASELINE,2050,"EU, UK and EFTA",Biomass,22.09335346754327
S0_BASELINE,2050,Eastern Europe,TnD,0.037640686532101
S0_BASELINE,2050,Eastern Europe,Coal_Power,185.27185719692136
