panel,year,scenario,region,metric,value_pct,color_min,color_center,color_max
d,2050,S2_CAPACITY,China,EV_pct_C0,-1.1503275326155151,-16.0,0,0.8
d,2050,S2_CAPACITY,Japan,EV_pct_C0,-0.9249933124490628,-16.0,0,0.8
d,2050,S2_CAPACITY,South Korea,EV_pct_C0,-1.6537367795771458,-16.0,0,0.8
d,2050,S2_CAPACITY,Rest of World,EV_pct_C0,-7.0816261171914805,-16.0,0,0.8
d,2050,S2_CAPACITY,Southeast Asia,EV_pct_C0,-1.5744879530843223,-16.0,0,0.8
d,2050,S2_CAPACITY,"Central, Western and South Asia",EV_pct_C0,-9.312315815747485,-16.0,0,0.8
d,2050,S2_CAPACITY,India,EV_pct_C0,-1.37494734289537,-16.0,0,0.8
d,2050,S2_CAPACITY,Canada,EV_pct_C0,-3.6651148516852285,-16.0,0,0.8
d,2050,S2_CAPACITY,United States,EV_pct_C0,-0.6998503039318107,-16.0,0,0.8
d,2050,S2_CAPACITY,Rest of America,EV_pct_C0,-2.006040796556258,-16.0,0,0.8
d,2050,S2_CAPACITY,Brazil,EV_pct_C0,-4.61526715591333,-16.0,0,0.8
d,2050,S2_CAPACITY,"EU, UK and EFTA",EV_pct_C0,-2.363065222341332,-16.0,0,0.8
d,2050,S2_CAPACITY,Eastern Europe,EV_pct_C0,-4.778551383214994,-16.0,0,0.8
d,2050,S2_CAPACITY,Russia,EV_pct_C0,-15.219207307232534,-16.0,0,0.8
d,2050,S2_CAPACITY,North Africa,EV_pct_C0,-2.7893708023956543,-16.0,0,0.8
d,2050,S2_CAPACITY,Sub Saharan,EV_pct_C0,-2.0788108882446186,-16.0,0,0.8
d,2050,S2_CAPACITY,South Africa,EV_pct_C0,-6.375322623973619,-16.0,0,0.8
