region,year,technology,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
Australia_Oceania,2025,Coal_Power,S1_NO_CN,generation_TWh,128.64630581556435,136.65119685589198,8.004891040327635,6.222402570816113
Australia_Oceania,2025,Coal_Power,S2_CAPACITY,generation_TWh,128.64630581556435,107.42608579695244,-21.22022001861191,-16.495009230218077
Australia_Oceania,2025,Oil_Power,S1_NO_CN,generation_TWh,8.25868474899556,8.84800425899055,0.5893195099949899,7.135755001020766
Australia_Oceania,2025,Oil_Power,S2_CAPACITY,generation_TWh,8.25868474899556,8.44964127634673,0.19095652735117064,2.312190538262103
Australia_Oceania,2025,Gas_Power,S1_NO_CN,generation_TWh,68.0048253425434,71.91013424210392,3.9053088995605236,5.74269381604806
Australia_Oceania,2025,Gas_Power,S2_CAPACITY,generation_TWh,68.0048253425434,69.8795400656384,1.8747147230949963,2.7567377956666648
Australia_Oceania,2025,Nuclear,S1_NO_CN,generation_TWh,0.9741433557812746,1.0387579010132986,0.06461454523202392,6.632960626231679
Australia_Oceania,2025,Nuclear,S2_CAPACITY,generation_TWh,0.9741433557812746,1.1800987022758478,0.20595534649457314,21.142201019211846
Australia_Oceania,2025,Hydro,S1_NO_CN,generation_TWh,18.77509097729878,20.15462889627328,1.3795379189744992,7.347702978603499
Australia_Oceania,2025,Hydro,S2_CAPACITY,generation_TWh,18.77509097729878,27.146956557312336,8.371865580013555,44.590279696306624
Australia_Oceania,2025,Wind,S1_NO_CN,generation_TWh,60.55359775920499,35.13240531117427,-25.421192448030723,-41.981308111732055
Australia_Oceania,2025,Wind,S2_CAPACITY,generation_TWh,60.55359775920499,47.45838183253228,-13.095215926672708,-21.625826393910764
Australia_Oceania,2025,Solar,S1_NO_CN,generation_TWh,103.72900343019894,15.491943515494931,-88.23705991470402,-85.06498375266882
Australia_Oceania,2025,Solar,S2_CAPACITY,generation_TWh,103.72900343019894,21.23537662213306,-82.49362680806588,-79.52802406279483
Australia_Oceania,2025,Biomass,S1_NO_CN,generation_TWh,1.9715867182592168,2.1129583930167977,0.14137167475758083,7.170451771069083
Australia_Oceania,2025,Biomass,S2_CAPACITY,generation_TWh,1.9715867182592168,2.523252782787786,0.5516660645285691,27.98081663968879
China,2025,Coal_Power,S1_NO_CN,generation_TWh,6044.251187857964,6041.093402501254,-3.1577853567105194,-0.052244442836096194
