region,year,sector,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
Australia_Oceania,2025,Rice,S1_NO_CN,real_output,0.26460860019174426,0.2638802126396115,-0.000728387552132781,-0.27526979531465223
Australia_Oceania,2025,Rice,S2_CAPACITY,real_output,0.26460860019174426,0.27157095610645443,0.006962355914710172,2.631190335334912
Australia_Oceania,2025,Crops nec,S1_NO_CN,real_output,51.90778113722474,51.84461174682357,-0.0631693904011712,-0.12169541640428626
Australia_Oceania,2025,Crops nec,S2_CAPACITY,real_output,51.90778113722474,52.20944740779,0.3016662705652635,0.5811580922092795
Australia_Oceania,2025,"Bovine cattle, sheep and goats, horses",S1_NO_CN,real_output,17.019922659867213,16.981391533440792,-0.038531126426420315,-0.22638837553167196
Australia_Oceania,2025,"Bovine cattle, sheep and goats, horses",S2_CAPACITY,real_output,17.019922659867213,17.29962340876452,0.27970074889730867,1.643372619764248
Australia_Oceania,2025,Animal products nec,S1_NO_CN,real_output,34.33567294700523,34.2715928352397,-0.06408011176552719,-0.1866283846087143
Australia_Oceania,2025,Animal products nec,S2_CAPACITY,real_output,34.33567294700523,34.75472418791244,0.41905124090720847,1.220454428121987
Australia_Oceania,2025,Forestry,S1_NO_CN,real_output,13.84358226297709,13.8202120422643,-0.023370220712790157,-0.16881628085015868
Australia_Oceania,2025,Forestry,S2_CAPACITY,real_output,13.84358226297709,14.079561227617392,0.23597896464030121,1.7046091116993403
Australia_Oceania,2025,Coal,S1_NO_CN,real_output,72.74200967979296,73.27917937810629,0.5371696983133347,0.7384586990075357
Australia_Oceania,2025,Coal,S2_CAPACITY,real_output,72.74200967979296,56.144269518501694,-16.597740161291263,-22.817269187851373
Australia_Oceania,2025,Oil,S1_NO_CN,real_output,8.726095662260132,8.76183592639332,0.03574026413318876,0.4095791006253045
Australia_Oceania,2025,Oil,S2_CAPACITY,real_output,8.726095662260132,8.30473401187141,-0.42136165038872164,-4.828753507838412
Australia_Oceania,2025,Gas,S1_NO_CN,real_output,52.585026739099725,52.98849295635994,0.4034662172602168,0.7672644520312063
Australia_Oceania,2025,Gas,S2_CAPACITY,real_output,52.585026739099725,49.39218093197342,-3.1928458071263037,-6.071777471879187
Australia_Oceania,2025,Mine,S1_NO_CN,real_output,176.12670158337286,175.91025682347222,-0.21644475990063938,-0.1228915081897342
Australia_Oceania,2025,Mine,S2_CAPACITY,real_output,176.12670158337286,177.69937065572725,1.5726690723543868,0.8929191645651381
