grid,scenario,year,stage,status,residual,seconds,requested_tolerance,run_id
fiveyear_2050,B,2035,scenario_0.25,Solved,6.426219556487921e-10,2.176999807357788,1e-08,B
fiveyear_2050,B,2035,scenario_0.5,Solved,1.4599166320294896e-09,2.33899998664856,1e-08,B
fiveyear_2050,B,2035,scenario_0.75,Solved,1.0186340659856795e-10,3.3600001335144043,1e-08,B
fiveyear_2050,B,2035,scenario_1.0,Solved,3.3233504836971406e-10,3.2960000038146973,1e-08,B
fiveyear_2050,B,2040,scenario_0.25,Solved,6.874643077026121e-09,2.264000177383423,1e-08,B
fiveyear_2050,B,2040,scenario_0.5,Solved,1.9657306893350324e-09,2.447000026702881,1e-08,B
fiveyear_2050,B,2040,scenario_0.75,Solved,2.1827872842550278e-10,3.565999984741211,1e-08,B
fiveyear_2050,B,2040,scenario_1.0,Solved,1.782609615474939e-10,2.8340001106262207,1e-08,B
fiveyear_2050,B,2045,scenario_0.25,Solved,4.720845936390106e-10,3.4059998989105225,1e-08,B
fiveyear_2050,B,2045,scenario_0.5,Solved,4.5326942199608306e-10,3.177000045776367,1e-08,B
fiveyear_2050,B,2045,scenario_0.75,Solved,2.2796484699938446e-09,3.240000009536743,1e-08,B
fiveyear_2050,B,2045,scenario_1.0,Solved,8.953961128099763e-09,3.806999921798706,1e-08,B
fiveyear_2050,B,2050,scenario_0.25,Solved,2.0037305148434823e-10,3.749000072479248,1e-08,B
fiveyear_2050,B,2050,scenario_0.5,Solved,6.1204445955809206e-09,3.305000066757202,1e-08,B
fiveyear_2050,B,2050,scenario_0.75,Solved,1.1034290425815383e-09,3.430999994277954,1e-08,B
fiveyear_2050,B,2050,scenario_1.0,Solved,7.061544238240458e-09,11.421000003814695,1e-08,B
fiveyear_2050,C,2017,unshocked_core,Solved,6.92959023496087e-11,0.8029999732971191,1e-08,C
fiveyear_2050,C,2017,scenario_0.25,Solved,8.032762011112027e-09,2.2880001068115234,1e-08,C
fiveyear_2050,C,2017,scenario_0.5,Solved,5.264790825521004e-09,2.4150002002716064,1e-08,C
fiveyear_2050,C,2017,scenario_0.75,Solved,2.758842043704135e-10,2.213000059127808,1e-08,C
fiveyear_2050,C,2017,scenario_1.0,Solved,1.356960099840876e-10,2.072999954223633,1e-08,C
fiveyear_2050,C,2020,scenario_0.25,Solved,8.891398728394506e-11,1.68999981880188,1e-08,C
fiveyear_2050,C,2020,scenario_0.5,Solved,3.1653542009735247e-09,1.4210000038146973,1e-08,C
fiveyear_2050,C,2020,scenario_0.75,Solved,1.8350476693740347e-10,1.3939998149871826,1e-08,C
fiveyear_2050,C,2020,scenario_1.0,Solved,1.7178685141061576e-09,1.43500018119812,1e-08,C
fiveyear_2050,C,2025,scenario_0.25,Solved,5.215876619502069e-10,1.4769999980926514,1e-08,C
fiveyear_2050,C,2025,scenario_0.5,Solved,7.710159621865387e-09,1.4890000820159912,1e-08,C
fiveyear_2050,C,2025,scenario_0.75,Solved,6.815495723344611e-09,1.4760000705718994,1e-08,C
fiveyear_2050,C,2025,scenario_1.0,Solved,1.8189894035458562e-10,1.7320001125335691,1e-08,C
fiveyear_2050,C,2030,scenario_0.25,Solved,9.462053363051835e-11,1.996000051498413,1e-08,C
fiveyear_2050,C,2030,scenario_0.5,Solved,5.560436555640536e-10,1.5920000076293943,1e-08,C
fiveyear_2050,C,2030,scenario_0.75,Solved,7.83113840441274e-09,1.494999885559082,1e-08,C
fiveyear_2050,C,2030,scenario_1.0,Solved,3.0641444936918555e-10,2.309000015258789,1e-08,C
