region,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
Canada,2030,S1_NO_CN,real_household_consumption,1438.5962829258171,1438.8751226550305,0.27883972921335953,0.019382764471367553
Canada,2030,S2_CAPACITY,real_household_consumption,1438.5962829258171,1404.8867108472716,-33.709572078545534,-2.3432266910899426
United States,2030,S1_NO_CN,real_household_consumption,22294.687062331897,22272.64303686732,-22.044025464576407,-0.0988756890955469
United States,2030,S2_CAPACITY,real_household_consumption,22294.687062331897,22107.408488318888,-187.27857401300935,-0.8400143652584692
Rest of America,2030,S1_NO_CN,real_household_consumption,3812.6956726205376,3812.5925512062736,-0.10312141426402377,-0.0027046851655261137
Rest of America,2030,S2_CAPACITY,real_household_consumption,3812.6956726205376,3759.646438067282,-53.0492345532557,-1.3913839212032877
Brazil,2030,S1_NO_CN,real_household_consumption,1996.7275954348045,1975.4816065088216,-21.24598892598283,-1.0640404316822363
Brazil,2030,S2_CAPACITY,real_household_consumption,1996.7275954348045,1951.277625322295,-45.44997011250939,-2.2762228666756252
"EU, UK and EFTA",2030,S1_NO_CN,real_household_consumption,13790.829612738495,13699.742613461742,-91.08699927675298,-0.6604896285036873
"EU, UK and EFTA",2030,S2_CAPACITY,real_household_consumption,13790.829612738495,13646.773187017914,-144.0564257205806,-1.0445812889132984
Eastern Europe,2030,S1_NO_CN,real_household_consumption,295.2793566861494,294.91864998515996,-0.36070670098945357,-0.12215777798948758
Eastern Europe,2030,S2_CAPACITY,real_household_consumption,295.2793566861494,287.56937653739504,-7.709980148754369,-2.6110799736499217
Russia,2030,S1_NO_CN,real_household_consumption,1331.5157675392923,1334.819860052284,3.3040925129917014,0.24814520364995973
Russia,2030,S2_CAPACITY,real_household_consumption,1331.5157675392923,1217.088117117924,-114.4276504213683,-8.593788613771832
North Africa,2030,S1_NO_CN,real_household_consumption,856.8359435169592,858.2605996457891,1.424656128829838,0.16626941710477391
North Africa,2030,S2_CAPACITY,real_household_consumption,856.8359435169592,819.8151506491615,-37.020792867797695,-4.32063957492756
Sub Saharan,2030,S1_NO_CN,real_household_consumption,1532.186026649468,1532.8769432457245,0.6909165962565567,0.04509351894870295
Sub Saharan,2030,S2_CAPACITY,real_household_consumption,1532.186026649468,1495.4603271537762,-36.72569949569174,-2.3969478155340083
South Africa,2030,S1_NO_CN,real_household_consumption,325.09750490790924,325.05904038493327,-0.03846452297597125,-0.011831688153640902
South Africa,2030,S2_CAPACITY,real_household_consumption,325.09750490790924,311.1336889419499,-13.963815965959327,-4.295270112858871
Australia_Oceania,2035,S1_NO_CN,real_household_consumption,1525.8262238606878,1524.4244250172567,-1.401798843431152,-0.09187146095079436
Australia_Oceania,2035,S2_CAPACITY,real_household_consumption,1525.8262238606878,1483.6270627434442,-42.19916111724365,-2.7656597099550537
China,2035,S1_NO_CN,real_household_consumption,15662.112602464904,15657.061841792982,-5.050760671922035,-0.03224827199318658
China,2035,S2_CAPACITY,real_household_consumption,15662.112602464904,15353.297296401188,-308.815306063716,-1.9717346816617487
Japan,2035,S1_NO_CN,real_household_consumption,3875.8529952593385,3867.201718201451,-8.651277057887455,-0.2232096281378336
Japan,2035,S2_CAPACITY,real_household_consumption,3875.8529952593385,3862.6768328022376,-13.176162457100872,-0.3399551653072755
South Korea,2035,S1_NO_CN,real_household_consumption,1267.5561184334936,1261.8591282291836,-5.696990204309941,-0.4494467835751962
South Korea,2035,S2_CAPACITY,real_household_consumption,1267.5561184334936,1259.098490975073,-8.457627458420575,-0.6672388965999324
Rest of World,2035,S1_NO_CN,real_household_consumption,70.03531201441757,70.01930600438858,-0.01600601002898827,-0.022854199643878578
Rest of World,2035,S2_CAPACITY,real_household_consumption,70.03531201441757,66.0131031124618,-4.022208901955764,-5.7431155602301684
Southeast Asia,2035,S1_NO_CN,real_household_consumption,3619.588509574937,3619.1858655657215,-0.402644009215237,-0.011124027169113794
Southeast Asia,2035,S2_CAPACITY,real_household_consumption,3619.588509574937,3527.0843107153332,-92.50419885960355,-2.5556551142457544
"Central, Western and South Asia",2035,S1_NO_CN,real_household_consumption,5866.170105713532,5873.932193286999,7.762087573466488,0.1323195105765237
"Central, Western and South Asia",2035,S2_CAPACITY,real_household_consumption,5866.170105713532,5410.591170847276,-455.57893486625653,-7.766207366242785
India,2035,S1_NO_CN,real_household_consumption,4673.318681012478,4667.7923572680675,-5.526323744410547,-0.11825266200791736
India,2035,S2_CAPACITY,real_household_consumption,4673.318681012478,4550.522394619182,-122.79628639329621,-2.627603524925724
Canada,2035,S1_NO_CN,real_household_consumption,1607.3351119260399,1607.5834074580994,0.24829553205950106,0.015447651844174121
Canada,2035,S2_CAPACITY,real_household_consumption,1607.3351119260399,1573.0615397795502,-34.27357214648964,-2.132322742917017
United States,2035,S1_NO_CN,real_household_consumption,24432.398628324405,24409.45056743945,-22.94806088495534,-0.09392471543236743
United States,2035,S2_CAPACITY,real_household_consumption,24432.398628324405,24268.188127167414,-164.21050115699109,-0.6721014324259689
Rest of America,2035,S1_NO_CN,real_household_consumption,4396.884669156185,4396.706528663995,-0.17814049218941364,-0.00405151614366999
Rest of America,2035,S2_CAPACITY,real_household_consumption,4396.884669156185,4339.5895264951105,-57.29514266107435,-1.3030849561052957
Brazil,2035,S1_NO_CN,real_household_consumption,2283.8758816915815,2260.931262299256,-22.94461939232542,-1.0046351282159518
Brazil,2035,S2_CAPACITY,real_household_consumption,2283.8758816915815,2235.3667714843173,-48.50911020726426,-2.1239818939431756
"EU, UK and EFTA",2035,S1_NO_CN,real_household_consumption,15270.417886094832,15173.412275495211,-97.00561059962092,-0.6352518400164658
"EU, UK and EFTA",2035,S2_CAPACITY,real_household_consumption,15270.417886094832,15113.36200420468,-157.0558818901518,-1.0284976027615205
Eastern Europe,2035,S1_NO_CN,real_household_consumption,341.8931021343803,341.46370374300454,-0.42939839137574154,-0.12559434182645998
Eastern Europe,2035,S2_CAPACITY,real_household_consumption,341.8931021343803,333.92336494250077,-7.969737191879517,-2.331061124698278
Russia,2035,S1_NO_CN,real_household_consumption,1452.6807571382783,1456.8040839243665,4.123326786088228,0.28384259692480635
Russia,2035,S2_CAPACITY,real_household_consumption,1452.6807571382783,1325.1723762483014,-127.50838088997693,-8.777453701607726
North Africa,2035,S1_NO_CN,real_household_consumption,993.2209299509731,995.0151384854163,1.7942085344432144,0.18064546168311005
North Africa,2035,S2_CAPACITY,real_household_consumption,993.2209299509731,951.4098527031375,-41.811077247835556,-4.209645204506455
Sub Saharan,2035,S1_NO_CN,real_household_consumption,1941.9407989321369,1942.7221183472743,0.7813194151374319,0.04023394614125597
Sub Saharan,2035,S2_CAPACITY,real_household_consumption,1941.9407989321369,1897.8185092579774,-44.12228967415945,-2.272071821057679
South Africa,2035,S1_NO_CN,real_household_consumption,389.19836121226166,389.1354175731177,-0.06294363914395262,-0.01617263725055212
South Africa,2035,S2_CAPACITY,real_household_consumption,389.19836121226166,373.4791550723893,-15.71920613987237,-4.038867504711666
Australia_Oceania,2040,S1_NO_CN,real_household_consumption,1758.5060635036916,1757.074062719898,-1.4320007837936828,-0.0814328033046715
Australia_Oceania,2040,S2_CAPACITY,real_household_consumption,1758.5060635036916,1712.9418985713207,-45.564164932370886,-2.5910723811544725
