scenario,year,region,sector,CO2_Mt
S0_BASELINE,2030,"Central, Western and South Asia",Animal products nec,11.213864929990793
S0_BASELINE,2030,"Central, Western and South Asia",Forestry,1.0554223040736788
S0_BASELINE,2030,"Central, Western and South Asia",Coal,7.539866657706116
S0_BASELINE,2030,"Central, Western and South Asia",Oil,20.655248928420505
S0_BASELINE,2030,"Central, Western and South Asia",Gas,61.16166825084464
S0_BASELINE,2030,"Central, Western and South Asia",Mine,38.899249675805855
S0_BASELINE,2030,"Central, Western and South Asia",Manufac,606.5178353961935
S0_BASELINE,2030,"Central, Western and South Asia",Petro,159.85151362715956
S0_BASELINE,2030,"Central, Western and South Asia",WatWaste,29.894846754875857
S0_BASELINE,2030,"Central, Western and South Asia",OthServ,198.10251141158037
S0_BASELINE,2030,"Central, Western and South Asia",Transport,736.8565399346976
S0_BASELINE,2030,"Central, Western and South Asia",Power,1658.8544231296949
S0_BASELINE,2030,"Central, Western and South Asia",Households,698.4581937386163
S0_BASELINE,2030,India,Rice,25.887952912386577
S0_BASELINE,2030,India,Crops nec,27.799567934686213
S0_BASELINE,2030,India,"Bovine cattle, sheep and goats, horses",0.0144053858083529
S0_BASELINE,2030,India,Animal products nec,1.4904841062333811
S0_BASELINE,2030,India,Forestry,5.24728722747223
S0_BASELINE,2030,India,Coal,0.3690872329477528
S0_BASELINE,2030,India,Oil,0.0060761472423829
S0_BASELINE,2030,India,Gas,1.5512829844717055
S0_BASELINE,2030,India,Mine,16.03148261657198
S0_BASELINE,2030,India,Manufac,581.6858990872566
S0_BASELINE,2030,India,Petro,119.75563181925163
S0_BASELINE,2030,India,WatWaste,14.675489806877277
S0_BASELINE,2030,India,OthServ,103.69197931930132
S0_BASELINE,2030,India,Transport,405.4787019095357
S0_BASELINE,2030,India,Power,1814.7821721907376
S0_BASELINE,2030,India,Households,326.80120662001605
S0_BASELINE,2030,Canada,Rice,0.300451486062385
S0_BASELINE,2030,Canada,Crops nec,17.231707605654805
S0_BASELINE,2030,Canada,"Bovine cattle, sheep and goats, horses",1.1823974230611085
S0_BASELINE,2030,Canada,Animal products nec,5.133918323288081
S0_BASELINE,2030,Canada,Forestry,7.3886471788051455
S0_BASELINE,2030,Canada,Coal,0.3564400928781221
S0_BASELINE,2030,Canada,Oil,23.311640378839304
S0_BASELINE,2030,Canada,Gas,79.15167708146382
S0_BASELINE,2030,Canada,Mine,13.413474304865744
S0_BASELINE,2030,Canada,Manufac,67.20922925340352
S0_BASELINE,2030,Canada,Petro,23.15045519436897
S0_BASELINE,2030,Canada,WatWaste,0.3523655140589619
S0_BASELINE,2030,Canada,OthServ,68.07254677347358
S0_BASELINE,2030,Canada,Transport,173.8888413357935
S0_BASELINE,2030,Canada,Power,175.57304252277237
S0_BASELINE,2030,Canada,Households,128.6147684480274
S0_BASELINE,2030,United States,Rice,0.5987966539366429
S0_BASELINE,2030,United States,Crops nec,39.890134587438446
S0_BASELINE,2030,United States,"Bovine cattle, sheep and goats, horses",9.937843870375794
S0_BASELINE,2030,United States,Animal products nec,16.96346576767054
S0_BASELINE,2030,United States,Forestry,5.510345744819506
S0_BASELINE,2030,United States,Coal,5.131475972471737
S0_BASELINE,2030,United States,Oil,7.538737195234407
S0_BASELINE,2030,United States,Gas,77.75225304395484
S0_BASELINE,2030,United States,Mine,21.23791526961364
S0_BASELINE,2030,United States,Manufac,410.2294578940293
S0_BASELINE,2030,United States,Petro,208.3840437008381
S0_BASELINE,2030,United States,WatWaste,6.808481086578276
S0_BASELINE,2030,United States,OthServ,360.9057304573821
S0_BASELINE,2030,United States,Transport,1538.9689986866242
S0_BASELINE,2030,United States,Power,1963.344962476874
S0_BASELINE,2030,United States,Households,1228.1499983904764
S0_BASELINE,2030,Rest of America,Rice,1.36422648837478
S0_BASELINE,2030,Rest of America,Crops nec,23.10782437715618
S0_BASELINE,2030,Rest of America,"Bovine cattle, sheep and goats, horses",3.2196915416963483
S0_BASELINE,2030,Rest of America,Animal products nec,8.795677955881581
S0_BASELINE,2030,Rest of America,Forestry,2.350344656310623
S0_BASELINE,2030,Rest of America,Coal,0.0574736485485515
S0_BASELINE,2030,Rest of America,Oil,7.095596211780568
S0_BASELINE,2030,Rest of America,Gas,46.75111975767986
S0_BASELINE,2030,Rest of America,Mine,35.06382850155665
S0_BASELINE,2030,Rest of America,Manufac,200.93656903078835
S0_BASELINE,2030,Rest of America,Petro,84.42229934519516
S0_BASELINE,2030,Rest of America,WatWaste,3.2843191652502552
S0_BASELINE,2030,Rest of America,OthServ,74.36167190136905
S0_BASELINE,2030,Rest of America,Transport,439.3553756742494
S0_BASELINE,2030,Rest of America,Power,474.6947889052373
S0_BASELINE,2030,Rest of America,Households,276.65179663606546
S0_BASELINE,2030,Brazil,Rice,0.7652405595354047
S0_BASELINE,2030,Brazil,Crops nec,29.554414005649765
S0_BASELINE,2030,Brazil,"Bovine cattle, sheep and goats, horses",3.7813458171619496
S0_BASELINE,2030,Brazil,Animal products nec,8.501489439639005
S0_BASELINE,2030,Brazil,Forestry,1.6913799146233648
S0_BASELINE,2030,Brazil,Coal,0.0197215255183553
S0_BASELINE,2030,Brazil,Oil,6.730062465053577
S0_BASELINE,2030,Brazil,Gas,10.436596558355568
S0_BASELINE,2030,Brazil,Mine,15.710482371229848
S0_BASELINE,2030,Brazil,Manufac,161.423150497613
S0_BASELINE,2030,Brazil,Petro,34.715170119003446
S0_BASELINE,2030,Brazil,WatWaste,0.6266577475720269
S0_BASELINE,2030,Brazil,OthServ,9.368258147783685
S0_BASELINE,2030,Brazil,Transport,202.43463217570343
S0_BASELINE,2030,Brazil,Power,137.0818361016403
S0_BASELINE,2030,Brazil,Households,107.85817357300748
S0_BASELINE,2030,"EU, UK and EFTA",Rice,0.3235774080908644
S0_BASELINE,2030,"EU, UK and EFTA",Crops nec,29.137289897405783
S0_BASELINE,2030,"EU, UK and EFTA","Bovine cattle, sheep and goats, horses",2.4956921410729
S0_BASELINE,2030,"EU, UK and EFTA",Animal products nec,15.239496725483786
S0_BASELINE,2030,"EU, UK and EFTA",Forestry,3.63951368606799
S0_BASELINE,2030,"EU, UK and EFTA",Coal,0.164915697439758
S0_BASELINE,2030,"EU, UK and EFTA",Oil,0.9569531048626764
S0_BASELINE,2030,"EU, UK and EFTA",Gas,7.165402020246909
S0_BASELINE,2030,"EU, UK and EFTA",Mine,6.734853752808431
S0_BASELINE,2030,"EU, UK and EFTA",Manufac,313.2456588571807
S0_BASELINE,2030,"EU, UK and EFTA",Petro,99.06551478983128
S0_BASELINE,2030,"EU, UK and EFTA",WatWaste,2.987570684401155
