scenario,year,region,sector,real_output,labor_demand,capital_demand
S0_BASELINE,2017,Australia_Oceania,Rice,0.2673517809886513,0.0453512842955588,0.0252702188010889
S0_BASELINE,2017,Australia_Oceania,Crops nec,44.01790941382706,7.432773569217898,3.987633077716324
S0_BASELINE,2017,Australia_Oceania,"Bovine cattle, sheep and goats, horses",16.43600823969194,2.949280656700036,1.4666205557031704
S0_BASELINE,2017,Australia_Oceania,Animal products nec,31.175483152759114,5.588674543836897,3.0253017583833244
S0_BASELINE,2017,Australia_Oceania,Forestry,12.704810701413239,1.2951481999797694,2.45887544529803
S0_BASELINE,2017,Australia_Oceania,Coal,70.74847777623685,3.066433201031305,16.277364200577424
S0_BASELINE,2017,Australia_Oceania,Oil,8.860133746418022,0.2755788905597234,2.1890673734092587
S0_BASELINE,2017,Australia_Oceania,Gas,52.06556929976177,2.253484295936035,16.11602221472681
S0_BASELINE,2017,Australia_Oceania,Mine,152.17256519856502,13.715051965148376,40.106568060660926
S0_BASELINE,2017,Australia_Oceania,Manufac,437.6333114916207,66.1688627695729,36.723104055740535
S0_BASELINE,2017,Australia_Oceania,Petro,24.35001597087141,0.2957777207550565,1.314166132299244
S0_BASELINE,2017,Australia_Oceania,Power,52.20824458709656,4.083812522506759,11.114403574678844
S0_BASELINE,2017,Australia_Oceania,WatWaste,38.23002997323284,5.15091531201188,8.105613541097814
S0_BASELINE,2017,Australia_Oceania,OthServ,2802.348210948662,623.8751156101102,400.7080502565361
S0_BASELINE,2017,Australia_Oceania,Transport,166.74744470281928,27.631803251519845,22.22711731642972
S0_BASELINE,2017,China,Rice,147.877774119736,30.83106257629687,27.290180238047
S0_BASELINE,2017,China,Crops nec,936.3705491563983,197.8783566647078,163.87883014449875
S0_BASELINE,2017,China,"Bovine cattle, sheep and goats, horses",116.1607807778544,18.73616974483477,14.99595158434408
S0_BASELINE,2017,China,Animal products nec,579.5536922768814,112.79526017617684,49.41119096545513
S0_BASELINE,2017,China,Forestry,98.22109078753367,43.16415087627602,2.2575853376137864
S0_BASELINE,2017,China,Coal,226.599936420277,31.1086907273034,22.34203611167697
S0_BASELINE,2017,China,Oil,76.14307814348662,5.8027295700513175,12.321325674782598
S0_BASELINE,2017,China,Gas,9.686819031069025,0.2196257286851184,0.2531657226414912
S0_BASELINE,2017,China,Mine,386.1633202411618,44.82128025992856,47.13370170819971
S0_BASELINE,2017,China,Manufac,18118.11791292237,1415.3649785513926,1488.8689885997428
S0_BASELINE,2017,China,Petro,609.6238929282724,9.926175323661782,24.41427509634768
S0_BASELINE,2017,China,Power,788.0727859266354,84.95993252754974,142.18540325482147
S0_BASELINE,2017,China,WatWaste,60.40538943243777,11.586318071279107,10.56984760860324
