scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn
S0_BASELINE,2030,Australia_Oceania,Rice,0.0048662628505547,1.7046095375877928,0.0106155138050954,0.0062275339711015
S0_BASELINE,2030,Australia_Oceania,Crops nec,5.889236858080854,1.6689702520012957,12.57847987007358,7.536671286066514
S0_BASELINE,2030,Australia_Oceania,"Bovine cattle, sheep and goats, horses",0.1643132015493475,1.6328604532028956,0.3433539677006043,0.2102775931060281
S0_BASELINE,2030,Australia_Oceania,Animal products nec,2.12245344480049,1.6786529658468308,4.5595253730996665,2.7161810685356222
S0_BASELINE,2030,Australia_Oceania,Forestry,0.1341363027070103,1.794460834243307,0.3080355615712135,0.1716591167521794
S0_BASELINE,2030,Australia_Oceania,Coal,0.0030226292418755,2.8338976820117594,0.0109619946884253,0.0038681688988278
S0_BASELINE,2030,Australia_Oceania,Oil,1.5515188926467796e-05,1.4933281346266518,2.965055708601078e-05,1.9855351626504632e-05
S0_BASELINE,2030,Australia_Oceania,Gas,1.0620073545539743,2.2986139924350297,3.124022205463709,1.3590895290964768
S0_BASELINE,2030,Australia_Oceania,Mine,0.0629679877012846,1.6778384653865197,0.135204299678193,0.0805824300118208
S0_BASELINE,2030,Australia_Oceania,Manufac,169.38650589691366,1.5835190086100277,343.2595527641916,216.77009090567583
S0_BASELINE,2030,Australia_Oceania,Petro,7.935711381943195,2.8837136107284564,29.28589718755132,10.155620219878976
S0_BASELINE,2030,Australia_Oceania,Power,10.848757572255916,2.470061080523571,34.29321790596189,13.8835505633367
S0_BASELINE,2030,Australia_Oceania,WatWaste,8.690414582856775,1.5105162120594149,16.79911595930715,11.121440357982143
S0_BASELINE,2030,Australia_Oceania,OthServ,796.945838125643,1.497579769426357,1527.3526169866366,1019.8806380482488
S0_BASELINE,2030,Australia_Oceania,Transport,29.055639655635343,1.353936036403912,50.3441636173962,37.18356205964202
S0_BASELINE,2030,China,Rice,30.023860404550785,2.222424300254882,85.39138369800943,38.42262869746755
S0_BASELINE,2030,China,Crops nec,231.69899580185933,2.17727018859218,645.5903342627316,296.5136551249841
S0_BASELINE,2030,China,"Bovine cattle, sheep and goats, horses",14.671269521301408,2.177218212753456,40.87805238255734,18.77535845510006
S0_BASELINE,2030,China,Animal products nec,214.5900599234887,2.365325860509023,649.5627665737287,274.6187223001047
S0_BASELINE,2030,China,Forestry,2.6286875754895167,1.4896141483162433,5.011102692344955,3.3640271658069536
S0_BASELINE,2030,China,Coal,4.899462489060201,2.306446817351531,14.461469427002694,6.270020857244065
S0_BASELINE,2030,China,Oil,0.0003627219932508,1.484362422908646,0.0006890240526629,0.0004641886845577
S0_BASELINE,2030,China,Gas,6.580652459711225,1.825577903862428,15.374105877179698,8.42150304652653
