scenario,year,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe,group,final_energy_share_pct,household_Mtoe_S0,nonenergy_industries_Mtoe_S0,energy_industries_Mtoe_S0,power_sector_Mtoe_S0,modeled_final_demand_Mtoe_S0,group_S0,final_energy_share_pct_S0,modeled_final_demand_Mtoe_gap,modeled_final_demand_Mtoe_pct
S1_NO_CN,2017,Coal,75.0993724832252,662.2795537095174,732.2917919242732,2300.07962296821,737.3789261927426,GLOBAL,8.317120797367233,75.11067051288468,663.1334568590398,733.1478781472493,2293.264629712265,738.2441273719245,GLOBAL,8.31747136185431,-0.865201179181895,-0.11719716379755366
S2_CAPACITY,2017,Coal,70.98918054415205,178.65766319766826,753.3065510871928,1389.460654938511,249.6468437418203,GLOBAL,3.447319891865136,75.11067051288468,663.1334568590398,733.1478781472493,2293.264629712265,738.2441273719245,GLOBAL,8.31747136185431,-488.5972836301042,-66.1837006911876
S1_NO_CN,2017,Electricity,653.8557218733454,1647.7798664391714,94.4740093107224,129.6395196541732,2301.635588312517,GLOBAL,25.960846641433363,655.451758824042,1654.8829662676546,94.75512045405095,130.0403357727458,2310.3347250916963,GLOBAL,26.02952356784101,-8.699136779179298,-0.3765314473570072
S2_CAPACITY,2017,Electricity,595.8481734640657,1474.5624351535505,57.85403204567225,111.05346550562952,2070.410608617616,GLOBAL,28.58985744998015,655.451758824042,1654.8829662676546,94.75512045405095,130.0403357727458,2310.3347250916963,GLOBAL,26.02952356784101,-239.92411647408017,-10.384820600597502
S1_NO_CN,2017,Gas,510.2080555124463,1100.223450233934,689.8852518917535,1245.959770719585,1610.4315057463805,GLOBAL,18.16454592530295,510.7432890282648,1099.8963279484406,689.9972871636253,1240.3601955891609,1610.6396169767054,GLOBAL,18.14636702382146,-0.20811123032490286,-0.012921030138048118
S2_CAPACITY,2017,Gas,412.1893950497756,679.294692701497,498.94597492991926,983.5142919748783,1091.4840877512725,GLOBAL,15.0720704133978,510.7432890282648,1099.8963279484406,689.9972871636253,1240.3601955891609,1610.6396169767054,GLOBAL,18.14636702382146,-519.1555292254329,-32.23287964317728
S1_NO_CN,2017,Oil,0.1290015119117745,7.218633471780945,3965.4150472541,44.29900092444648,7.347634983692719,GLOBAL,0.0828762059282936,0.1290718638626843,7.223965545481278,3963.439059072916,44.216092877339406,7.353037409343964,GLOBAL,0.0828434332320131,-0.005402425651245046,-0.07347202727922814
S2_CAPACITY,2017,Oil,0.1326316630007414,6.761142590982323,3714.4956592990634,37.01633194865653,6.893774253983066,GLOBAL,0.0951946548155076,0.1290718638626843,7.223965545481278,3963.439059072916,44.216092877339406,7.353037409343964,GLOBAL,0.0828434332320131,-0.45926315536089746,-6.245897168662342
S1_NO_CN,2017,Oil_pct,1014.2736722925256,3194.7282303069915,830.8067772892556,296.66186281812554,4209.001902599517,GLOBAL,47.47461042996815,1014.9424857854189,3194.3101040689767,830.2779927819935,295.6990044538877,4209.252589854395,GLOBAL,47.42379461325121,-0.25068725487835763,-0.005955623938620164
S2_CAPACITY,2017,Oil_pct,922.8435882822106,2900.487210527802,612.8356302041769,263.3688040617648,3823.330798810012,GLOBAL,52.7955575899414,1014.9424857854189,3194.3101040689767,830.2779927819935,295.6990044538877,4209.252589854395,GLOBAL,47.42379461325121,-385.92179104438355,-9.168416074021664
S1_NO_CN,2020,Coal,76.94633236306576,638.1019728251764,780.4111824923201,2457.3442766966737,715.0483051882422,GLOBAL,7.52416963238845,76.96498895753933,639.4462791410492,781.8148492858973,2446.786346903812,716.4112680985885,GLOBAL,7.52395677926038,-1.3629629103462548,-0.19024867014775815
S2_CAPACITY,2020,Coal,72.20585284630394,198.49591577742032,852.3334532699205,1544.4935055737635,270.70176862372426,GLOBAL,3.430997901180264,76.96498895753933,639.4462791410492,781.8148492858973,2446.786346903812,716.4112680985885,GLOBAL,7.52395677926038,-445.70949947486423,-62.214194460929136
S1_NO_CN,2020,Electricity,721.7144200116753,1779.0087492103596,103.64695982442004,141.8039738086276,2500.723169222035,GLOBAL,26.3141177908494,724.7444441654326,1791.8653212962058,104.13051899315307,142.6247261256321,2516.6097654616383,GLOBAL,26.43015813507872,-15.886596239603477,-0.6312697525708478
S2_CAPACITY,2020,Electricity,656.1887952794561,1603.5823501592622,63.415515213518695,122.19785747284229,2259.7711454387186,GLOBAL,28.64137200346488,724.7444441654326,1791.8653212962058,104.13051899315307,142.6247261256321,2516.6097654616383,GLOBAL,26.43015813507872,-256.8386200229197,-10.205738829587913
S1_NO_CN,2020,Gas,550.078459568741,1098.8620530154758,719.0455319594867,1288.8175591084682,1648.9405125842168,GLOBAL,17.351146825157485,551.0766884541108,1098.3994604773943,719.2674286058923,1279.367405065509,1649.476148931505,GLOBAL,17.323271988616497,-0.5356363472881185,-0.03247311867074235
S2_CAPACITY,2020,Gas,438.3746389215098,700.9280229712259,532.7626360400046,1027.6363127693548,1139.3026618927356,GLOBAL,14.440042492653609,551.0766884541108,1098.3994604773943,719.2674286058923,1279.367405065509,1649.476148931505,GLOBAL,17.323271988616497,-510.1734870387693,-30.929424918890078
S1_NO_CN,2020,Oil,0.1376884577289663,7.014821411603694,4079.312464450194,46.97375521801782,7.152509869332661,GLOBAL,0.0752630237198084,0.1378370409495152,7.023916820994694,4076.035517820542,46.80288285694605,7.16175386194421,GLOBAL,0.0752147947979428,-0.009243992611549068,-0.12907442492081947
S2_CAPACITY,2020,Oil,0.1427727074532106,6.76800997200484,3821.957636357964,39.43926002726345,6.910782679458052,GLOBAL,0.087590417267246,0.1378370409495152,7.023916820994694,4076.035517820542,46.80288285694605,7.16175386194421,GLOBAL,0.0752147947979428,-0.25097118248615846,-3.5043257185890915
S1_NO_CN,2020,Oil_pct,1126.1469080040515,3505.340328594562,950.9195862774573,319.00284563641907,4631.487236598613,GLOBAL,48.73530272788486,1127.468841357059,3504.60778134192,949.841718911214,317.1920140810119,4632.076622698979,GLOBAL,48.64739830224646,-0.5893861003660277,-0.012724014483650946
S2_CAPACITY,2020,Oil_pct,1021.1979641787584,3192.0000904240146,703.5566031625991,281.4746066029503,4213.1980546027735,GLOBAL,53.39999718543401,1127.468841357059,3504.60778134192,949.841718911214,317.1920140810119,4632.076622698979,GLOBAL,48.64739830224646,-418.8785680962055,-9.042997390059082
S1_NO_CN,2025,Coal,77.2436000126122,512.0990085706812,838.029915360557,2771.133576467193,589.3426085832934,GLOBAL,6.134307546151437,77.28234842399591,514.284316732385,841.0511708821751,2752.926522535329,591.566665156381,GLOBAL,6.136992355491679,-2.2240565730875232,-0.37596042915967764
S2_CAPACITY,2025,Coal,73.24075504598287,223.54742408010972,978.288340796198,1942.747612993933,296.78817912609264,GLOBAL,3.5706059430193418,77.28234842399591,514.284316732385,841.0511708821751,2752.926522535329,591.566665156381,GLOBAL,6.136992355491679,-294.7784860302883,-49.83013807114427
S1_NO_CN,2025,Electricity,692.7900449449108,1406.5123680534025,80.62881667886461,143.95337222690824,2099.302412998313,GLOBAL,21.85107006714825,698.0887386956439,1428.4186665155046,81.21841626198574,146.27342099934438,2126.5074052111486,GLOBAL,22.06067457541306,-27.204992212835805,-1.279327414810226
S2_CAPACITY,2025,Electricity,631.4865771525226,1252.4384189577368,50.359052359415685,125.65307748723676,1883.9249961102596,GLOBAL,22.6651674845044,698.0887386956439,1428.4186665155046,81.21841626198574,146.27342099934438,2126.5074052111486,GLOBAL,22.06067457541306,-242.58240910088898,-11.407550639439325
S1_NO_CN,2025,Gas,547.1511682286509,1054.824696346438,738.530847727824,1617.0785242529296,1601.975864575089,GLOBAL,16.674532761916467,549.0725108048325,1054.809617693544,739.1803842784634,1597.9081697325207,1603.8821284983765,GLOBAL,16.638889480194514,-1.9062639232874972,-0.11885311828196649
S2_CAPACITY,2025,Gas,452.969002248798,771.555166183998,589.2378086963334,1374.136734046257,1224.524168432796,GLOBAL,14.732033081814077,549.0725108048325,1054.809617693544,739.1803842784634,1597.9081697325207,1603.8821284983765,GLOBAL,16.638889480194514,-379.3579600655805,-23.65248376579592
S1_NO_CN,2025,Oil,0.1424969179126296,7.429241172408651,4284.133944152818,61.821218384257634,7.571738090321281,GLOBAL,0.0788121704225557,0.1429214334047767,7.453482650601188,4276.864712964144,61.47551019539865,7.596404084005966,GLOBAL,0.0788061203219532,-0.02466599368468536,-0.32470618218716113
S2_CAPACITY,2025,Oil,0.1485332686935535,7.550609095042076,4043.2985064182863,53.49513466527739,7.699142363735629,GLOBAL,0.0926270162142368,0.1429214334047767,7.453482650601188,4276.864712964144,61.47551019539865,7.596404084005966,GLOBAL,0.0788061203219532,0.10273827972966298,1.3524593820117572
S1_NO_CN,2025,Oil_pct,1237.634020122628,4071.494217021423,1182.77780197628,384.8810259365758,5309.128237144051,GLOBAL,55.26127745436128,1241.2346711037787,4068.570751657688,1179.159844538467,380.6264509943275,5309.805422761468,GLOBAL,55.08463746857879,-0.6771856174173081,-0.012753492143317079
S2_CAPACITY,2025,Oil_pct,1126.1474382587462,3772.899639907713,894.0507404079033,336.5246799985073,4899.04707816646,GLOBAL,58.93956647444795,1241.2346711037787,4068.570751657688,1179.159844538467,380.6264509943275,5309.805422761468,GLOBAL,55.08463746857879,-410.75834459500857,-7.735845513928185
S1_NO_CN,2030,Coal,79.55123669853313,519.8046027725671,936.8913804926505,2744.8660812530434,599.3558394711002,GLOBAL,5.701542790639183,79.61880224057019,523.1086201416002,940.0482397808772,2720.9645907141216,602.7274223821704,GLOBAL,5.708140164285285,-3.3715829110701634,-0.5593876744058858
