scenario,year,region,sector,real_output,labor_demand,capital_demand,real_output_S0,labor_demand_S0,capital_demand_S0,real_output_gap,real_output_pct
S1_NO_CN,2017,Australia_Oceania,Rice,0.2671793367616372,0.045321395456499,0.0252508343030843,0.2673517809886513,0.0453512842955588,0.0252702188010889,-0.00017244422701412354,-0.06450087086625525
S2_CAPACITY,2017,Australia_Oceania,Rice,0.275243307931426,0.0473149098314006,0.0266595028947104,0.2673517809886513,0.0453512842955588,0.0252702188010889,0.007891526942774674,2.951739058401731
S1_NO_CN,2017,Australia_Oceania,Crops nec,43.9974898072586,7.429330019387147,3.9853547400954334,44.01790941382706,7.432773569217898,3.987633077716324,-0.02041960656845987,-0.0463893148047726
S2_CAPACITY,2017,Australia_Oceania,Crops nec,44.75816385014344,7.660624420446463,4.155880738003432,44.01790941382706,7.432773569217898,3.987633077716324,0.740254436316377,1.6817119353783885
S1_NO_CN,2017,Australia_Oceania,"Bovine cattle, sheep and goats, horses",16.426495440503267,2.947630421303805,1.4656414603230354,16.43600823969194,2.949280656700036,1.4666205557031704,-0.009512799188673426,-0.05787779520395108
S2_CAPACITY,2017,Australia_Oceania,"Bovine cattle, sheep and goats, horses",16.794777345637986,3.0541721966962285,1.5357828120960573,16.43600823969194,2.949280656700036,1.4666205557031704,0.3587691059460454,2.1828238384526983
S1_NO_CN,2017,Australia_Oceania,Animal products nec,31.159416122591686,5.5858895772328925,3.0234672830316622,31.175483152759117,5.588674543836897,3.0253017583833244,-0.01606703016743083,-0.051537389456653385
S2_CAPACITY,2017,Australia_Oceania,Animal products nec,31.784690081844868,5.782616434814022,3.1653292071111614,31.175483152759117,5.588674543836897,3.0253017583833244,0.6092069290857509,1.9541218530620732
S1_NO_CN,2017,Australia_Oceania,Forestry,12.696807081329954,1.294392193958746,2.457174476978285,12.70481070141324,1.2951481999797694,2.45887544529803,-0.008003620083286478,-0.06299676769206945
S2_CAPACITY,2017,Australia_Oceania,Forestry,12.914752849262344,1.3408994336794464,2.574233213759371,12.70481070141324,1.2951481999797694,2.45887544529803,0.20994214784910348,1.6524618334199204
S1_NO_CN,2017,Australia_Oceania,Coal,70.88409239002463,3.076156493301857,16.327212475091493,70.74847777623685,3.066433201031305,16.277364200577424,0.13561461378778006,0.19168555713198762
S2_CAPACITY,2017,Australia_Oceania,Coal,50.74037041220326,1.991242036693612,10.688314951630575,70.74847777623685,3.066433201031305,16.277364200577424,-20.00810736403359,-28.280618881038254
S1_NO_CN,2017,Australia_Oceania,Oil,8.864565594035174,0.2758656613442022,2.1911084413634585,8.860133746418022,0.2755788905597234,2.1890673734092587,0.004431847617151874,0.05002009838670418
S2_CAPACITY,2017,Australia_Oceania,Oil,8.4255194988971,0.2547826686248485,2.0465279544471824,8.860133746418022,0.2755788905597234,2.1890673734092587,-0.4346142475209227,-4.905278633029989
S1_NO_CN,2017,Australia_Oceania,Gas,52.18252299265611,2.2614305067851523,16.171101931666954,52.06556929976177,2.253484295936035,16.11602221472681,0.11695369289434154,0.22462770400337614
S2_CAPACITY,2017,Australia_Oceania,Gas,47.25066233648913,1.973999293782972,14.27528977408883,52.06556929976177,2.253484295936035,16.11602221472681,-4.814906963272641,-9.247775503137872
S1_NO_CN,2017,Australia_Oceania,Mine,152.1038442356074,13.711246398946932,40.09110489541977,152.17256519856502,13.715051965148376,40.106568060660926,-0.06872096295762731,-0.04515988993676722
S2_CAPACITY,2017,Australia_Oceania,Mine,154.52087814243356,14.021352615260176,41.4612673372403,152.17256519856502,13.715051965148376,40.106568060660926,2.3483129438685353,1.5431907458511318
S1_NO_CN,2017,Australia_Oceania,Manufac,437.3331475138811,66.14676080479579,36.70686892655053,437.6333114916207,66.1688627695729,36.723104055740535,-0.3001639777396008,-0.0685880096093526
S2_CAPACITY,2017,Australia_Oceania,Manufac,451.6829545625568,69.37837186586546,38.93538153980872,437.6333114916207,66.1688627695729,36.723104055740535,14.0496430709361,3.2103687498215288
S1_NO_CN,2017,Australia_Oceania,Petro,24.35708040563445,0.296112100254934,1.315509576689735,24.35001597087141,0.2957777207550565,1.314166132299244,0.007064434763037752,0.029012033386296536
S2_CAPACITY,2017,Australia_Oceania,Petro,20.56338238647263,0.2515082101208902,1.1299821876741307,24.35001597087141,0.2957777207550565,1.314166132299244,-3.786633584398782,-15.55084640982792
S1_NO_CN,2017,Australia_Oceania,Power,52.02994289226766,4.072220849454197,11.072850282783124,52.20824458709656,4.083812522506759,11.114403574678844,-0.17830169482889602,-0.34152018754709074
S2_CAPACITY,2017,Australia_Oceania,Power,46.0944607252498,3.726611502456252,11.304882011302652,52.20824458709656,4.083812522506759,11.114403574678844,-6.1137838618467555,-11.710380056252259
S1_NO_CN,2017,Australia_Oceania,WatWaste,38.22617218036737,5.151254373602771,8.105270755880854,38.23002997323284,5.15091531201188,8.105613541097814,-0.003857792865467502,-0.010091001414774136
S2_CAPACITY,2017,Australia_Oceania,WatWaste,38.11209528533232,5.128491292495443,8.160668283063174,38.23002997323284,5.15091531201188,8.105613541097814,-0.1179346879005152,-0.3084870401176468
S1_NO_CN,2017,Australia_Oceania,OthServ,2802.2586811467786,623.9018233974308,400.68188267437785,2802.348210948662,623.8751156101102,400.7080502565361,-0.08952980188360016,-0.003194813604312655
S2_CAPACITY,2017,Australia_Oceania,OthServ,2793.349921075615,620.3447418665459,402.9007983570073,2802.348210948662,623.8751156101102,400.7080502565361,-8.99828987304727,-0.32109820749224927
S1_NO_CN,2017,Australia_Oceania,Transport,166.71329267585014,27.63262959992664,22.225379027503475,166.74744470281928,27.631803251519845,22.22711731642972,-0.03415202696913866,-0.02048128955139619
S2_CAPACITY,2017,Australia_Oceania,Transport,165.80090408334527,28.87133504586939,23.48417991193089,166.74744470281928,27.631803251519845,22.22711731642972,-0.9465406194740069,-0.567649250134508
S1_NO_CN,2017,China,Rice,147.87237904643837,30.830239262810217,27.289063701191573,147.877774119736,30.83106257629687,27.290180238047,-0.005395073297620456,-0.003648332773288898
S2_CAPACITY,2017,China,Rice,144.80619258167604,30.25128852334336,26.62223372427212,147.877774119736,30.83106257629687,27.290180238047,-3.071581538059945,-2.0771083121476384
S1_NO_CN,2017,China,Crops nec,936.3531681718126,197.8766214863718,163.87506443090197,936.3705491563984,197.8783566647078,163.87883014449875,-0.01738098458577042,-0.0018562079511609394
S2_CAPACITY,2017,China,Crops nec,919.1096572267968,194.63504238984305,160.26116557069125,936.3705491563984,197.8783566647078,163.87883014449875,-17.2608919296016,-1.8433826165455975
S1_NO_CN,2017,China,"Bovine cattle, sheep and goats, horses",116.155935497646,18.73545249999293,14.995164437738728,116.1607807778544,18.73616974483477,14.99595158434408,-0.004845280208400027,-0.004171184263702677
S2_CAPACITY,2017,China,"Bovine cattle, sheep and goats, horses",113.10011960142498,18.19591361738988,14.479374019209605,116.1607807778544,18.73616974483477,14.99595158434408,-3.06066117642942,-2.634849004917263
S1_NO_CN,2017,China,Animal products nec,579.5357890481743,112.79296745169412,49.40948450090277,579.5536922768814,112.79526017617684,49.41119096545513,-0.017903228707154994,-0.0030891406518037917
S2_CAPACITY,2017,China,Animal products nec,568.5682671756266,110.63483286626789,48.18468881577131,579.5536922768814,112.79526017617684,49.41119096545513,-10.985425101254805,-1.895497388360443
S1_NO_CN,2017,China,Forestry,98.22350613290745,43.16554654390933,2.2576262532720746,98.22109078753368,43.16415087627602,2.2575853376137864,0.002415345373762534,0.0024590903586962525
S2_CAPACITY,2017,China,Forestry,95.6662301494536,42.117106467094814,2.190091216509415,98.22109078753368,43.16415087627602,2.2575853376137864,-2.5548606380800862,-2.6011324223700756
S1_NO_CN,2017,China,Coal,226.6692841258106,31.125970576875485,22.354128720874986,226.599936420277,31.1086907273034,22.34203611167697,0.06934770553360181,0.030603585609566095
S2_CAPACITY,2017,China,Coal,136.59319515656975,16.89725838932095,12.065351099054515,226.599936420277,31.1086907273034,22.34203611167697,-90.00674126370726,-39.72055009617078
S1_NO_CN,2017,China,Oil,76.16740006991265,5.806174568782298,12.328465483901692,76.14307814348662,5.8027295700513175,12.321325674782598,0.024321926426026153,0.03194239978083508
S2_CAPACITY,2017,China,Oil,67.14088473083089,4.996790808703754,10.548700856898678,76.14307814348662,5.8027295700513175,12.321325674782598,-9.002193412655728,-11.82273376930164
S1_NO_CN,2017,China,Gas,9.688902716706393,0.2198064653679323,0.2533704599950738,9.686819031069025,0.2196257286851184,0.2531657226414912,0.002083685637368049,0.02151052508243355
S2_CAPACITY,2017,China,Gas,4.907482486279331,0.124273912880174,0.1424243887559809,9.686819031069025,0.2196257286851184,0.2531657226414912,-4.779336544789693,-49.33855509698989
S1_NO_CN,2017,China,Mine,386.2050174539969,44.8291287190735,47.14128520498821,386.1633202411618,44.82128025992856,47.13370170819971,0.041697212835117625,0.010797818086160389
S2_CAPACITY,2017,China,Mine,369.5444524305361,43.88635254758128,45.88381098684646,386.1633202411618,44.82128025992856,47.13370170819971,-16.61886781062566,-4.303585281027482
S1_NO_CN,2017,China,Manufac,18117.180518462083,1415.3864856549633,1488.8704556938671,18118.11791292237,1415.3649785513926,1488.8689885997428,-0.9373944602884876,-0.0051737960023977465
S2_CAPACITY,2017,China,Manufac,17544.38304689618,1427.3955685206706,1492.8462649849455,18118.11791292237,1415.3649785513926,1488.8689885997428,-573.7348660261923,-3.1666361196213866
S1_NO_CN,2017,China,Petro,609.3226712717191,9.927825830725205,24.417987678264733,609.6238929282724,9.926175323661782,24.41427509634768,-0.3012216565533663,-0.04941106476428864
S2_CAPACITY,2017,China,Petro,508.8591111553798,7.941003574357781,19.418692583398123,609.6238929282724,9.926175323661782,24.41427509634768,-100.7647817728926,-16.529007957492976
S1_NO_CN,2017,China,Power,788.0986394150361,84.97129758278254,142.22900091975492,788.0727859266354,84.95993252754974,142.18540325482147,0.02585348840068491,0.0032805965213334627
