year,region,scenario,real_GDP,real_household_consumption,real_investment,government_income,exports_FOB,imports_CIF,CO2_Mt,power_CO2_Mt,real_wage,EV,carbon_price_2024USD_t,additional_carbon_price_2024USD_t,renewable_capacity_GW,total_generation_TWh,renewable_generation_TWh,renewable_generation_share_pct
2017,Australia_Oceania,S0_BASELINE,1931.7389563472286,1068.5144156100666,444.2953769864649,618.4749432600341,502.1466038248814,478.4136925323733,425.2916466193898,191.88928546009652,0.9372397552593669,0.0,17.225252692558044,0.0,29.16053999999376,282.15869402987875,68.59499999998225,24.31078731627475
2017,China,S0_BASELINE,16096.61146441922,6480.670345536471,6558.534164382588,3305.3794046212606,3685.8853209137114,3420.7938159786554,9750.22213571702,4695.191266724537,0.9379538812863877,0.0,0.0,0.0,620.8557099995718,7024.213982332018,1721.5289999988695,24.508493111528576
2017,Japan,S0_BASELINE,6232.553877854296,3396.9924014518124,1586.9893793534727,2049.58778151572,1063.2177533253403,1094.9014821396165,1080.4657455282318,508.40578984389697,0.9744347858243169,0.0,17.404415796344647,0.0,83.59645999976998,1028.1095579793778,189.8359999995177,18.464569123607497
2017,South Korea,S0_BASELINE,1962.0312126200527,886.249960269005,594.3938108213429,571.9537771331287,858.623396699859,712.6801394329054,520.440860712152,257.1458776642288,0.923998205389392,0.0,23.214419304830184,0.0,11.175010000435256,525.0743877738716,23.14200000081232,4.407375514720145
2017,Rest of World,S0_BASELINE,99.91079821099909,43.728846628476205,33.31931832596982,10.193245571299935,39.70780044295038,34.1175097244377,44.648663168963004,16.874704901237266,0.9719253591581458,0.0,0.0,0.0,15.875449999890566,82.3076595425122,28.48399999977811,34.60674274800151
2017,Southeast Asia,S0_BASELINE,3497.2371429066475,2003.899726817597,1023.6995881393078,446.5558691562054,1796.3324578501386,1810.1324588085279,1501.1575754315163,579.3075102356527,0.9671085886579783,0.0,0.0,0.0,61.31713999990629,993.094609355658,209.3469999996865,21.08026748181782
2017,"Central, Western and South Asia",S0_BASELINE,5830.005476743221,3360.207628183417,1488.349146486625,593.691073750002,1749.8134550168274,1829.0609886283653,3072.983669954867,1144.5949147967165,0.9798733518603704,0.0,0.0,0.0,89.65165999989651,2004.339211695952,210.81899999975664,10.518129804055183
2017,India,S0_BASELINE,3324.495795200052,2076.287740290765,1004.5114832974391,356.90764591794147,504.26803265155826,664.856139042553,2223.976221954974,1113.221147988312,0.9762239053074321,0.0,5.183557970701193e-13,0.0,105.25766999988696,1510.4416064354275,256.2439999996676,16.964839879139163
2017,Canada,S0_BASELINE,1989.606543971624,1128.9029343725572,464.89228538717947,755.5496732918336,602.8731495865376,656.1743949834893,587.6735678280277,101.6468474360408,0.9183391899931981,0.0,0.0,0.0,98.1490000002926,663.9481459327287,441.6010000012856,66.51136880289273
2017,United States,S0_BASELINE,24553.704157885466,16696.199487838374,5402.43408793673,7963.591133477864,2770.8601316222416,3644.6938069080866,4829.74622579098,1708.9677356847894,0.9776700794973615,0.0,5.042161635117552,0.0,229.67769999959043,4223.845036005694,728.2739999986007,17.241967775581504
