scenario,year,region,household_income,household_savings,labor_income,household_capital_income,land_income,resource_income,government_income,carbon_revenue,expenditure_gap
S0_BASELINE,2030,Australia_Oceania,2505.526986667061,483.12219380937904,1256.9893383077238,1135.141966620945,35.21705263521322,78.17862910317918,1098.7004623370217,34.49450342868977,2.909783815115536e-13
S0_BASELINE,2030,China,24603.55344911068,8988.65018118837,12990.402048352364,7842.107009615897,3298.1671077686374,472.877283373778,5996.123907997796,194.93041852140823,-4.655654104184858e-12
S0_BASELINE,2030,Japan,6243.541801886642,1176.0819044797015,2221.294180113792,3984.494749595604,33.85954680174302,3.893325375504214,2969.9776559478714,9.058283600484238,1.1639135260462145e-12
S0_BASELINE,2030,South Korea,2596.7098738618606,955.585619311092,1224.8048793970745,1301.9498992696276,66.904982692502,3.0501125026566984,980.0355439929616,18.136072683919416,2.909783815115536e-13
S0_BASELINE,2030,Rest of World,156.9972889663539,79.64900615233984,65.07629875817399,79.56140550244629,5.285092404988524,7.0744923007451055,17.548557161836676,8.836803548497623e-21,9.09307442223605e-15
S0_BASELINE,2030,Southeast Asia,5574.382144567847,1889.1323637255011,2017.315098732873,2766.2669883857584,650.108499242823,140.69155820639227,802.4638518793914,13.739318582218496,0.0
S0_BASELINE,2030,"Central, Western and South Asia",9415.359359241378,3363.752694857444,2766.5486068813475,5745.709103018661,275.2251572413573,627.8764921000127,1004.1596531028088,7.965111378308311,-2.327827052092429e-12
S0_BASELINE,2030,India,6267.024064741373,1876.834768037379,2926.5792861550776,2138.225368062504,1091.287261330648,110.9321491931438,753.5097021427335,7.717611209847591e-12,0.0
S0_BASELINE,2030,Canada,2213.11740032054,195.1364436596062,1316.3891269242556,812.6411701361926,17.139514818776956,66.94758844131479,1246.6528626529775,16.10999081595676,5.819567630231072e-13
S0_BASELINE,2030,United States,27795.53591682572,-130.90637160391148,12620.901220303323,14670.306955905717,284.2344632778622,220.0932773388197,12862.392551800582,121.21242659537388,0.0
S0_BASELINE,2030,Rest of America,6393.431720334803,1203.1357582797218,2265.078112675203,3834.599531380416,189.6694812829838,104.08459499619988,1391.81143039702,12.41642249259704,-5.819567630231072e-13
S0_BASELINE,2030,Brazil,3326.4587828590984,221.8249386254957,1484.8977759518648,1700.6191821109066,75.49384120359535,65.44798359273156,1472.025221112775,1.4939175032585628e-13,5.819567630231072e-13
S0_BASELINE,2030,"EU, UK and EFTA",22462.26700156776,1707.019245381115,8053.113046239689,14106.316653990049,246.3383705281728,56.49893080985372,14652.336102736928,810.7029516960076,-2.327827052092429e-12
S0_BASELINE,2030,Eastern Europe,463.2177057185745,28.46477312481056,194.87990580403684,245.2871178035276,15.6830557210583,7.367626389951889,176.89719895998377,0.8453586755112275,-1.454891907557768e-13
S0_BASELINE,2030,Russia,2734.647226582141,1002.076459185634,857.2557587492988,1674.38608401111,29.53149571505224,173.4738881066805,547.1589780819825,-2.2501002311191992e-13,2.909783815115536e-13
S0_BASELINE,2030,North Africa,1185.5317881351368,271.1668582215327,424.9525548380068,594.7661126878347,98.74304752708127,67.07007308221387,228.124373313348,-6.141557246959141e-14,0.0
S0_BASELINE,2030,Sub Saharan,2488.21194545141,491.2241886885541,949.9092585691136,1239.7929628448858,225.46730707876253,73.04241695864778,353.41456549215883,-3.532134349667373e-13,0.0
S0_BASELINE,2030,South Africa,621.5455771180954,127.7722473198529,286.38937647771786,308.6531523166025,7.289761922561299,19.213286401213693,205.50371271754057,-1.0343024778385367e-14,7.27445953778884e-14
S0_BASELINE,2050,Australia_Oceania,5664.290003065772,1092.2030483870046,2725.835840750046,2133.9410741730744,456.7979847685097,347.7151033741419,2441.1687816948165,86.46529864251399,-2.327827052092429e-12
S0_BASELINE,2050,China,35911.82188245449,10191.358559264523,10367.317970069866,4714.218979364729,19292.74069274377,1537.5442402761216,8197.442819224105,371.8457738552899,-4.655654104184858e-12
S0_BASELINE,2050,Japan,10745.477832466564,2024.1014531099856,4045.783701749253,6493.960260821568,184.70101761801487,21.03285227772849,5197.631948958085,21.49981401986072,0.0
S0_BASELINE,2050,South Korea,4822.480602356331,1774.6661494242671,2465.1783922206414,1943.2156955763376,397.55281697866815,16.533697580683985,1837.673982362298,40.71649325271499,-5.819567630231072e-13
S0_BASELINE,2050,Rest of World,281.34161343500546,142.7322729387789,114.67371224975628,106.5955164842016,27.088495783603392,32.98388891744419,32.057913702251284,1.1979342731168891e-11,1.81861488444721e-14
S0_BASELINE,2050,Southeast Asia,8625.99725937613,2923.310632367534,1727.630458609062,1777.3925264513332,4527.667138571112,593.3071357446225,1330.1563226110045,33.391823938927345,-2.327827052092429e-12
S0_BASELINE,2050,"Central, Western and South Asia",16247.204483367328,5804.513219262852,4398.426706736483,7685.609273665126,2630.4459176828877,1532.7225852828326,1844.6324482573132,24.888780735484826,-4.655654104184858e-12
S0_BASELINE,2050,India,10891.674272073948,3261.81497705964,605.1562743048053,252.28264758885052,9632.910825198946,401.3245249813426,1481.5818829011805,-6.592470220006264e-11,-1.1639135260462145e-12
S0_BASELINE,2050,Canada,4685.708773154012,413.1513971583518,2715.7146948467725,1397.3281215582429,400.56523119156856,172.10072555742806,2478.9304642106745,35.41862573886422,2.909783815115536e-12
S0_BASELINE,2050,United States,52182.20650609,-245.75828782143412,23513.63053498517,25471.13172947852,2744.0848356255483,453.35940600075935,23379.67073874306,255.05467297211865,1.8622616416739432e-11
S0_BASELINE,2050,Rest of America,13883.573686613934,2612.653843154193,4569.2593772906885,7291.594610690475,1609.9555423198851,412.7641563128862,2975.366273856594,32.043662021337745,-2.327827052092429e-12
S0_BASELINE,2050,Brazil,8836.969416196298,589.2933976768768,3788.170880254305,3939.597852766867,875.4468064866102,233.75387668851457,3769.1462347560528,-4.3738116942435735e-12,1.1639135260462145e-12
S0_BASELINE,2050,"EU, UK and EFTA",43874.93828951037,3334.2744988685085,16030.87233434246,25197.68137351639,2327.0645941618927,319.3199874896291,27587.12889835461,1523.5870813020715,-4.655654104184858e-12
S0_BASELINE,2050,Eastern Europe,1130.9022208758208,69.49405160072192,434.31647464244617,475.4132673351968,188.2981309960571,32.87434790212079,391.2003530352655,2.8367980897536835,1.454891907557768e-13
S0_BASELINE,2050,Russia,5003.472640859103,1833.458480072688,1658.377218525036,2775.9159525370965,275.6150558202978,293.5644139766728,1016.6023958165908,1.571749849408875e-10,1.1639135260462145e-12
S0_BASELINE,2050,North Africa,1902.286455457827,435.1102574611649,496.07416599240383,542.6369582986592,646.7302333237551,216.845097843009,386.8392979711339,-5.716932531680749e-10,-3.782718959650197e-12
S0_BASELINE,2050,Sub Saharan,6868.974832318783,1356.0768387500627,1917.047582823644,2010.3937820244143,2597.185183428611,344.34828404211413,985.1977923393516,1.735768501425965e-11,0.0
S0_BASELINE,2050,South Africa,1501.1756426078823,308.5993892309354,637.8478903426867,598.2489478196028,117.85026739157082,147.22853705402235,489.10463258382833,-1.7095353348523087e-10,-4.364675722673305e-13
S1_NO_CN,2030,Australia_Oceania,2508.896223336722,483.7718587381431,1257.1470036995904,1136.0818275899708,34.90579454298009,80.76159750418083,1101.7643794478129,36.16659094562559,-2.909783815115536e-13
S1_NO_CN,2030,China,24596.26826041449,8985.988613913978,12987.030587383892,7842.379258465447,3291.878549728588,474.9798648365664,5995.101192694134,194.27154649673307,-2.327827052092429e-12
S1_NO_CN,2030,Japan,6220.846653997505,1171.8068705968756,2213.9228774913995,3969.206176358311,33.78510760189403,3.932492545901114,2962.230378440252,9.183527416958952,2.327827052092429e-12
